date,open,high,low,close,volume,is_anomaly,symbol
2026-05-08,410.35,410.35,403.0,404.57,297502,False,MCB
2026-05-07,416.5,417.0,409.0,410.35,164259,False,MCB
2026-05-06,409.0,419.0,403.59,416.19,667240,False,MCB
2026-05-05,392.78,432.06,390.5,403.41,2745167,False,MCB
2026-05-04,405.0,407.9,397.0,401.78,953092,False,MCB
2026-04-30,399.0,399.0,392.99,394.32,422156,False,MCB
2026-04-29,406.75,408.99,395.06,398.48,306025,False,MCB
2026-04-28,403.97,408.0,403.95,406.37,103715,False,MCB
2026-04-27,406.0,409.9,395.0,404.78,172621,False,MCB
2026-04-24,400.11,409.0,400.11,405.82,405531,False,MCB
2026-04-23,414.0,414.0,404.05,407.34,301524,False,MCB
2026-04-22,409.99,416.5,408.1,411.03,68240,False,MCB
2026-04-21,414.96,419.25,411.0,412.94,348588,False,MCB
2026-04-20,418.0,418.0,406.5,410.99,413026,False,MCB
2026-04-17,412.87,419.0,410.11,418.03,446592,False,MCB
2026-04-16,409.4,414.99,405.51,410.11,510465,False,MCB
2026-04-15,409.05,416.0,405.55,409.41,723834,False,MCB
2026-04-14,403.15,409.0,402.5,405.62,241134,False,MCB
2026-04-13,400.0,407.0,398.0,399.94,320521,False,MCB
2026-04-10,406.99,414.9,405.01,411.49,347147,False,MCB
2026-04-09,409.96,412.0,385.0,401.8,492443,False,MCB
2026-04-08,413.0,413.0,396.0,411.12,885696,False,MCB
2026-04-07,379.0,379.0,370.13,377.26,306474,False,MCB
2026-04-06,367.36,376.5,363.0,374.04,423584,False,MCB
2026-04-03,367.5,374.0,365.0,367.37,195410,False,MCB
2026-04-02,377.0,379.95,366.75,370.09,585135,False,MCB
2026-04-01,374.0,390.0,372.99,386.89,841461,False,MCB
2026-03-31,364.89,370.0,363.02,367.13,304760,False,MCB
2026-03-30,367.9,368.23,358.5,361.7,1170453,False,MCB
2026-03-27,369.9,372.89,365.0,366.35,168352,False,MCB
2026-03-26,375.0,379.0,365.0,366.7,377373,False,MCB
2026-03-25,365.99,376.45,362.5,375.36,408707,False,MCB
2026-03-24,371.11,376.96,353.0,362.11,743917,False,MCB
2026-03-19,370.0,375.0,363.5,367.89,333743,False,MCB
2026-03-18,362.51,374.5,359.1,372.64,459765,False,MCB
2026-03-17,350.0,364.99,346.0,362.27,3068659,False,MCB
2026-03-16,361.06,364.93,352.0,355.76,300049,False,MCB
2026-03-13,361.5,368.0,357.51,363.1,561101,False,MCB
2026-03-12,368.0,374.0,358.66,361.33,1126543,False,MCB
2026-03-11,373.97,377.0,367.0,372.36,201506,False,MCB
2026-03-10,379.99,390.0,365.1,368.58,461271,False,MCB
2026-03-09,361.07,364.98,345.0,357.81,493393,False,MCB
2026-03-06,375.0,376.0,368.87,369.63,260640,False,MCB
2026-03-05,369.0,379.0,369.0,373.87,371255,False,MCB
2026-03-04,379.0,385.0,360.01,368.63,394501,False,MCB
2026-03-03,357.0,384.99,356.0,372.13,741433,False,MCB
2026-03-02,357.52,389.0,357.52,357.53,1154454,False,MCB
2026-02-27,399.99,406.99,395.0,397.24,2801915,False,MCB
2026-02-26,400.04,410.44,396.25,402.32,1242465,False,MCB
2026-02-25,392.0,404.0,392.0,400.04,931214,False,MCB
2026-02-24,386.01,392.0,380.0,390.23,1053242,False,MCB
2026-02-23,393.63,403.99,384.0,386.01,204992,False,MCB
2026-02-20,400.0,403.96,387.5,393.63,673608,False,MCB
2026-02-19,418.0,418.0,398.0,400.6,186188,False,MCB
2026-02-18,399.94,420.0,396.99,417.85,619305,False,MCB
2026-02-17,400.01,410.01,394.12,396.24,841764,False,MCB
2026-02-16,416.9,416.9,393.0,400.67,872112,False,MCB
2026-02-13,417.0,417.9,412.0,412.83,210206,False,MCB
2026-02-12,425.0,425.0,411.1,414.84,687300,False,MCB
2026-02-11,415.0,424.92,412.99,422.0,381022,False,MCB
2026-02-10,418.0,418.0,412.0,413.15,410687,False,MCB
2026-02-09,414.0,427.25,407.5,415.93,511446,False,MCB
2026-02-06,415.75,415.75,407.0,411.02,311015,False,MCB
2026-02-04,417.01,422.87,411.0,415.71,1422161,False,MCB
2026-02-03,410.6,419.03,409.8,416.79,846335,False,MCB
2026-02-02,408.0,412.0,403.0,410.63,457687,False,MCB
2026-01-30,415.0,416.5,404.0,407.28,392942,False,MCB
2026-01-29,418.0,419.99,408.0,412.61,384928,False,MCB
2026-01-28,419.3,425.0,414.02,417.28,315358,False,MCB
2026-01-27,425.0,434.11,401.0,416.23,776193,False,MCB
2026-01-26,423.1,425.22,421.21,422.25,231140,False,MCB
2026-01-23,416.49,424.19,415.5,422.35,269987,False,MCB
2026-01-22,416.25,420.99,412.9,416.54,233390,False,MCB
2026-01-21,425.81,427.99,413.5,416.25,779889,False,MCB
2026-01-20,430.49,430.49,425.02,425.81,449223,False,MCB
2026-01-19,430.0,431.88,425.0,428.13,494114,False,MCB
2026-01-16,434.78,436.75,425.21,429.5,816138,False,MCB
2026-01-15,435.1,436.0,425.07,428.04,469621,False,MCB
2026-01-14,449.45,451.77,434.0,435.08,1724178,False,MCB
2026-01-13,437.0,450.24,429.64,447.08,920401,False,MCB
2026-01-12,440.0,442.0,435.51,436.27,236790,False,MCB
2026-01-09,438.05,443.51,434.99,441.08,515570,False,MCB
