date,open,high,low,close,volume,is_anomaly,symbol
2026-05-08,230.5,233.69,228.51,229.93,5009796,False,PPL
2026-05-07,233.73,237.09,230.3,234.88,7070913,False,PPL
2026-05-06,222.0,237.38,222.0,232.72,17196634,False,PPL
2026-05-05,208.0,218.0,205.51,215.97,6318068,False,PPL
2026-05-04,210.89,216.4,207.0,209.17,6457740,False,PPL
2026-04-30,215.9,216.0,202.1,206.64,7936437,False,PPL
2026-04-29,226.0,227.89,216.5,217.89,5253360,False,PPL
2026-04-28,226.0,228.45,225.0,225.47,2827974,False,PPL
2026-04-27,230.5,234.95,227.5,228.59,3699011,False,PPL
2026-04-24,225.97,234.2,223.01,232.0,4898935,False,PPL
2026-04-23,233.4,233.5,226.51,228.23,2782143,False,PPL
2026-04-22,238.0,239.65,233.15,234.04,4634600,False,PPL
2026-04-21,242.01,243.45,238.0,239.56,6228671,False,PPL
2026-04-20,235.0,246.88,232.0,239.77,15032761,False,PPL
2026-04-17,230.25,241.8,227.5,238.43,13606643,False,PPL
2026-04-16,225.1,231.0,225.07,228.28,11449484,False,PPL
2026-04-15,226.9,226.9,221.06,221.97,6856960,False,PPL
2026-04-14,219.0,220.48,218.0,218.7,3366537,False,PPL
2026-04-13,220.0,221.9,213.0,214.47,5881650,False,PPL
2026-04-10,225.0,227.0,222.65,224.47,6554328,False,PPL
2026-04-09,225.98,226.45,221.0,224.09,8698610,False,PPL
2026-04-08,227.83,227.83,221.0,227.83,10190331,False,PPL
2026-04-07,204.94,208.4,203.6,207.12,4851678,False,PPL
2026-04-06,201.09,209.25,199.5,207.65,8689659,False,PPL
2026-04-03,196.0,207.25,196.0,201.08,6832475,False,PPL
2026-04-02,203.99,204.0,198.02,201.21,4639788,False,PPL
2026-04-01,205.0,213.05,204.25,209.51,12063067,False,PPL
2026-03-31,197.0,203.5,195.11,198.18,6638718,False,PPL
2026-03-30,202.99,203.0,186.9,196.68,12435449,False,PPL
2026-03-27,207.98,209.35,201.12,204.68,9022230,False,PPL
2026-03-26,219.0,219.35,209.0,210.88,5094295,False,PPL
2026-03-25,217.0,222.0,216.8,220.45,7654744,False,PPL
2026-03-24,220.0,221.0,213.54,214.76,5723725,False,PPL
2026-03-19,216.49,216.49,210.5,213.83,5061334,False,PPL
2026-03-18,208.0,221.5,205.5,219.37,6977036,False,PPL
2026-03-17,204.0,207.33,200.1,206.57,3162497,False,PPL
2026-03-16,210.11,211.8,200.71,202.25,2014102,False,PPL
2026-03-13,209.48,212.0,206.2,209.5,2830883,False,PPL
2026-03-12,210.0,216.47,208.0,210.62,3524255,False,PPL
2026-03-11,224.87,224.87,213.06,214.74,4188514,False,PPL
2026-03-10,219.8,224.5,215.1,220.36,7999142,False,PPL
2026-03-09,213.5,213.5,194.06,204.77,12834557,False,PPL
2026-03-06,218.59,219.5,210.51,214.75,8520034,False,PPL
2026-03-05,205.07,222.0,205.0,218.4,14694443,False,PPL
2026-03-04,199.0,205.5,196.1,204.21,21869075,False,PPL
2026-03-03,195.0,205.0,191.11,199.56,12292894,False,PPL
2026-03-02,195.08,211.0,195.08,195.08,13764333,False,PPL
2026-02-27,217.95,220.99,214.55,216.75,4604802,False,PPL
2026-02-26,211.0,221.0,206.11,220.08,9738299,False,PPL
2026-02-25,220.6,221.5,212.0,213.51,4912692,False,PPL
2026-02-24,221.24,226.0,218.0,219.59,8211875,False,PPL
2026-02-23,228.87,233.25,219.8,221.25,4854882,False,PPL
2026-02-20,224.9,231.0,224.5,229.02,6429530,False,PPL
2026-02-19,237.0,237.0,220.0,223.74,7692389,False,PPL
2026-02-18,236.5,238.9,231.15,236.86,27579038,False,PPL
2026-02-17,232.51,237.6,230.01,234.94,8118106,False,PPL
2026-02-16,237.0,241.0,228.1,231.09,11761441,False,PPL
2026-02-13,234.0,238.0,228.97,236.27,12912392,False,PPL
2026-02-12,248.0,249.0,232.2,237.17,16498955,False,PPL
2026-02-11,252.7,254.74,246.97,248.39,2785382,False,PPL
2026-02-10,256.0,256.99,251.01,252.68,4729945,False,PPL
2026-02-09,265.56,265.56,247.2,253.84,17062278,False,PPL
2026-02-06,276.5,276.5,259.9,261.47,20337428,False,PPL
2026-02-04,277.01,279.33,273.65,275.26,2504197,False,PPL
2026-02-03,280.4,282.12,276.5,277.26,4693208,False,PPL
2026-02-02,275.15,282.0,273.8,279.32,5553735,False,PPL
2026-01-30,273.11,284.6,273.03,277.34,9291919,False,PPL
2026-01-29,282.0,284.2,270.5,272.15,13530951,False,PPL
2026-01-28,275.77,283.64,275.0,281.52,9438281,False,PPL
2026-01-27,268.5,276.0,266.05,273.56,8393339,False,PPL
2026-01-26,270.99,273.85,268.0,269.85,4548230,False,PPL
2026-01-23,275.2,276.01,269.25,271.97,4778757,False,PPL
2026-01-22,274.46,279.0,270.7,275.15,8394693,False,PPL
2026-01-21,271.5,278.39,271.3,273.74,14591993,False,PPL
2026-01-20,269.79,272.6,262.2,271.18,10697889,False,PPL
2026-01-19,266.5,269.99,263.01,264.75,10539970,False,PPL
2026-01-16,251.51,266.0,251.1,264.76,24058939,False,PPL
2026-01-15,247.5,253.9,244.0,249.88,14984930,False,PPL
2026-01-14,240.8,247.0,239.12,245.17,22568863,False,PPL
2026-01-13,238.0,241.23,234.25,240.06,10712254,False,PPL
2026-01-12,238.29,240.75,236.2,237.02,3857799,False,PPL
2026-01-09,242.7,244.0,238.5,240.29,7815863,False,PPL
2026-01-08,249.0,249.4,241.0,242.07,10772067,False,PPL
2026-01-07,240.8,250.48,240.8,246.55,16964989,False,PPL
2026-01-06,243.96,243.97,236.76,240.32,18835697,False,PPL
2026-01-05,244.4,252.5,240.01,243.12,12948732,False,PPL
2026-01-02,236.7,248.5,235.79,243.97,13641163,False,PPL
2026-01-01,235.55,239.7,235.1,236.73,7236560,False,PPL
2025-12-31,235.48,238.87,233.15,235.55,9144559,False,PPL
2025-12-30,230.79,235.62,229.61,234.76,9807967,False,PPL
2025-12-29,228.9,230.55,225.75,229.73,9686284,False,PPL
2025-12-26,221.02,228.4,220.5,227.36,9526463,False,PPL
2025-12-24,218.7,222.0,217.6,221.02,4271097,False,PPL
2025-12-23,219.05,219.49,215.7,217.17,3101795,False,PPL
2025-12-22,219.51,220.8,217.72,218.46,2314369,False,PPL
2025-12-19,221.5,224.0,218.01,219.33,5985255,False,PPL
2025-12-18,222.0,222.75,219.25,220.81,4695257,False,PPL
2025-12-17,224.99,225.75,220.9,221.4,6261232,False,PPL
2025-12-16,231.0,232.1,223.41,224.15,7154475,False,PPL
2025-12-15,224.01,230.79,224.01,228.98,18843356,False,PPL
2025-12-12,219.45,222.0,215.67,220.27,10127468,False,PPL
2025-12-11,220.0,220.0,215.81,217.04,7201014,False,PPL
2025-12-10,218.88,219.49,214.7,215.39,4677200,False,PPL
2025-12-09,221.5,222.0,217.8,218.73,6840762,False,PPL
2025-12-08,220.0,223.0,219.0,219.43,11858492,False,PPL
2025-12-05,213.48,218.9,211.0,217.34,19146182,False,PPL
2025-12-04,208.11,211.99,206.57,210.63,4984118,False,PPL
2025-12-03,209.0,209.99,206.0,209.14,8112515,False,PPL
2025-12-02,213.51,213.51,207.76,208.24,11028041,False,PPL
2025-12-01,212.0,215.5,208.05,213.17,18633041,False,PPL
2025-11-28,207.3,212.4,206.51,210.52,17027874,False,PPL
2025-11-27,199.85,207.0,199.02,205.42,12244212,False,PPL
2025-11-26,196.97,200.5,193.5,198.54,7589002,False,PPL
2025-11-25,200.0,200.24,196.5,197.12,2999769,False,PPL
2025-11-24,200.21,202.95,198.58,199.21,4937856,False,PPL
2025-11-21,202.99,205.25,200.4,201.54,6926256,False,PPL
2025-11-20,203.99,206.4,202.1,204.57,17861876,False,PPL
2025-11-19,194.25,203.45,192.0,201.02,21542517,False,PPL
2025-11-18,194.55,195.75,192.7,193.39,3701196,False,PPL
2025-11-17,195.0,198.3,193.4,194.6,10648032,False,PPL
