date,open,high,low,close,volume,is_anomaly,symbol
2026-05-08,416.62,417.24,411.0,415.22,1458755,False,UBL
2026-05-07,416.5,423.75,413.0,421.71,3021667,False,UBL
2026-05-06,396.8,419.19,392.0,415.6,3739009,False,UBL
2026-05-05,380.0,387.0,380.0,385.11,1448268,False,UBL
2026-05-04,386.0,398.0,384.0,385.94,1096678,False,UBL
2026-04-30,380.01,389.7,370.26,381.23,3876233,False,UBL
2026-04-29,400.99,405.0,387.6,390.16,1411710,False,UBL
2026-04-28,402.0,405.0,396.0,400.67,3213382,False,UBL
2026-04-27,416.4,416.5,407.0,409.88,2099342,False,UBL
2026-04-24,405.05,419.01,402.05,416.31,3144070,False,UBL
2026-04-23,419.0,422.0,400.0,410.46,3574325,False,UBL
2026-04-22,445.0,445.0,422.01,425.2,5341027,False,UBL
2026-04-21,419.0,451.5,419.0,436.6,6379432,False,UBL
2026-04-20,404.31,420.99,395.01,415.84,8953976,False,UBL
2026-04-17,385.0,409.9,385.0,406.88,7693869,False,UBL
2026-04-16,375.0,384.49,373.0,381.38,4317842,False,UBL
2026-04-15,365.1,382.48,361.9,370.73,16139986,False,UBL
2026-04-14,350.0,359.0,350.0,355.93,2309702,False,UBL
2026-04-13,348.01,355.0,341.11,342.73,3704992,False,UBL
2026-04-10,360.01,368.0,355.0,360.34,5590841,False,UBL
2026-04-09,350.0,365.0,340.2,357.07,6749074,False,UBL
2026-04-08,346.65,346.65,346.65,346.65,3631740,False,UBL
2026-04-07,305.0,316.99,293.25,315.14,5563975,False,UBL
2026-04-06,327.0,328.75,294.1,306.1,14902528,False,UBL
2026-04-03,333.0,337.5,321.6,326.76,6694338,False,UBL
2026-04-02,340.0,344.0,336.6,340.62,2001736,False,UBL
2026-04-01,338.0,356.0,337.0,353.06,6032335,False,UBL
2026-03-31,340.0,344.98,328.0,331.95,2524630,False,UBL
2026-03-30,346.0,347.0,330.0,336.81,1633213,False,UBL
2026-03-27,350.0,354.5,339.0,344.45,2385166,False,UBL
2026-03-26,374.5,374.99,343.0,347.58,2917729,False,UBL
2026-03-25,372.02,376.88,369.4,374.01,1466624,False,UBL
2026-03-24,378.01,378.77,367.01,369.54,707600,False,UBL
2026-03-19,362.32,375.0,362.32,368.72,1169167,False,UBL
2026-03-18,365.0,387.0,365.0,382.07,1164731,False,UBL
2026-03-17,360.01,365.8,357.5,364.83,822144,False,UBL
2026-03-16,371.37,374.98,352.1,358.45,1020364,False,UBL
2026-03-13,365.22,376.0,362.56,371.37,688786,False,UBL
2026-03-12,373.98,373.98,362.5,365.22,1265998,False,UBL
2026-03-11,382.16,388.95,372.9,374.37,1198962,False,UBL
2026-03-10,397.47,397.47,379.4,381.49,2343117,False,UBL
2026-03-09,380.0,388.0,361.34,361.34,5325659,False,UBL
2026-03-06,418.0,418.0,399.01,401.49,2875618,False,UBL
2026-03-05,416.0,421.89,413.15,416.07,1102310,False,UBL
2026-03-04,420.0,420.0,403.7,412.85,2585696,False,UBL
2026-03-03,396.0,424.0,395.0,418.68,3163672,False,UBL
2026-03-02,395.82,415.0,395.82,396.03,3856859,False,UBL
2026-02-27,450.0,457.0,430.0,439.8,1416459,False,UBL
2026-02-26,450.1,457.99,443.0,451.19,1492825,False,UBL
2026-02-25,467.0,471.89,447.0,450.04,2942476,False,UBL
2026-02-24,470.1,479.98,459.99,461.46,1204649,False,UBL
2026-02-23,479.88,484.8,464.05,470.09,537586,False,UBL
2026-02-20,482.5,484.99,469.0,479.98,1053062,False,UBL
2026-02-19,490.5,490.5,465.0,477.65,1289120,False,UBL
2026-02-18,462.0,491.24,460.06,489.32,2275151,False,UBL
2026-02-17,463.0,468.5,446.18,455.57,2234597,False,UBL
2026-02-16,483.0,483.5,446.0,459.84,1629894,False,UBL
2026-02-13,488.0,488.0,478.02,479.98,1048900,False,UBL
2026-02-12,485.06,491.91,474.0,484.84,1814049,False,UBL
2026-02-11,491.99,491.99,482.9,485.06,643116,False,UBL
2026-02-10,491.99,492.0,483.01,487.77,775526,False,UBL
2026-02-09,494.01,502.0,482.0,487.99,2149906,False,UBL
2026-02-06,505.0,509.0,490.0,493.77,1551538,False,UBL
2026-02-04,499.99,506.5,498.0,503.14,1476748,False,UBL
2026-02-03,496.0,502.0,495.0,499.68,1740204,False,UBL
2026-02-02,487.5,497.03,483.5,495.26,2632185,False,UBL
2026-01-30,480.0,497.0,480.0,486.92,976817,False,UBL
2026-01-29,493.0,493.0,478.0,479.0,2002115,False,UBL
2026-01-28,484.8,498.0,484.05,492.91,2500629,False,UBL
2026-01-27,486.12,492.0,482.0,484.02,1168563,False,UBL
2026-01-26,484.0,491.9,484.0,485.12,687490,False,UBL
2026-01-23,486.76,490.25,480.0,483.73,1362851,False,UBL
2026-01-22,495.0,496.0,485.75,486.76,883788,False,UBL
2026-01-21,493.42,495.41,486.66,489.7,777549,False,UBL
2026-01-20,497.8,501.0,490.16,492.87,1696753,False,UBL
2026-01-19,483.0,510.0,482.0,494.78,4499136,False,UBL
2026-01-16,478.93,483.99,474.0,479.95,3087898,False,UBL
2026-01-15,483.98,487.0,470.5,474.19,2333328,False,UBL
2026-01-14,490.0,490.0,478.6,479.95,2436669,False,UBL
2026-01-13,480.41,493.0,470.01,490.01,2333866,False,UBL
2026-01-12,485.99,488.93,478.0,480.41,1109451,False,UBL
2026-01-09,489.0,491.8,483.92,485.99,1288885,False,UBL
2026-01-08,495.54,498.0,482.0,487.27,2485638,False,UBL
2026-01-07,505.0,511.0,486.5,495.54,5418336,False,UBL
2026-01-06,489.89,517.0,484.1,502.74,5763171,False,UBL
2026-01-05,467.5,494.9,467.49,487.8,2999424,False,UBL
2026-01-02,449.74,480.0,444.0,464.04,1899397,False,UBL
2026-01-01,425.0,450.0,424.99,443.1,2649686,False,UBL
2025-12-31,422.9,427.4,420.0,424.59,1375378,False,UBL
2025-12-30,419.0,427.9,417.0,422.98,2417653,False,UBL
2025-12-29,413.0,419.99,412.65,418.23,702417,False,UBL
2025-12-26,409.05,413.5,407.0,412.52,595929,False,UBL
2025-12-24,412.6,413.7,407.76,410.56,470620,False,UBL
2025-12-23,412.99,415.98,410.0,411.28,646393,False,UBL
2025-12-22,412.0,412.24,407.0,409.27,814554,False,UBL
2025-12-19,411.1,415.0,406.0,412.07,850712,False,UBL
2025-12-18,401.48,420.0,401.48,410.69,1976738,False,UBL
2025-12-17,393.5,405.0,390.11,401.47,3288808,False,UBL
2025-12-16,384.01,395.0,384.01,390.74,2173145,False,UBL
2025-12-15,380.3,384.79,378.01,382.3,818174,False,UBL
2025-12-12,375.2,384.1,375.2,379.66,1624782,False,UBL
2025-12-11,378.8,379.48,375.03,377.5,341707,False,UBL
2025-12-10,376.92,379.39,376.13,377.74,2397678,False,UBL
2025-12-09,376.02,378.9,375.01,376.91,931898,False,UBL
2025-12-08,375.2,377.0,373.73,375.57,1626241,False,UBL
2025-12-05,379.98,380.0,373.0,376.35,1262768,False,UBL
2025-12-04,375.11,377.55,372.72,373.9,101463,False,UBL
2025-12-03,377.11,378.5,374.0,374.83,557870,False,UBL
2025-12-02,379.9,381.9,377.0,378.38,1206966,False,UBL
2025-12-01,380.0,381.9,376.01,379.92,823294,False,UBL
2025-11-28,379.0,384.0,378.0,379.03,866697,False,UBL
2025-11-27,375.05,379.4,374.0,378.21,938937,False,UBL
2025-11-26,373.99,378.9,370.0,375.84,984447,False,UBL
2025-11-25,374.0,375.0,370.0,372.8,737146,False,UBL
2025-11-24,371.62,375.0,368.1,372.22,665345,False,UBL
2025-11-21,372.9,372.9,370.01,371.62,597534,False,UBL
