symbol,rows_recent,avg_volume_recent,last_close,data_start,data_end
KEL,252,80810832.92,8.12,2025-05-09,2026-05-08
WTL,252,61786655.44,1.35,2025-05-09,2026-05-08
BOP,252,46650100.02,36.13,2025-05-09,2026-05-08
CNERGY,252,27153191.73,8.53,2025-05-09,2026-05-08
PIBTL,252,22729027.87,17.13,2025-05-09,2026-05-08
FNEL,252,22615146.08,1.44,2025-05-09,2026-05-08
HASCOL,252,20808114.52,24.56,2025-05-09,2026-05-08
BML,252,16981556.77,55.49,2025-05-09,2026-05-08
PTC,252,15605505.15,54.01,2025-05-09,2026-05-08
TELE,252,14759853.78,8.69,2025-05-09,2026-05-08
PACE,252,14579516.44,11.3,2025-05-09,2026-05-08
FFL,252,13402643.5,17.45,2025-05-09,2026-05-08
KOSM,252,13214134.45,5.74,2025-05-09,2026-05-08
PAEL,252,12711586.51,40.85,2025-05-09,2026-05-08
SSGC,252,11923306.0,27.91,2025-05-09,2026-05-08
TPLP,252,11333154.17,8.65,2025-05-09,2026-05-08
PRL,252,10390940.78,36.16,2025-05-09,2026-05-08
UNITY,252,9977083.37,12.91,2025-05-09,2026-05-08
PIAHCLA,252,9832917.2,26.17,2025-05-09,2026-05-08
FCCL,252,9632965.88,51.85,2025-05-09,2026-05-08
PASL,252,8967629.77,2.83,2025-05-09,2026-05-08
NBP,252,8845396.14,192.56,2025-05-09,2026-05-08
PPL,252,8773899.84,229.93,2025-05-09,2026-05-08
MLCF,252,8466538.22,88.96,2025-05-09,2026-05-08
FCSC,252,8291627.46,5.06,2025-05-09,2026-05-08
HUMNL,252,7774034.29,11.7,2025-05-09,2026-05-08
BECO,252,7630071.37,5.66,2025-05-09,2026-05-08
CSIL,252,7285474.06,6.16,2025-05-09,2026-05-08
MDTL,252,7097153.25,5.94,2025-05-09,2026-05-08
HUBC,252,6818012.45,216.53,2025-05-09,2026-05-08
DCL,252,6672642.81,10.72,2025-05-09,2026-05-08
NCPL,252,6578236.5,68.99,2025-05-09,2026-05-08
AGHA,252,6408671.21,7.95,2025-05-09,2026-05-08
OGDC,252,6349351.96,329.68,2025-05-09,2026-05-08
