symbol,sector
AGHA,ENGINEERING
AHCL,FERTILIZER
AIRLINK,TECHNOLOGY & COMMUNICATION
AKBL,COMMERCIAL BANKS
AMTEX,TEXTILE SPINNING
ANL,TEXTILE COMPOSITE
ASC,FOOD & PERSONAL CARE PRODUCTS
ASL,ENGINEERING
ASTL,ENGINEERING
BAFL,COMMERCIAL BANKS
BBFL,FOOD & PERSONAL CARE PRODUCTS
BECO,ENGINEERING
BFAGRO,FOOD & PERSONAL CARE PRODUCTS
BIPL,COMMERCIAL BANKS
BML,COMMERCIAL BANKS
BNL,FOOD & PERSONAL CARE PRODUCTS
BOP,COMMERCIAL BANKS
CLOV,FOOD & PERSONAL CARE PRODUCTS
CNERGY,REFINERY
CPHL,PHARMACEUTICALS
CSIL,INSURANCE
DCL,CEMENT
DFML,AUTOMOBILE ASSEMBLER
DFSM,TEXTILE SPINNING
DGKC,CEMENT
DSIL,TEXTILE SPINNING
DSL,ENGINEERING
ENGROH,INV. BANKS / INV. COS. / SECURITIES COS.
EPCL,CHEMICAL
FABL,COMMERCIAL BANKS
FCCL,CEMENT
FCL,CABLE & ELECTRICAL GOODS
FCSC,INV. BANKS / INV. COS. / SECURITIES COS.
FDPL,INV. BANKS / INV. COS. / SECURITIES COS.
FFC,FERTILIZER
FFL,FOOD & PERSONAL CARE PRODUCTS
FNEL,INV. BANKS / INV. COS. / SECURITIES COS.
GCIL,CHEMICAL
GCWL,CHEMICAL
GGGL,GLASS & CERAMICS
GGL,CHEMICAL
HASCOL,OIL & GAS MARKETING COMPANIES
HBL,COMMERCIAL BANKS
HUBC,POWER GENERATION & DISTRIBUTION
HUMNL,TECHNOLOGY & COMMUNICATION
ICIBL,INV. BANKS / INV. COS. / SECURITIES COS.
IMAGE,APPAREL
IMS,INV. BANKS / INV. COS. / SECURITIES COS.
ITTEFAQ,ENGINEERING
KEL,POWER GENERATION & DISTRIBUTION
KOSM,TEXTILE SPINNING
LOADS,AUTOMOBILE PARTS & ACCESSORIES
LOTCHEM,CHEMICAL
LSECL,INV. BANKS / INV. COS. / SECURITIES COS.
LSEVL,INV. BANKS / INV. COS. / SECURITIES COS.
LUCK,CEMENT
MDTL,TECHNOLOGY & COMMUNICATION
MLCF,CEMENT
MUGHAL,ENGINEERING
NBP,COMMERCIAL BANKS
NCPL,POWER GENERATION & DISTRIBUTION
NML,TEXTILE COMPOSITE
NPL,POWER GENERATION & DISTRIBUTION
NRL,REFINERY
OGDC,OIL & GAS EXPLORATION COMPANIES
PACE,PROPERTY
PAEL,CABLE & ELECTRICAL GOODS
PASL,INV. BANKS / INV. COS. / SECURITIES COS.
PIAHCLA,INV. BANKS / INV. COS. / SECURITIES COS.
PIBTL,TRANSPORT
PPL,OIL & GAS EXPLORATION COMPANIES
PREMA,FOOD & PERSONAL CARE PRODUCTS
PRL,REFINERY
PSO,OIL & GAS MARKETING COMPANIES
PSX,INV. BANKS / INV. COS. / SECURITIES COS.
PTC,TECHNOLOGY & COMMUNICATION
QUICE,FOOD & PERSONAL CARE PRODUCTS
SEARL,PHARMACEUTICALS
SLGL,TRANSPORT
SNBL,COMMERCIAL BANKS
SNGP,OIL & GAS MARKETING COMPANIES
SSGC,OIL & GAS MARKETING COMPANIES
STPL,MISCELLANEOUS
SYM,TECHNOLOGY & COMMUNICATION
SYS,TECHNOLOGY & COMMUNICATION
TBL,AUTOMOBILE PARTS & ACCESSORIES
TELE,TECHNOLOGY & COMMUNICATION
THCCL,CEMENT
TOMCL,FOOD & PERSONAL CARE PRODUCTS
TPL,TECHNOLOGY & COMMUNICATION
TPLP,PROPERTY
TSBL,INV. BANKS / INV. COS. / SECURITIES COS.
UBL,COMMERCIAL BANKS
UNITY,FOOD & PERSONAL CARE PRODUCTS
WASL,MODARABAS
WAVES,CABLE & ELECTRICAL GOODS
WAVESAPP,CABLE & ELECTRICAL GOODS
WTL,TECHNOLOGY & COMMUNICATION
YOUW,TEXTILE WEAVING
ZAL,TECHNOLOGY & COMMUNICATION
