symbol,date,open,high,low,close,volume,source,collected_at
AHCL,2016-05-11,42.0,42.5,41.01,41.78,161000,psxdata,2026-05-11T12:52:47
AHCL,2016-05-12,41.75,41.75,41.01,41.2,118000,psxdata,2026-05-11T12:52:47
AHCL,2016-05-13,41.3,41.79,41.0,41.38,52500,psxdata,2026-05-11T12:52:47
AHCL,2016-05-16,41.82,41.82,41.15,41.25,37500,psxdata,2026-05-11T12:52:47
AHCL,2016-05-17,41.49,41.9,41.1,41.23,104000,psxdata,2026-05-11T12:52:47
AHCL,2016-05-18,41.49,41.55,41.0,41.26,65000,psxdata,2026-05-11T12:52:47
AHCL,2016-05-19,41.48,41.5,40.51,41.12,149500,psxdata,2026-05-11T12:52:47
AHCL,2016-05-20,40.86,41.43,40.8,41.11,181500,psxdata,2026-05-11T12:52:47
AHCL,2016-05-23,41.4,41.75,40.67,40.8,2307500,psxdata,2026-05-11T12:52:47
AHCL,2016-05-24,41.0,41.0,40.11,40.37,236500,psxdata,2026-05-11T12:52:47
AHCL,2016-05-25,40.4,40.5,39.85,39.95,218000,psxdata,2026-05-11T12:52:47
AHCL,2016-05-26,40.0,40.25,39.55,39.67,51000,psxdata,2026-05-11T12:52:47
AHCL,2016-05-27,39.69,40.5,39.69,39.97,86000,psxdata,2026-05-11T12:52:47
AHCL,2016-05-30,39.9,39.98,39.5,39.51,47500,psxdata,2026-05-11T12:52:47
AHCL,2016-05-31,39.52,39.52,39.0,39.09,103000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-01,39.3,39.75,38.93,39.5,44500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-02,39.65,39.65,39.15,39.25,48500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-03,39.5,39.5,38.78,38.87,139500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-06,39.3,40.45,38.86,38.99,596000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-07,39.01,39.34,39.0,39.01,26500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-08,39.0,39.28,38.7,39.17,17500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-09,39.35,39.8,38.8,39.25,60500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-10,39.35,39.35,38.8,39.01,35500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-13,38.0,39.0,38.0,38.5,23000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-14,37.3,39.25,37.26,39.1,72000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-15,38.65,39.85,38.65,39.59,93500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-16,39.06,39.06,37.91,38.1,313000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-17,38.0,38.5,37.9,38.36,27000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-20,38.0,38.3,38.0,38.07,45500,psxdata,2026-05-11T12:52:47
AHCL,2016-06-21,38.0,38.7,37.95,38.19,34000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-22,38.0,38.0,37.9,37.93,35000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-23,38.36,38.36,37.56,37.63,60000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-24,37.5,37.56,36.0,36.97,474000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-27,36.6,38.0,36.5,37.93,82000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-28,37.15,37.7,37.11,37.38,1048000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-29,37.5,39.0,37.5,38.85,116000,psxdata,2026-05-11T12:52:47
AHCL,2016-06-30,39.0,39.6,38.78,39.45,115500,psxdata,2026-05-11T12:52:47
AHCL,2016-07-04,39.55,39.55,38.15,39.4,10000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-11,39.1,39.1,38.46,38.59,85000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-12,38.75,39.98,38.6,39.85,475500,psxdata,2026-05-11T12:52:47
AHCL,2016-07-13,39.26,39.75,38.7,39.43,96500,psxdata,2026-05-11T12:52:47
AHCL,2016-07-14,38.85,39.35,38.85,39.27,70500,psxdata,2026-05-11T12:52:47
AHCL,2016-07-15,39.16,39.9,38.2,39.6,134500,psxdata,2026-05-11T12:52:47
AHCL,2016-07-18,39.84,40.75,39.4,40.58,402000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-19,40.88,41.0,40.0,40.36,75500,psxdata,2026-05-11T12:52:47
AHCL,2016-07-20,40.5,41.0,40.05,40.66,78000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-21,40.9,41.5,40.5,41.1,299000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-22,41.01,41.4,40.26,40.88,342000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-25,40.51,40.51,39.92,40.17,97000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-26,40.39,40.4,39.82,39.89,141500,psxdata,2026-05-11T12:52:47
AHCL,2016-07-27,39.81,40.3,39.75,39.93,39000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-28,39.9,40.0,39.27,39.58,45000,psxdata,2026-05-11T12:52:47
AHCL,2016-07-29,39.75,39.75,39.11,39.27,39000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-01,39.75,41.23,39.49,41.23,1259000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-02,42.5,42.8,41.35,41.54,1373500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-03,41.51,41.65,40.8,41.19,337500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-04,41.2,41.6,40.81,40.89,193000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-05,40.81,41.45,40.4,41.03,405000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-08,41.25,41.5,40.76,41.19,130000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-09,41.1,41.49,41.09,41.43,88500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-10,41.5,42.4,41.5,41.97,315000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-11,42.25,42.61,42.1,42.26,317500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-12,42.25,43.49,42.25,42.89,353500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-15,43.0,43.2,42.5,42.75,101000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-16,42.7,42.88,42.15,42.33,91500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-17,42.4,42.5,41.55,41.98,271500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-18,42.0,42.85,42.0,42.68,258000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-19,42.35,43.1,42.35,42.53,185500,psxdata,2026-05-11T12:52:47
AHCL,2016-08-22,42.89,42.89,42.26,42.36,70000,psxdata,2026-05-11T12:52:47
AHCL,2016-08-23,42.31,43.31,42.31,42.92,961000,psxdata,2026-05-11T12:52:47
