symbol,date,open,high,low,close,volume,source,collected_at
AKBL,2016-05-11,18.2,18.37,18.2,18.25,466500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-12,18.25,18.39,18.15,18.19,163000,psxdata,2026-05-11T12:54:19
AKBL,2016-05-13,18.3,18.35,18.2,18.3,269500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-16,18.25,18.35,18.2,18.25,239000,psxdata,2026-05-11T12:54:19
AKBL,2016-05-17,18.2,18.39,18.2,18.23,156000,psxdata,2026-05-11T12:54:19
AKBL,2016-05-18,18.21,18.25,18.12,18.21,173500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-19,18.2,18.46,18.2,18.39,738000,psxdata,2026-05-11T12:54:19
AKBL,2016-05-20,18.41,18.51,18.22,18.34,303500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-23,18.2,18.35,17.94,18.21,1137500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-24,18.35,18.35,18.06,18.15,470000,psxdata,2026-05-11T12:54:19
AKBL,2016-05-25,18.2,18.28,18.19,18.21,398500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-26,18.3,18.3,18.08,18.17,364000,psxdata,2026-05-11T12:54:19
AKBL,2016-05-27,18.07,18.48,18.05,18.09,381500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-30,18.13,18.2,18.0,18.0,237500,psxdata,2026-05-11T12:54:19
AKBL,2016-05-31,17.99,18.01,17.6,17.71,569000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-01,17.94,18.0,17.91,17.96,534000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-02,18.0,18.0,17.75,17.8,476000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-03,17.85,17.93,17.8,17.89,642000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-06,17.8,17.97,17.62,17.78,196000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-07,17.7,17.9,17.7,17.8,31500,psxdata,2026-05-11T12:54:19
AKBL,2016-06-08,17.98,17.98,17.78,17.79,158000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-09,17.8,18.0,17.75,17.87,571000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-10,17.85,18.0,17.75,17.81,116000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-13,17.8,18.0,17.75,17.97,263000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-14,17.99,18.2,17.99,18.03,347000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-15,18.1,18.29,18.05,18.26,271000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-16,18.25,18.99,18.25,18.71,1456500,psxdata,2026-05-11T12:54:19
AKBL,2016-06-17,18.79,18.79,18.3,18.6,496500,psxdata,2026-05-11T12:54:19
AKBL,2016-06-20,18.61,18.61,18.2,18.26,253000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-21,18.12,18.29,18.12,18.23,43500,psxdata,2026-05-11T12:54:19
AKBL,2016-06-22,18.4,18.4,18.01,18.14,302500,psxdata,2026-05-11T12:54:19
AKBL,2016-06-23,18.36,18.36,18.06,18.13,485000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-24,18.2,18.2,17.55,17.82,326000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-27,17.97,18.0,17.5,17.94,109500,psxdata,2026-05-11T12:54:19
AKBL,2016-06-28,18.29,18.29,17.81,18.12,207000,psxdata,2026-05-11T12:54:19
AKBL,2016-06-29,18.25,18.39,18.15,18.27,192500,psxdata,2026-05-11T12:54:19
AKBL,2016-06-30,18.15,18.8,18.15,18.68,383000,psxdata,2026-05-11T12:54:19
