symbol,date,open,high,low,close,volume,source,collected_at
AMTEX,2016-05-11,1.6,1.62,1.6,1.6,275000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-12,1.6,1.65,1.57,1.63,85000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-13,1.6,1.7,1.6,1.62,168000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-16,1.6,1.9,1.6,1.8,1253500,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-17,1.86,2.08,1.79,1.8,3824500,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-18,1.9,1.9,1.75,1.79,339500,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-19,1.8,1.85,1.77,1.82,267500,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-20,1.8,1.8,1.71,1.77,412000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-23,1.88,1.88,1.75,1.77,42000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-24,1.76,1.76,1.61,1.68,246000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-25,1.66,1.75,1.66,1.7,156500,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-26,1.66,1.7,1.63,1.66,93000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-27,1.73,1.77,1.68,1.75,252500,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-30,1.78,1.93,1.72,1.85,1215000,psxdata,2026-05-11T12:54:41
AMTEX,2016-05-31,1.78,1.85,1.75,1.76,219500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-01,1.85,1.85,1.75,1.8,280000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-02,1.76,1.85,1.76,1.84,115000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-03,1.85,2.0,1.83,1.92,1163500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-06,1.85,1.95,1.85,1.93,448000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-07,1.86,1.88,1.77,1.81,107000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-08,1.8,1.81,1.71,1.74,81000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-09,1.83,1.83,1.65,1.74,151500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-10,1.66,1.75,1.62,1.64,85000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-13,1.62,1.7,1.58,1.65,224500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-14,1.69,1.7,1.62,1.7,11500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-15,1.66,1.68,1.65,1.67,23000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-16,1.63,1.67,1.55,1.61,202500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-17,1.69,1.69,1.56,1.62,73000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-20,1.6,1.68,1.6,1.65,2500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-21,1.73,1.73,1.65,1.65,7000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-22,1.72,1.72,1.6,1.6,81500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-23,1.61,1.61,1.59,1.6,52000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-24,1.6,1.66,1.6,1.64,79500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-27,1.68,1.68,1.58,1.61,185000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-28,1.6,1.66,1.59,1.65,130000,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-29,1.65,1.65,1.55,1.59,109500,psxdata,2026-05-11T12:54:41
AMTEX,2016-06-30,1.59,1.63,1.57,1.59,34000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-04,1.6,1.6,1.6,1.6,4000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-11,1.58,1.65,1.58,1.6,151000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-12,1.6,1.65,1.58,1.64,218000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-13,1.64,1.64,1.58,1.6,126500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-14,1.6,1.6,1.58,1.59,155500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-15,1.6,1.6,1.56,1.59,96000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-18,1.59,1.59,1.56,1.58,47500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-19,1.58,1.59,1.56,1.58,36500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-20,1.58,1.6,1.56,1.57,82500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-21,1.56,1.63,1.54,1.58,539000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-22,1.6,1.62,1.58,1.62,146000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-25,1.62,1.62,1.58,1.59,23000,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-26,1.58,1.61,1.52,1.57,630500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-27,1.6,1.6,1.54,1.56,167500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-28,1.55,1.59,1.54,1.56,107500,psxdata,2026-05-11T12:54:41
AMTEX,2016-07-29,1.55,1.57,1.52,1.56,37500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-01,1.53,1.58,1.53,1.58,109500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-02,1.56,1.57,1.54,1.54,56500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-03,1.55,1.62,1.55,1.61,144500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-04,1.58,1.59,1.54,1.54,17000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-05,1.56,1.69,1.51,1.62,25500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-08,1.61,1.62,1.57,1.57,53500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-09,1.6,1.8,1.56,1.72,720500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-10,1.73,1.77,1.62,1.72,175500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-11,1.65,1.76,1.65,1.71,281500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-12,1.62,1.75,1.62,1.75,124500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-15,1.72,1.75,1.69,1.75,116000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-16,1.75,1.76,1.7,1.75,342500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-17,1.72,1.86,1.7,1.85,1137000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-18,1.8,1.97,1.8,1.9,2378500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-19,1.9,1.93,1.84,1.89,281500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-22,1.93,2.67,1.92,2.54,24565000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-23,2.59,2.64,2.1,2.13,11763500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-24,2.16,2.16,1.92,2.0,2201000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-25,1.99,2.22,1.94,2.07,4969000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-26,2.16,2.18,2.05,2.12,1036000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-29,2.16,2.17,2.05,2.07,519000,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-30,2.03,2.1,2.0,2.01,684500,psxdata,2026-05-11T12:54:41
AMTEX,2016-08-31,2.03,2.25,2.0,2.17,2518000,psxdata,2026-05-11T12:54:41
AMTEX,2016-09-01,2.2,2.24,2.11,2.14,907000,psxdata,2026-05-11T12:54:41
AMTEX,2016-09-02,2.2,2.2,2.07,2.13,744500,psxdata,2026-05-11T12:54:41
AMTEX,2016-09-05,2.19,2.19,2.0,2.08,751000,psxdata,2026-05-11T12:54:41
AMTEX,2016-09-06,2.1,2.15,2.01,2.03,431000,psxdata,2026-05-11T12:54:41
AMTEX,2016-09-07,2.01,2.15,2.01,2.08,473000,psxdata,2026-05-11T12:54:41
AMTEX,2016-09-08,2.09,2.27,2.06,2.12,2826500,psxdata,2026-05-11T12:54:41
