symbol,date,open,high,low,close,volume,source,collected_at
ANL,2016-05-11,4.34,4.4,4.26,4.3,630500,psxdata,2026-05-11T12:55:53
ANL,2016-05-12,4.32,4.52,4.32,4.36,1356000,psxdata,2026-05-11T12:55:53
ANL,2016-05-13,4.5,4.77,4.4,4.68,4699000,psxdata,2026-05-11T12:55:53
ANL,2016-05-16,4.8,4.94,4.71,4.75,2729500,psxdata,2026-05-11T12:55:53
ANL,2016-05-17,4.78,4.84,4.48,4.51,1210000,psxdata,2026-05-11T12:55:53
ANL,2016-05-18,4.61,4.85,4.55,4.8,2516500,psxdata,2026-05-11T12:55:53
ANL,2016-05-19,4.89,4.95,4.8,4.83,2025500,psxdata,2026-05-11T12:55:53
ANL,2016-05-20,4.8,5.1,4.7,5.01,5696000,psxdata,2026-05-11T12:55:53
ANL,2016-05-23,5.01,5.07,4.8,4.83,1504000,psxdata,2026-05-11T12:55:53
ANL,2016-05-24,4.83,4.9,4.75,4.8,890000,psxdata,2026-05-11T12:55:53
ANL,2016-05-25,4.78,4.96,4.78,4.85,1126500,psxdata,2026-05-11T12:55:53
ANL,2016-05-26,4.78,4.78,4.44,4.49,4850000,psxdata,2026-05-11T12:55:53
ANL,2016-05-27,4.47,4.6,4.47,4.5,1137000,psxdata,2026-05-11T12:55:53
ANL,2016-05-30,4.57,4.67,4.43,4.59,1558000,psxdata,2026-05-11T12:55:53
ANL,2016-05-31,4.55,4.59,4.43,4.44,806000,psxdata,2026-05-11T12:55:53
ANL,2016-06-01,4.52,4.6,4.5,4.58,480500,psxdata,2026-05-11T12:55:53
ANL,2016-06-02,4.62,4.75,4.55,4.59,755000,psxdata,2026-05-11T12:55:53
ANL,2016-06-03,4.59,4.77,4.59,4.69,955000,psxdata,2026-05-11T12:55:53
ANL,2016-06-06,4.73,4.8,4.55,4.58,829500,psxdata,2026-05-11T12:55:53
ANL,2016-06-07,4.59,4.59,4.44,4.46,461000,psxdata,2026-05-11T12:55:53
ANL,2016-06-08,4.58,4.58,4.4,4.43,333000,psxdata,2026-05-11T12:55:53
