symbol,date,open,high,low,close,volume,source,collected_at
ASC,2016-05-11,56.11,56.86,55.1,55.21,920500,psxdata,2026-05-11T12:55:23
ASC,2016-05-12,55.75,56.72,55.2,56.6,550000,psxdata,2026-05-11T12:55:23
ASC,2016-05-13,56.52,57.2,55.92,56.03,331500,psxdata,2026-05-11T12:55:23
ASC,2016-05-16,56.5,56.6,55.26,55.42,163000,psxdata,2026-05-11T12:55:23
ASC,2016-05-17,55.5,55.69,55.0,55.1,57500,psxdata,2026-05-11T12:55:23
ASC,2016-05-18,55.68,55.68,54.85,55.0,128000,psxdata,2026-05-11T12:55:23
ASC,2016-05-19,55.0,55.47,54.0,54.24,329000,psxdata,2026-05-11T12:55:23
ASC,2016-05-20,54.17,54.6,52.76,52.94,731000,psxdata,2026-05-11T12:55:23
ASC,2016-05-23,52.55,53.7,52.5,52.77,180500,psxdata,2026-05-11T12:55:23
ASC,2016-05-24,53.0,53.4,52.5,52.85,327500,psxdata,2026-05-11T12:55:23
ASC,2016-05-25,53.48,53.49,52.64,52.77,527500,psxdata,2026-05-11T12:55:23
ASC,2016-05-26,52.1,53.0,52.1,52.46,220500,psxdata,2026-05-11T12:55:23
ASC,2016-05-27,52.5,52.98,51.66,52.13,102000,psxdata,2026-05-11T12:55:23
ASC,2016-05-30,52.01,52.39,50.54,50.69,199000,psxdata,2026-05-11T12:55:23
ASC,2016-05-31,51.0,53.2,51.0,52.3,416500,psxdata,2026-05-11T12:55:23
ASC,2016-06-01,52.55,53.0,52.3,52.68,87000,psxdata,2026-05-11T12:55:23
ASC,2016-06-02,53.3,55.18,52.8,54.79,701000,psxdata,2026-05-11T12:55:23
ASC,2016-06-03,54.9,56.65,54.9,55.18,920000,psxdata,2026-05-11T12:55:23
ASC,2016-06-06,55.0,56.0,53.65,54.85,188000,psxdata,2026-05-11T12:55:23
ASC,2016-06-07,54.11,54.2,53.7,53.79,88500,psxdata,2026-05-11T12:55:23
ASC,2016-06-08,53.41,53.94,53.3,53.41,91000,psxdata,2026-05-11T12:55:23
ASC,2016-06-09,54.4,54.4,53.01,53.64,33000,psxdata,2026-05-11T12:55:23
ASC,2016-06-10,53.01,53.01,52.0,52.36,77000,psxdata,2026-05-11T12:55:23
ASC,2016-06-13,51.39,52.5,50.71,52.36,77500,psxdata,2026-05-11T12:55:23
ASC,2016-06-14,52.03,53.2,52.03,52.74,110000,psxdata,2026-05-11T12:55:23
ASC,2016-06-15,53.5,53.5,52.81,52.82,57000,psxdata,2026-05-11T12:55:23
ASC,2016-06-16,52.27,53.0,52.25,52.35,87500,psxdata,2026-05-11T12:55:23
ASC,2016-06-17,52.3,54.49,52.26,52.98,298500,psxdata,2026-05-11T12:55:23
ASC,2016-06-20,53.89,54.25,53.0,53.83,135000,psxdata,2026-05-11T12:55:23
ASC,2016-06-21,54.04,55.5,54.03,54.89,704500,psxdata,2026-05-11T12:55:23
ASC,2016-06-22,54.51,54.85,52.88,53.0,282000,psxdata,2026-05-11T12:55:23
ASC,2016-06-23,53.05,53.05,52.31,52.5,134500,psxdata,2026-05-11T12:55:23
ASC,2016-06-24,52.6,52.6,49.88,51.24,479000,psxdata,2026-05-11T12:55:23
ASC,2016-06-27,51.9,51.9,50.31,50.43,207500,psxdata,2026-05-11T12:55:23
ASC,2016-06-28,50.75,51.25,49.51,49.83,144000,psxdata,2026-05-11T12:55:23
ASC,2016-06-29,50.5,51.9,50.25,51.83,224500,psxdata,2026-05-11T12:55:23
ASC,2016-06-30,52.0,52.3,51.5,52.21,71000,psxdata,2026-05-11T12:55:23
ASC,2016-07-04,52.15,52.44,51.99,52.09,70500,psxdata,2026-05-11T12:55:23
ASC,2016-07-11,52.15,54.0,51.2,53.05,268000,psxdata,2026-05-11T12:55:23
ASC,2016-07-12,52.98,54.3,52.65,53.55,456000,psxdata,2026-05-11T12:55:23
ASC,2016-07-13,53.95,53.95,52.9,52.98,448000,psxdata,2026-05-11T12:55:23
ASC,2016-07-14,52.26,53.32,52.26,52.95,318500,psxdata,2026-05-11T12:55:23
ASC,2016-07-15,53.4,54.5,53.0,53.95,522500,psxdata,2026-05-11T12:55:23
ASC,2016-07-18,54.5,54.64,53.65,54.44,495000,psxdata,2026-05-11T12:55:23
ASC,2016-07-19,54.25,57.16,54.2,57.16,1751500,psxdata,2026-05-11T12:55:23
ASC,2016-07-20,57.9,58.85,56.75,57.85,1635500,psxdata,2026-05-11T12:55:23
ASC,2016-07-21,58.0,58.0,56.95,57.41,508000,psxdata,2026-05-11T12:55:23
ASC,2016-07-22,57.2,58.75,57.1,58.0,834000,psxdata,2026-05-11T12:55:23
ASC,2016-07-25,58.0,58.0,57.4,57.55,147500,psxdata,2026-05-11T12:55:23
ASC,2016-07-26,57.7,58.5,57.55,58.33,475500,psxdata,2026-05-11T12:55:23
ASC,2016-07-27,58.5,59.4,57.8,58.03,1125000,psxdata,2026-05-11T12:55:23
ASC,2016-07-28,58.6,58.69,57.0,57.55,259500,psxdata,2026-05-11T12:55:23
ASC,2016-07-29,57.7,58.0,57.26,57.74,60500,psxdata,2026-05-11T12:55:23
ASC,2016-08-01,57.6,59.0,57.6,58.17,462000,psxdata,2026-05-11T12:55:23
ASC,2016-08-02,58.01,58.25,56.92,57.17,265500,psxdata,2026-05-11T12:55:23
ASC,2016-08-03,57.01,58.1,56.65,56.84,280000,psxdata,2026-05-11T12:55:23
ASC,2016-08-04,57.0,57.84,54.8,55.11,1682000,psxdata,2026-05-11T12:55:23
ASC,2016-08-05,55.25,56.0,55.0,55.17,557000,psxdata,2026-05-11T12:55:23
ASC,2016-08-08,55.05,57.38,55.0,56.51,1412000,psxdata,2026-05-11T12:55:23
ASC,2016-08-09,57.0,57.15,56.5,56.61,321500,psxdata,2026-05-11T12:55:23
ASC,2016-08-10,56.44,58.45,56.44,58.18,1260500,psxdata,2026-05-11T12:55:23
ASC,2016-08-11,58.6,58.6,57.02,57.53,860500,psxdata,2026-05-11T12:55:23
ASC,2016-08-12,57.39,58.19,56.8,57.02,467000,psxdata,2026-05-11T12:55:23
ASC,2016-08-15,56.8,57.6,55.86,56.08,466000,psxdata,2026-05-11T12:55:23
ASC,2016-08-16,56.5,57.95,56.4,57.77,513000,psxdata,2026-05-11T12:55:23
ASC,2016-08-17,57.9,57.9,56.11,56.63,275000,psxdata,2026-05-11T12:55:23
ASC,2016-08-18,56.65,56.8,55.85,56.01,284500,psxdata,2026-05-11T12:55:23
ASC,2016-08-19,56.0,56.9,55.52,56.01,194500,psxdata,2026-05-11T12:55:23
ASC,2016-08-22,56.0,56.68,55.91,56.0,86000,psxdata,2026-05-11T12:55:23
ASC,2016-08-23,56.55,56.7,55.35,55.56,218500,psxdata,2026-05-11T12:55:23
ASC,2016-08-24,55.6,55.6,55.0,55.18,263000,psxdata,2026-05-11T12:55:23
ASC,2016-08-25,55.15,55.85,55.12,55.56,286500,psxdata,2026-05-11T12:55:23
ASC,2016-08-26,56.39,56.74,54.75,55.03,1095000,psxdata,2026-05-11T12:55:23
ASC,2016-08-29,55.5,56.6,55.27,55.92,651500,psxdata,2026-05-11T12:55:23
ASC,2016-08-30,56.35,56.35,54.98,55.19,856000,psxdata,2026-05-11T12:55:23
ASC,2016-08-31,55.45,57.59,55.4,57.05,3453500,psxdata,2026-05-11T12:55:23
ASC,2016-09-01,57.35,59.9,56.5,59.84,4942000,psxdata,2026-05-11T12:55:23
ASC,2016-09-02,60.85,62.08,60.1,60.68,3469500,psxdata,2026-05-11T12:55:23
ASC,2016-09-05,60.45,60.45,59.0,59.02,901000,psxdata,2026-05-11T12:55:23
ASC,2016-09-06,59.0,60.0,58.5,58.53,773500,psxdata,2026-05-11T12:55:23
ASC,2016-09-07,58.26,59.39,58.11,58.88,1385000,psxdata,2026-05-11T12:55:23
ASC,2016-09-08,59.0,59.2,57.75,57.85,1184000,psxdata,2026-05-11T12:55:23
