symbol,date,open,high,low,close,volume,source,collected_at
ASTL,2016-05-11,53.4,53.98,52.35,52.51,824500,psxdata,2026-05-11T12:56:41
ASTL,2016-05-12,52.26,53.49,52.25,52.64,1241500,psxdata,2026-05-11T12:56:41
ASTL,2016-05-13,52.7,54.0,52.5,53.05,1142500,psxdata,2026-05-11T12:56:41
ASTL,2016-05-16,53.15,53.49,52.5,52.56,537000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-17,52.86,53.75,52.55,52.78,667000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-18,52.8,53.1,52.65,52.81,346500,psxdata,2026-05-11T12:56:41
ASTL,2016-05-19,52.61,53.7,52.61,53.13,861000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-20,53.05,53.11,52.18,52.31,874500,psxdata,2026-05-11T12:56:41
ASTL,2016-05-23,52.5,52.6,52.13,52.5,269000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-24,52.5,52.5,52.15,52.3,631000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-25,52.5,52.5,51.82,52.14,202500,psxdata,2026-05-11T12:56:41
ASTL,2016-05-26,52.4,52.44,51.85,51.92,277000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-27,52.23,52.24,51.9,52.03,176000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-30,52.0,52.34,51.11,51.24,429000,psxdata,2026-05-11T12:56:41
ASTL,2016-05-31,51.11,51.6,50.75,50.91,377500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-01,50.99,51.55,50.81,51.49,131000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-02,51.5,51.69,51.26,51.55,103500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-03,51.25,52.5,50.98,51.95,617500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-06,51.6,51.95,51.0,51.07,127500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-07,51.0,51.25,50.1,50.21,136000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-08,50.0,50.8,50.0,50.01,522500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-09,50.2,50.5,48.8,49.01,386000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-10,49.0,49.0,47.5,47.72,507000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-13,47.01,48.2,47.0,47.13,333000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-14,47.44,47.99,47.35,47.47,420000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-15,47.81,47.99,46.47,47.07,5702000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-16,47.7,48.2,47.01,47.31,1325500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-17,47.2,47.5,46.8,47.02,134000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-20,47.3,47.47,46.9,47.09,123500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-21,47.01,47.35,46.9,47.08,254500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-22,46.96,47.48,46.8,46.87,223000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-23,47.25,47.25,46.3,46.51,1540000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-24,46.8,47.09,44.3,45.8,941000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-27,46.0,46.38,45.21,45.37,494500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-28,45.7,46.2,45.06,45.32,203500,psxdata,2026-05-11T12:56:41
ASTL,2016-06-29,45.65,47.15,45.65,46.98,399000,psxdata,2026-05-11T12:56:41
ASTL,2016-06-30,46.18,47.4,46.18,47.02,129000,psxdata,2026-05-11T12:56:41
