symbol,date,open,high,low,close,volume,source,collected_at
BAFL,2016-05-11,25.51,25.75,25.3,25.3,113000,psxdata,2026-05-11T12:54:59
BAFL,2016-05-12,25.31,25.45,25.06,25.27,1750000,psxdata,2026-05-11T12:54:59
BAFL,2016-05-13,25.3,25.5,25.25,25.37,213000,psxdata,2026-05-11T12:54:59
BAFL,2016-05-16,25.26,25.5,25.04,25.11,203000,psxdata,2026-05-11T12:54:59
BAFL,2016-05-17,25.02,25.36,24.9,24.99,422500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-18,25.0,25.05,24.8,24.91,146500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-19,24.9,25.11,24.9,24.98,1048500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-20,25.0,25.1,25.0,25.01,302500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-23,24.8,25.0,24.6,24.99,745000,psxdata,2026-05-11T12:54:59
BAFL,2016-05-24,24.71,25.05,24.5,24.88,436500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-25,24.71,24.8,24.55,24.75,105500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-26,24.52,24.9,24.5,24.6,953500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-27,24.76,24.87,24.55,24.79,258000,psxdata,2026-05-11T12:54:59
BAFL,2016-05-30,24.8,24.8,24.5,24.63,680500,psxdata,2026-05-11T12:54:59
BAFL,2016-05-31,24.51,24.6,24.07,24.21,663000,psxdata,2026-05-11T12:54:59
BAFL,2016-06-01,24.35,24.6,24.1,24.4,867500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-02,24.27,24.6,24.25,24.45,309000,psxdata,2026-05-11T12:54:59
BAFL,2016-06-03,24.5,24.85,24.5,24.75,347000,psxdata,2026-05-11T12:54:59
BAFL,2016-06-06,24.7,24.7,24.2,24.55,315500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-07,24.7,24.85,24.3,24.36,57000,psxdata,2026-05-11T12:54:59
BAFL,2016-06-08,24.5,24.5,24.4,24.5,162500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-09,24.26,24.48,24.26,24.41,67000,psxdata,2026-05-11T12:54:59
BAFL,2016-06-10,24.31,24.6,24.2,24.4,258500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-13,24.15,24.5,24.15,24.4,46000,psxdata,2026-05-11T12:54:59
BAFL,2016-06-14,24.36,25.25,24.3,25.11,1549500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-15,25.5,26.06,24.9,25.81,1034500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-16,26.34,27.1,25.62,27.05,3157500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-17,27.3,27.99,26.81,27.75,2464500,psxdata,2026-05-11T12:54:59
BAFL,2016-06-20,28.39,28.5,26.37,26.4,4986000,psxdata,2026-05-11T12:54:59
