symbol,date,open,high,low,close,volume,source,collected_at
BIPL,2016-05-11,11.5,12.03,11.5,12.0,15500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-13,11.51,11.51,11.5,11.5,1500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-16,11.4,11.41,11.25,11.25,19500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-17,11.8,12.25,11.5,11.6,324500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-18,11.6,12.0,11.49,11.89,16000,psxdata,2026-05-11T12:55:46
BIPL,2016-05-20,11.55,11.6,11.55,11.6,22500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-23,11.6,11.75,11.31,11.75,4000,psxdata,2026-05-11T12:55:46
BIPL,2016-05-24,11.3,11.9,11.3,11.9,10000,psxdata,2026-05-11T12:55:46
BIPL,2016-05-25,11.5,11.5,11.31,11.39,6500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-26,11.25,11.5,11.25,11.5,24500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-27,11.01,11.1,11.01,11.05,12000,psxdata,2026-05-11T12:55:46
BIPL,2016-05-30,11.28,12.05,11.28,11.5,30500,psxdata,2026-05-11T12:55:46
BIPL,2016-05-31,11.5,11.5,11.26,11.26,21000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-01,11.5,11.5,11.26,11.26,7000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-02,11.2,11.35,11.2,11.35,3500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-03,11.25,11.88,11.25,11.45,3500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-06,11.4,11.4,11.4,11.4,1000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-07,11.15,11.15,11.15,11.15,500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-08,11.0,11.35,11.0,11.17,12500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-09,11.01,11.01,11.01,11.01,3000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-10,10.9,10.9,10.9,10.9,500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-13,10.73,10.73,10.72,10.72,1500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-14,10.9,11.0,10.9,11.0,6000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-15,10.9,10.9,10.9,10.9,1000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-16,10.6,11.18,10.57,11.18,89000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-17,10.71,11.65,10.71,11.52,1134000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-20,11.02,11.02,11.0,11.0,15500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-21,11.0,11.0,10.9,10.9,12000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-22,10.65,10.7,10.65,10.7,2500,psxdata,2026-05-11T12:55:46
BIPL,2016-06-23,10.5,11.0,10.5,11.0,20000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-24,10.72,11.0,10.72,11.0,258000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-27,11.0,11.0,11.0,11.0,29000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-28,10.35,11.11,10.35,10.6,3000,psxdata,2026-05-11T12:55:46
BIPL,2016-06-29,10.6,10.75,10.45,10.53,4000,psxdata,2026-05-11T12:55:46
BIPL,2016-07-04,10.4,10.5,10.4,10.5,1500,psxdata,2026-05-11T12:55:46
BIPL,2016-07-11,10.95,11.5,10.95,11.5,328000,psxdata,2026-05-11T12:55:46
BIPL,2016-07-12,11.5,11.78,11.5,11.5,36000,psxdata,2026-05-11T12:55:46
