symbol,date,open,high,low,close,volume,source,collected_at
BML,2016-05-11,3.15,3.28,3.14,3.16,299500,psxdata,2026-05-11T12:50:53
BML,2016-05-12,3.2,3.2,3.11,3.15,64500,psxdata,2026-05-11T12:50:53
BML,2016-05-13,3.2,3.2,3.13,3.14,181000,psxdata,2026-05-11T12:50:53
BML,2016-05-16,3.15,3.2,3.15,3.16,202500,psxdata,2026-05-11T12:50:53
BML,2016-05-17,3.17,3.2,3.0,3.13,356000,psxdata,2026-05-11T12:50:53
BML,2016-05-18,3.15,3.15,3.05,3.11,3125000,psxdata,2026-05-11T12:50:53
BML,2016-05-19,3.08,3.15,3.08,3.11,100500,psxdata,2026-05-11T12:50:53
BML,2016-05-20,3.1,3.14,3.0,3.05,495000,psxdata,2026-05-11T12:50:53
BML,2016-05-23,3.06,3.08,2.99,3.0,1987000,psxdata,2026-05-11T12:50:53
BML,2016-05-24,3.0,3.03,2.98,3.0,429000,psxdata,2026-05-11T12:50:53
BML,2016-05-25,3.01,3.05,2.99,3.0,391000,psxdata,2026-05-11T12:50:53
BML,2016-05-26,3.05,3.09,2.98,3.06,158000,psxdata,2026-05-11T12:50:53
BML,2016-05-27,3.0,3.05,3.0,3.01,60500,psxdata,2026-05-11T12:50:53
BML,2016-05-30,3.0,3.05,2.98,3.0,45500,psxdata,2026-05-11T12:50:53
BML,2016-05-31,3.0,3.04,2.97,2.99,72500,psxdata,2026-05-11T12:50:53
BML,2016-06-01,2.95,3.0,2.95,2.98,405000,psxdata,2026-05-11T12:50:53
BML,2016-06-02,3.0,3.0,2.96,2.98,91500,psxdata,2026-05-11T12:50:53
BML,2016-06-03,2.96,3.0,2.95,2.99,107000,psxdata,2026-05-11T12:50:53
BML,2016-06-06,2.96,3.0,2.94,2.99,38000,psxdata,2026-05-11T12:50:53
BML,2016-06-07,2.95,2.99,2.95,2.96,8500,psxdata,2026-05-11T12:50:53
BML,2016-06-08,2.95,2.95,2.9,2.9,94500,psxdata,2026-05-11T12:50:53
BML,2016-06-09,2.88,2.98,2.88,2.9,34500,psxdata,2026-05-11T12:50:53
BML,2016-06-10,2.9,2.94,2.82,2.82,26000,psxdata,2026-05-11T12:50:53
BML,2016-06-13,2.81,2.84,2.78,2.8,56500,psxdata,2026-05-11T12:50:53
BML,2016-06-14,2.8,2.81,2.73,2.78,170000,psxdata,2026-05-11T12:50:53
BML,2016-06-15,2.8,2.85,2.76,2.79,44000,psxdata,2026-05-11T12:50:53
BML,2016-06-16,2.8,2.84,2.8,2.81,690000,psxdata,2026-05-11T12:50:53
BML,2016-06-17,2.77,2.87,2.77,2.87,10500,psxdata,2026-05-11T12:50:53
BML,2016-06-20,2.81,2.88,2.77,2.83,280000,psxdata,2026-05-11T12:50:53
BML,2016-06-21,2.89,2.89,2.89,2.89,3000,psxdata,2026-05-11T12:50:53
BML,2016-06-22,2.86,2.86,2.71,2.79,114500,psxdata,2026-05-11T12:50:53
BML,2016-06-23,2.75,2.84,2.74,2.8,4334500,psxdata,2026-05-11T12:50:53
BML,2016-06-24,2.95,2.95,2.74,2.78,4910000,psxdata,2026-05-11T12:50:53
BML,2016-06-27,2.7,2.85,2.66,2.7,349500,psxdata,2026-05-11T12:50:53
BML,2016-06-28,2.71,2.71,2.51,2.66,241000,psxdata,2026-05-11T12:50:53
BML,2016-06-29,2.67,2.75,2.65,2.72,31000,psxdata,2026-05-11T12:50:53
BML,2016-06-30,2.88,3.05,2.61,2.99,753500,psxdata,2026-05-11T12:50:53
BML,2016-07-04,2.9,2.94,2.82,2.88,47000,psxdata,2026-05-11T12:50:53
BML,2016-07-11,2.9,2.9,2.75,2.85,40000,psxdata,2026-05-11T12:50:53
BML,2016-07-12,3.04,3.04,2.72,2.75,185500,psxdata,2026-05-11T12:50:53
BML,2016-07-13,2.77,2.8,2.72,2.75,30000,psxdata,2026-05-11T12:50:53
BML,2016-07-14,2.77,2.85,2.75,2.84,103000,psxdata,2026-05-11T12:50:53
BML,2016-07-15,2.77,2.86,2.75,2.85,27000,psxdata,2026-05-11T12:50:53
BML,2016-07-18,2.75,2.84,2.75,2.8,10500,psxdata,2026-05-11T12:50:53
BML,2016-07-19,2.72,2.85,2.69,2.77,104000,psxdata,2026-05-11T12:50:53
BML,2016-07-20,2.8,2.8,2.7,2.77,21500,psxdata,2026-05-11T12:50:53
BML,2016-07-21,2.79,2.85,2.71,2.82,62000,psxdata,2026-05-11T12:50:53
BML,2016-07-22,2.73,2.85,2.72,2.83,4500,psxdata,2026-05-11T12:50:53
BML,2016-07-25,2.78,2.83,2.75,2.75,121500,psxdata,2026-05-11T12:50:53
BML,2016-07-26,2.77,2.78,2.71,2.75,54500,psxdata,2026-05-11T12:50:53
BML,2016-07-27,2.71,2.75,2.71,2.75,17500,psxdata,2026-05-11T12:50:53
BML,2016-07-28,2.79,2.79,2.5,2.69,100500,psxdata,2026-05-11T12:50:53
BML,2016-07-29,2.75,2.75,2.7,2.7,3000,psxdata,2026-05-11T12:50:53
BML,2016-08-01,2.78,2.82,2.6,2.79,137000,psxdata,2026-05-11T12:50:53
BML,2016-08-02,2.71,2.75,2.5,2.7,284500,psxdata,2026-05-11T12:50:53
BML,2016-08-03,2.65,2.7,2.6,2.7,52500,psxdata,2026-05-11T12:50:53
BML,2016-08-04,2.65,2.75,2.6,2.64,69000,psxdata,2026-05-11T12:50:53
BML,2016-08-05,2.61,2.75,2.61,2.73,46000,psxdata,2026-05-11T12:50:53
BML,2016-08-08,2.7,2.74,2.65,2.71,77000,psxdata,2026-05-11T12:50:53
BML,2016-08-09,2.7,2.77,2.7,2.71,40000,psxdata,2026-05-11T12:50:53
BML,2016-08-10,2.77,2.8,2.71,2.73,217000,psxdata,2026-05-11T12:50:53
