symbol,date,open,high,low,close,volume,source,collected_at
BNL,2020-09-10,27.32,27.32,27.32,27.32,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-11,29.36,29.36,29.36,29.36,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-14,31.56,31.56,31.56,31.56,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-15,33.92,33.92,33.92,33.92,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-16,36.46,36.46,36.46,36.46,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-17,39.19,39.19,39.19,39.19,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-18,42.12,42.12,42.12,42.12,1000,psxdata,2026-05-11T12:53:46
BNL,2020-09-21,45.27,45.27,45.0,45.27,39500,psxdata,2026-05-11T12:53:46
BNL,2020-09-22,48.35,48.66,48.35,48.66,10000,psxdata,2026-05-11T12:53:46
BNL,2020-09-23,52.3,52.3,52.3,52.3,1000,psxdata,2026-05-11T12:53:46
BNL,2020-09-24,56.22,56.22,56.22,56.22,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-28,64.96,64.96,64.96,64.96,7000,psxdata,2026-05-11T12:53:46
BNL,2020-09-29,69.83,69.83,69.83,69.83,500,psxdata,2026-05-11T12:53:46
BNL,2020-09-30,75.06,75.06,75.0,75.06,25500,psxdata,2026-05-11T12:53:46
BNL,2020-10-01,79.4,80.68,69.44,69.44,12000,psxdata,2026-05-11T12:53:46
BNL,2020-10-02,64.24,64.5,64.24,64.24,5000,psxdata,2026-05-11T12:53:46
BNL,2020-10-05,59.43,59.43,59.43,59.43,500,psxdata,2026-05-11T12:53:46
BNL,2020-10-06,54.98,61.65,54.98,54.98,20500,psxdata,2026-05-11T12:53:46
BNL,2020-10-07,51.51,52.75,50.86,50.86,27000,psxdata,2026-05-11T12:53:46
BNL,2020-10-08,47.05,51.9,47.05,47.08,90000,psxdata,2026-05-11T12:53:46
BNL,2020-10-09,47.0,50.61,47.0,50.08,34000,psxdata,2026-05-11T12:53:46
BNL,2020-10-12,52.0,52.01,47.01,48.54,6500,psxdata,2026-05-11T12:53:46
BNL,2020-10-13,48.0,49.99,47.26,48.81,12000,psxdata,2026-05-11T12:53:46
BNL,2020-10-14,48.81,48.81,47.75,47.83,3000,psxdata,2026-05-11T12:53:46
BNL,2020-10-15,46.75,46.75,45.0,45.69,9000,psxdata,2026-05-11T12:53:46
BNL,2020-10-16,44.01,45.0,43.54,43.6,12500,psxdata,2026-05-11T12:53:46
BNL,2020-10-19,42.0,46.87,42.0,44.0,32500,psxdata,2026-05-11T12:53:46
BNL,2020-10-20,44.49,44.5,43.0,43.9,8000,psxdata,2026-05-11T12:53:46
BNL,2020-10-21,43.49,43.49,43.4,43.4,1500,psxdata,2026-05-11T12:53:46
BNL,2020-10-22,41.5,41.65,40.15,40.2,11500,psxdata,2026-05-11T12:53:46
BNL,2020-10-23,39.5,39.5,39.5,39.5,3000,psxdata,2026-05-11T12:53:46
BNL,2020-10-26,39.95,40.7,39.75,39.75,5000,psxdata,2026-05-11T12:53:46
BNL,2020-10-27,41.35,41.35,40.0,40.0,1000,psxdata,2026-05-11T12:53:46
BNL,2020-10-28,40.0,40.0,39.5,39.5,4000,psxdata,2026-05-11T12:53:46
BNL,2020-10-29,38.0,38.0,36.54,36.54,16500,psxdata,2026-05-11T12:53:46
BNL,2020-11-02,34.1,34.1,33.8,33.9,20000,psxdata,2026-05-11T12:53:46
BNL,2020-11-03,34.0,35.75,34.0,35.0,32000,psxdata,2026-05-11T12:53:46
BNL,2020-11-04,35.0,35.9,34.76,34.93,7000,psxdata,2026-05-11T12:53:46
BNL,2020-11-05,34.0,34.5,34.0,34.5,1500,psxdata,2026-05-11T12:53:46
BNL,2020-11-06,35.0,35.0,34.0,34.0,1500,psxdata,2026-05-11T12:53:46
BNL,2020-11-09,34.1,34.35,33.96,33.97,4000,psxdata,2026-05-11T12:53:46
BNL,2020-11-10,34.05,34.2,34.0,34.0,3000,psxdata,2026-05-11T12:53:46
BNL,2020-11-11,34.4,34.65,34.0,34.05,16500,psxdata,2026-05-11T12:53:46
BNL,2020-11-12,33.55,33.55,33.4,33.4,1500,psxdata,2026-05-11T12:53:46
BNL,2020-11-16,33.35,33.35,33.35,33.35,4500,psxdata,2026-05-11T12:53:46
BNL,2020-11-18,34.0,34.0,34.0,34.0,1500,psxdata,2026-05-11T12:53:46
BNL,2020-11-27,32.3,32.3,32.3,32.3,500,psxdata,2026-05-11T12:53:46
BNL,2020-12-01,34.27,34.72,34.27,34.67,4500,psxdata,2026-05-11T12:53:46
BNL,2020-12-02,36.0,37.27,36.0,37.27,8500,psxdata,2026-05-11T12:53:46
BNL,2020-12-03,40.0,40.0,40.0,40.0,2500,psxdata,2026-05-11T12:53:46
BNL,2020-12-04,43.0,43.0,43.0,43.0,3500,psxdata,2026-05-11T12:53:46
BNL,2020-12-07,46.22,46.22,43.99,46.22,39000,psxdata,2026-05-11T12:53:46
BNL,2020-12-08,49.5,49.68,42.76,42.76,104000,psxdata,2026-05-11T12:53:46
BNL,2020-12-09,42.65,44.5,39.56,39.56,93000,psxdata,2026-05-11T12:53:46
BNL,2020-12-10,40.85,42.5,37.01,40.17,43500,psxdata,2026-05-11T12:53:46
BNL,2020-12-11,39.01,41.9,38.25,40.38,11500,psxdata,2026-05-11T12:53:46
BNL,2020-12-14,39.06,40.85,37.54,39.39,51500,psxdata,2026-05-11T12:53:46
BNL,2020-12-15,38.1,38.75,38.01,38.5,17500,psxdata,2026-05-11T12:53:46
BNL,2020-12-16,38.02,38.02,35.62,36.5,154000,psxdata,2026-05-11T12:53:46
BNL,2020-12-17,36.0,36.83,33.77,34.31,135500,psxdata,2026-05-11T12:53:46
BNL,2020-12-18,34.6,34.71,33.75,34.38,31000,psxdata,2026-05-11T12:53:46
BNL,2020-12-21,33.4,35.81,33.0,34.83,37000,psxdata,2026-05-11T12:53:46
BNL,2020-12-22,34.95,36.75,34.0,36.1,54500,psxdata,2026-05-11T12:53:46
BNL,2020-12-23,36.5,37.1,34.0,35.83,335000,psxdata,2026-05-11T12:53:46
BNL,2020-12-24,36.0,36.7,33.15,33.72,554000,psxdata,2026-05-11T12:53:46
BNL,2020-12-28,33.5,34.25,31.2,31.2,342000,psxdata,2026-05-11T12:53:46
BNL,2020-12-29,30.9,33.54,30.1,33.54,3438000,psxdata,2026-05-11T12:53:46
BNL,2020-12-30,36.05,36.05,36.05,36.05,155500,psxdata,2026-05-11T12:53:46
BNL,2020-12-31,38.75,38.75,38.75,38.75,48000,psxdata,2026-05-11T12:53:46
BNL,2021-01-01,41.65,41.65,39.0,41.65,1608000,psxdata,2026-05-11T12:53:46
BNL,2021-01-04,42.7,44.77,39.55,44.64,2114500,psxdata,2026-05-11T12:53:46
BNL,2021-01-05,44.64,45.63,43.0,43.32,566500,psxdata,2026-05-11T12:53:46
BNL,2021-01-06,43.15,44.85,42.0,42.3,607500,psxdata,2026-05-11T12:53:46
