symbol,date,open,high,low,close,volume,source,collected_at
BOP,2016-05-11,8.8,8.8,8.57,8.59,5331500,psxdata,2026-05-11T12:50:31
BOP,2016-05-12,8.65,8.7,8.53,8.57,3227000,psxdata,2026-05-11T12:50:31
BOP,2016-05-13,8.6,8.65,8.5,8.56,3452500,psxdata,2026-05-11T12:50:31
BOP,2016-05-16,8.55,8.61,8.46,8.48,2737500,psxdata,2026-05-11T12:50:31
BOP,2016-05-17,8.56,8.69,8.49,8.54,9746500,psxdata,2026-05-11T12:50:31
BOP,2016-05-18,8.61,8.68,8.56,8.61,3265500,psxdata,2026-05-11T12:50:31
BOP,2016-05-19,8.61,8.77,8.6,8.68,4119500,psxdata,2026-05-11T12:50:31
BOP,2016-05-20,8.74,8.74,8.6,8.64,2993500,psxdata,2026-05-11T12:50:31
BOP,2016-05-23,8.56,8.59,8.48,8.51,4370500,psxdata,2026-05-11T12:50:31
BOP,2016-05-24,8.51,8.56,8.38,8.42,6419500,psxdata,2026-05-11T12:50:31
BOP,2016-05-25,8.45,8.55,8.41,8.46,3271000,psxdata,2026-05-11T12:50:31
BOP,2016-05-26,8.5,8.5,8.34,8.37,2056000,psxdata,2026-05-11T12:50:31
BOP,2016-05-27,8.36,8.4,8.27,8.32,5567000,psxdata,2026-05-11T12:50:31
BOP,2016-05-30,8.35,8.48,8.26,8.34,2281500,psxdata,2026-05-11T12:50:31
BOP,2016-05-31,8.35,8.61,8.35,8.41,5326000,psxdata,2026-05-11T12:50:31
BOP,2016-06-01,8.49,8.57,8.47,8.54,2414500,psxdata,2026-05-11T12:50:31
BOP,2016-06-02,8.58,8.77,8.56,8.74,6722500,psxdata,2026-05-11T12:50:31
BOP,2016-06-03,8.67,8.79,8.54,8.58,4178500,psxdata,2026-05-11T12:50:31
BOP,2016-06-06,8.52,8.6,8.45,8.5,1903500,psxdata,2026-05-11T12:50:31
BOP,2016-06-07,8.51,8.57,8.43,8.47,1787500,psxdata,2026-05-11T12:50:31
BOP,2016-06-08,8.52,8.52,8.4,8.44,1325500,psxdata,2026-05-11T12:50:31
BOP,2016-06-09,8.45,8.47,8.3,8.31,1868500,psxdata,2026-05-11T12:50:31
BOP,2016-06-13,8.22,8.32,8.12,8.27,2645000,psxdata,2026-05-11T12:50:31
BOP,2016-06-14,8.28,8.38,8.28,8.35,1042000,psxdata,2026-05-11T12:50:31
BOP,2016-06-15,8.4,8.41,8.32,8.35,1365000,psxdata,2026-05-11T12:50:31
BOP,2016-06-16,8.31,8.55,8.3,8.41,3300000,psxdata,2026-05-11T12:50:31
BOP,2016-06-17,8.42,8.47,8.38,8.41,1629000,psxdata,2026-05-11T12:50:31
