symbol,date,open,high,low,close,volume,source,collected_at
CLOV,2016-05-11,43.9,44.25,43.6,43.78,17000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-12,43.8,44.4,43.8,44.08,22500,psxdata,2026-05-11T12:56:28
CLOV,2016-05-13,43.31,43.5,42.5,42.71,95000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-16,43.35,44.84,43.01,44.84,77000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-17,45.99,47.08,45.99,47.08,31000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-18,49.43,49.43,48.65,49.39,306000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-19,49.81,51.83,49.39,49.78,281500,psxdata,2026-05-11T12:56:28
CLOV,2016-05-20,49.2,49.2,47.3,47.83,49000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-23,47.0,47.45,46.45,46.57,25000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-24,46.78,46.78,45.57,45.78,79000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-25,47.75,48.0,45.9,45.98,45500,psxdata,2026-05-11T12:56:28
CLOV,2016-05-26,46.0,46.0,45.41,45.84,13000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-27,45.05,45.95,44.85,44.9,89000,psxdata,2026-05-11T12:56:28
CLOV,2016-05-30,45.5,45.55,44.51,44.74,33500,psxdata,2026-05-11T12:56:28
CLOV,2016-05-31,44.51,45.5,43.7,43.88,55000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-01,43.0,44.49,43.0,43.98,35000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-02,44.45,44.45,43.92,43.98,29500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-03,44.25,44.25,43.8,43.9,45500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-06,43.75,44.5,42.9,42.98,100500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-07,43.4,43.5,42.6,42.8,38000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-08,42.95,43.2,42.78,42.9,21000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-09,43.05,43.3,42.87,43.27,9500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-10,43.75,43.75,42.51,42.85,12500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-13,43.48,43.5,42.51,43.12,19000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-14,43.49,43.99,43.3,43.37,21500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-15,43.27,43.5,43.1,43.3,11000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-16,43.01,44.0,43.01,43.8,35000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-17,43.3,44.0,43.28,43.6,19000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-20,43.33,43.5,43.01,43.13,11500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-21,42.92,43.64,42.7,43.47,22000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-22,43.05,43.6,43.05,43.15,14500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-23,43.0,43.3,42.81,42.87,20000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-24,42.71,42.71,41.32,42.48,19000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-27,42.3,43.23,42.0,42.2,6500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-28,42.2,42.4,41.75,42.4,62500,psxdata,2026-05-11T12:56:28
CLOV,2016-06-29,42.25,42.63,42.0,42.54,17000,psxdata,2026-05-11T12:56:28
CLOV,2016-06-30,43.14,43.14,42.35,42.55,12000,psxdata,2026-05-11T12:56:28
CLOV,2016-07-04,43.49,43.5,42.3,43.46,11500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-11,43.0,43.06,42.8,42.85,2500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-12,43.89,44.5,43.01,44.31,35000,psxdata,2026-05-11T12:56:28
CLOV,2016-07-13,44.1,44.3,43.55,43.69,15500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-14,43.55,44.0,43.51,43.7,6500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-15,43.62,44.25,43.27,44.14,33000,psxdata,2026-05-11T12:56:28
CLOV,2016-07-18,43.53,44.0,43.53,43.85,5500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-19,44.0,44.88,44.0,44.4,35500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-20,44.3,44.45,43.85,44.13,17500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-21,44.25,44.55,44.08,44.35,14500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-22,44.0,44.2,43.75,43.96,10000,psxdata,2026-05-11T12:56:28
CLOV,2016-07-25,44.25,44.8,43.9,43.91,15500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-26,44.25,44.25,43.8,44.0,7000,psxdata,2026-05-11T12:56:28
CLOV,2016-07-27,44.0,44.3,43.75,43.8,23500,psxdata,2026-05-11T12:56:28
CLOV,2016-07-28,44.0,44.0,43.41,43.55,15000,psxdata,2026-05-11T12:56:28
CLOV,2016-07-29,43.5,43.8,43.27,43.65,8500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-01,43.6,43.92,43.52,43.8,7000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-02,44.3,44.3,43.63,43.81,20500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-03,44.2,44.28,43.82,43.83,9000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-04,43.87,44.5,43.87,44.0,20500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-05,44.0,44.0,43.95,43.97,3500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-08,43.89,44.2,43.6,43.6,6000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-09,43.5,44.0,43.45,43.53,15500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-10,43.6,43.98,43.6,43.64,7500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-11,43.3,44.0,43.2,43.49,41000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-12,43.54,43.85,43.3,43.43,8000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-15,43.9,44.2,43.45,44.2,11000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-16,44.49,44.49,43.9,44.02,14000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-17,44.0,45.9,43.6,44.94,59500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-18,45.99,47.18,45.99,47.18,99000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-19,49.53,49.53,49.53,49.53,34000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-22,52.0,52.0,50.5,52.0,509500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-23,52.8,53.7,49.4,49.81,279000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-24,49.48,50.65,48.0,48.61,178500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-25,49.39,50.0,48.22,48.95,64500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-26,47.4,48.0,46.51,46.51,66500,psxdata,2026-05-11T12:56:28
CLOV,2016-08-29,44.58,45.45,44.2,44.56,202000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-30,44.98,44.99,43.83,44.04,71000,psxdata,2026-05-11T12:56:28
CLOV,2016-08-31,44.78,44.78,43.5,43.62,50000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-01,43.7,43.89,43.3,43.39,22000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-02,43.23,43.99,43.1,43.26,31500,psxdata,2026-05-11T12:56:28
CLOV,2016-09-05,43.02,44.77,43.0,43.47,48500,psxdata,2026-05-11T12:56:28
CLOV,2016-09-06,44.57,44.85,43.95,44.19,26500,psxdata,2026-05-11T12:56:28
CLOV,2016-09-07,44.48,44.75,44.35,44.7,27000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-08,44.55,45.25,44.2,44.31,41500,psxdata,2026-05-11T12:56:28
CLOV,2016-09-09,43.6,44.6,43.6,43.99,21000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-15,44.0,44.0,43.61,43.88,22000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-16,43.55,44.48,43.51,44.21,31000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-19,44.0,44.4,43.61,43.76,29000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-20,43.7,45.94,43.4,45.94,116500,psxdata,2026-05-11T12:56:28
CLOV,2016-09-21,47.0,47.47,44.71,45.53,97500,psxdata,2026-05-11T12:56:28
CLOV,2016-09-22,45.5,46.5,45.5,45.62,43000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-23,45.15,47.5,45.0,45.04,39000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-26,44.75,46.0,44.52,45.5,21500,psxdata,2026-05-11T12:56:28
CLOV,2016-09-27,45.2,46.35,45.2,45.65,39000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-28,45.42,45.97,45.0,45.1,28000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-29,44.8,45.59,44.7,44.84,20000,psxdata,2026-05-11T12:56:28
CLOV,2016-09-30,44.98,45.0,44.81,44.95,7000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-03,45.6,45.6,44.55,45.01,22000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-04,45.85,45.89,45.2,45.65,33500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-05,45.9,47.93,45.65,47.93,156000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-06,48.0,48.49,46.5,47.04,101500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-07,46.5,47.0,46.19,46.8,19500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-10,46.5,47.98,46.5,47.65,59000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-13,46.8,47.47,45.51,46.4,22500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-14,47.0,47.0,45.65,45.94,28000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-17,45.6,46.19,45.5,45.5,12500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-18,45.3,45.49,45.0,45.49,21000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-19,45.0,45.37,44.51,44.61,32500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-20,45.48,45.48,44.75,45.1,11000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-21,45.5,46.9,44.6,46.32,59000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-24,45.56,47.0,45.05,45.28,34000,psxdata,2026-05-11T12:56:28
CLOV,2016-10-25,45.01,45.25,44.5,44.75,19500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-26,45.3,45.3,44.0,44.06,37500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-27,44.05,44.05,43.01,43.12,21500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-28,42.98,43.0,41.53,42.43,22500,psxdata,2026-05-11T12:56:28
CLOV,2016-10-31,42.4,44.55,42.2,43.13,52000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-01,43.02,44.6,43.02,44.5,23000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-02,44.99,44.99,44.0,44.74,61500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-03,44.11,44.5,44.0,44.5,11500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-04,44.02,44.97,44.0,44.17,9500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-07,44.89,45.5,43.8,43.86,169000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-08,44.0,44.0,43.53,43.56,23500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-09,43.7,44.01,43.0,43.99,9000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-10,44.0,44.25,43.98,44.05,9500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-11,44.0,44.39,44.0,44.1,9500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-14,44.0,44.1,43.8,43.83,9500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-15,43.4,43.95,43.4,43.6,3000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-16,43.17,43.74,42.91,43.3,41000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-17,43.79,43.79,43.36,43.44,7500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-18,43.26,44.0,43.02,43.84,13000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-21,42.8,43.75,42.8,43.19,2500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-22,43.74,44.0,43.5,43.6,12500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-23,43.55,44.25,43.55,44.18,10000,psxdata,2026-05-11T12:56:28
CLOV,2016-11-24,44.39,46.38,43.77,46.38,166500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-25,47.49,47.49,45.0,45.07,101500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-28,45.07,45.39,44.16,44.75,22500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-29,44.5,44.98,44.0,44.49,35500,psxdata,2026-05-11T12:56:28
CLOV,2016-11-30,44.3,44.3,44.0,44.0,19000,psxdata,2026-05-11T12:56:28
