symbol,date,open,high,low,close,volume,source,collected_at
CPHL,2021-07-09,33.51,34.4,32.0,34.4,14909500,psxdata,2026-05-11T12:54:25
CPHL,2021-07-12,36.85,36.98,36.0,36.98,6925500,psxdata,2026-05-11T12:54:25
CPHL,2021-07-13,39.0,39.5,36.61,36.97,17619000,psxdata,2026-05-11T12:54:25
CPHL,2021-07-14,37.02,37.34,35.1,36.67,10806000,psxdata,2026-05-11T12:54:25
CPHL,2021-07-15,37.01,38.28,36.6,36.78,7227500,psxdata,2026-05-11T12:54:25
CPHL,2021-07-16,36.83,37.18,36.35,36.56,3797000,psxdata,2026-05-11T12:54:25
CPHL,2021-07-19,36.55,37.84,36.02,37.3,4592000,psxdata,2026-05-11T12:54:25
CPHL,2021-07-23,37.6,38.0,37.17,37.44,3368500,psxdata,2026-05-11T12:54:25
CPHL,2021-07-26,37.5,38.84,37.44,38.13,6580000,psxdata,2026-05-11T12:54:25
CPHL,2021-07-27,38.45,40.25,38.3,39.17,12666000,psxdata,2026-05-11T12:54:25
CPHL,2021-07-28,39.4,39.94,38.51,38.92,5310500,psxdata,2026-05-11T12:54:25
CPHL,2021-07-29,38.9,40.48,38.41,40.0,6207000,psxdata,2026-05-11T12:54:25
CPHL,2021-07-30,40.85,43.0,40.6,42.58,9173000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-02,44.0,45.77,44.0,45.77,4272500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-03,48.0,49.1,46.05,48.3,16016000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-04,48.75,48.89,47.11,47.65,5010500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-05,47.65,51.22,47.03,51.22,7611000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-06,53.8,55.06,50.0,51.1,15185000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-09,51.95,52.24,48.8,48.97,8499000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-10,49.06,51.85,48.61,51.3,8470500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-11,51.9,52.05,49.5,49.75,5671500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-12,50.11,50.9,49.21,49.53,3701500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-13,49.7,52.0,49.36,50.28,7472000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-16,50.75,50.84,49.4,49.66,3744000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-17,49.8,50.3,49.51,49.64,1728500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-20,49.8,49.85,48.7,48.84,2357000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-23,48.95,50.79,48.45,49.13,5240500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-24,49.49,49.94,48.76,48.89,1610000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-25,49.5,49.6,49.0,49.06,1580000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-26,49.15,49.79,48.5,48.63,1718500,psxdata,2026-05-11T12:54:25
CPHL,2021-08-27,48.5,48.69,47.01,47.49,1941000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-30,47.87,48.85,47.56,48.18,1654000,psxdata,2026-05-11T12:54:25
CPHL,2021-08-31,48.4,51.79,48.4,51.79,9780500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-01,53.0,54.65,52.9,53.3,7527500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-02,53.8,54.3,52.61,53.15,5189500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-03,53.49,53.6,51.52,51.83,3094000,psxdata,2026-05-11T12:54:25
CPHL,2021-09-06,51.89,51.9,49.93,50.22,1960000,psxdata,2026-05-11T12:54:25
CPHL,2021-09-07,50.25,50.79,48.65,49.96,2963500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-08,50.3,52.0,49.8,51.56,4019000,psxdata,2026-05-11T12:54:25
CPHL,2021-09-09,51.9,54.68,51.75,52.38,8759000,psxdata,2026-05-11T12:54:25
CPHL,2021-09-10,52.47,53.5,52.2,52.46,3835500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-13,53.29,53.85,48.53,49.3,8456000,psxdata,2026-05-11T12:54:25
CPHL,2021-09-14,48.0,48.94,47.15,48.12,4975500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-15,48.35,49.25,48.16,48.64,2150500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-16,48.9,50.6,48.9,49.21,4166500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-17,49.48,49.69,48.05,48.25,2234500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-20,48.39,48.65,47.76,48.3,975500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-21,48.4,49.14,46.5,47.25,1841500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-22,47.25,47.25,43.71,45.24,4607000,psxdata,2026-05-11T12:54:25
CPHL,2021-09-23,45.35,46.5,43.05,43.76,2833500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-24,43.25,44.7,42.8,43.72,2042000,psxdata,2026-05-11T12:54:25
CPHL,2021-09-27,43.71,44.47,41.51,42.41,1885500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-28,42.6,45.59,42.6,45.59,2293500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-29,46.3,46.8,43.2,43.7,3396500,psxdata,2026-05-11T12:54:25
CPHL,2021-09-30,43.55,45.5,42.71,44.92,3883500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-01,45.05,45.3,44.01,44.55,2156500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-04,44.35,45.44,43.01,45.05,1767000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-05,45.01,45.8,44.56,44.8,1719000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-06,44.8,45.1,43.5,43.68,1255000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-07,43.95,44.55,43.4,43.59,960500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-08,44.35,44.35,42.94,43.11,796500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-11,43.25,43.25,41.5,41.86,601500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-12,41.56,42.79,41.0,41.75,1035500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-13,41.99,42.69,41.0,41.09,932000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-14,41.4,43.3,41.07,42.84,2498000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-15,42.8,45.24,42.7,43.31,5011500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-18,38.49,39.75,37.0,37.32,3177000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-20,37.62,38.25,36.7,36.98,2200000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-21,36.81,37.55,35.8,36.1,2203500,psxdata,2026-05-11T12:54:25
CPHL,2021-10-22,36.16,36.48,35.1,36.23,1169000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-25,36.3,36.41,35.52,36.29,563000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-26,36.2,37.35,36.0,36.54,976000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-27,37.25,37.45,36.8,36.9,1027000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-28,37.1,37.34,36.31,36.45,837000,psxdata,2026-05-11T12:54:25
CPHL,2021-10-29,36.89,36.89,35.7,35.87,1034000,psxdata,2026-05-11T12:54:25
CPHL,2021-11-01,36.3,37.4,36.29,36.85,1724500,psxdata,2026-05-11T12:54:25
CPHL,2021-11-02,37.25,37.5,36.7,36.75,1394000,psxdata,2026-05-11T12:54:25
CPHL,2021-11-03,36.88,37.07,36.48,36.64,850000,psxdata,2026-05-11T12:54:25
CPHL,2021-11-04,36.78,39.38,36.6,39.38,3824500,psxdata,2026-05-11T12:54:25
CPHL,2021-11-05,39.25,40.75,39.14,39.34,2777500,psxdata,2026-05-11T12:54:25
CPHL,2021-11-08,39.5,40.19,38.5,38.81,1969000,psxdata,2026-05-11T12:54:25
CPHL,2021-11-09,38.95,38.95,35.9,36.32,2406500,psxdata,2026-05-11T12:54:25
