symbol,date,open,high,low,close,volume,source,collected_at
CSIL,2016-05-11,11.39,11.92,11.3,11.75,959500,psxdata,2026-05-11T12:52:18
CSIL,2016-05-12,11.75,12.75,11.75,12.75,2967500,psxdata,2026-05-11T12:52:18
CSIL,2016-05-13,13.25,13.25,12.6,12.72,2498500,psxdata,2026-05-11T12:52:18
CSIL,2016-05-16,13.17,13.3,12.7,12.82,1532000,psxdata,2026-05-11T12:52:18
CSIL,2016-05-17,12.9,12.9,12.06,12.16,552000,psxdata,2026-05-11T12:52:18
CSIL,2016-05-18,12.29,12.8,12.29,12.67,1117000,psxdata,2026-05-11T12:52:18
CSIL,2016-05-19,12.7,13.25,12.7,12.86,1084500,psxdata,2026-05-11T12:52:18
CSIL,2016-05-20,12.85,13.7,12.85,13.15,3833500,psxdata,2026-05-11T12:52:18
CSIL,2016-05-23,13.4,13.4,12.8,12.93,323000,psxdata,2026-05-11T12:52:18
CSIL,2016-05-24,13.0,13.05,12.66,12.73,279500,psxdata,2026-05-11T12:52:18
CSIL,2016-05-25,13.0,13.0,12.6,12.72,165000,psxdata,2026-05-11T12:52:18
CSIL,2016-05-26,12.75,13.19,12.6,12.72,558000,psxdata,2026-05-11T12:52:18
CSIL,2016-05-27,12.85,13.0,12.61,12.66,242500,psxdata,2026-05-11T12:52:18
CSIL,2016-05-30,12.7,12.8,12.35,12.41,182000,psxdata,2026-05-11T12:52:18
CSIL,2016-05-31,12.55,12.6,12.16,12.23,138500,psxdata,2026-05-11T12:52:18
CSIL,2016-06-01,12.15,12.5,12.15,12.28,198000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-02,12.2,12.63,11.96,12.04,898500,psxdata,2026-05-11T12:52:18
CSIL,2016-06-03,12.29,12.51,12.01,12.25,719000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-06,12.25,12.9,12.0,12.73,956000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-07,12.8,12.8,12.5,12.5,466000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-08,12.85,12.85,12.29,12.34,221500,psxdata,2026-05-11T12:52:18
CSIL,2016-06-09,12.2,12.3,11.8,11.9,155000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-10,11.8,11.8,11.47,11.51,208000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-13,11.2,11.49,11.0,11.11,193000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-14,11.61,11.86,11.0,11.39,114000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-15,11.6,11.6,11.03,11.18,160000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-16,11.2,11.25,10.7,10.81,239000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-17,10.75,10.81,10.25,10.45,277000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-20,10.32,10.75,10.31,10.7,53000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-21,10.31,10.85,10.31,10.6,120500,psxdata,2026-05-11T12:52:18
CSIL,2016-06-22,10.97,10.97,10.35,10.49,77000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-23,10.5,10.5,10.25,10.37,109000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-24,9.97,10.65,9.8,10.11,132500,psxdata,2026-05-11T12:52:18
CSIL,2016-06-27,10.2,10.2,9.85,10.07,29500,psxdata,2026-05-11T12:52:18
CSIL,2016-06-28,10.0,10.0,9.6,9.71,255000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-29,9.99,10.61,9.85,10.47,208000,psxdata,2026-05-11T12:52:18
CSIL,2016-06-30,10.6,10.8,10.3,10.34,141500,psxdata,2026-05-11T12:52:18
CSIL,2016-07-04,10.6,10.6,10.2,10.31,57500,psxdata,2026-05-11T12:52:18
CSIL,2016-07-11,10.4,10.99,10.4,10.84,214500,psxdata,2026-05-11T12:52:18
CSIL,2016-07-12,10.8,11.45,10.8,11.32,590000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-13,11.5,11.75,11.02,11.22,466000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-14,11.1,11.31,11.05,11.12,115000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-15,11.01,11.03,10.61,10.8,236000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-18,10.4,11.8,10.4,11.77,1490000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-19,12.19,12.35,11.85,11.91,1409000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-20,11.95,11.95,11.39,11.59,349500,psxdata,2026-05-11T12:52:18
CSIL,2016-07-21,11.51,11.6,11.23,11.37,193500,psxdata,2026-05-11T12:52:18
CSIL,2016-07-22,11.23,11.4,11.0,11.09,276500,psxdata,2026-05-11T12:52:18
CSIL,2016-07-25,11.01,11.19,10.88,10.93,221500,psxdata,2026-05-11T12:52:18
CSIL,2016-07-26,11.0,11.14,10.85,10.86,192000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-27,10.87,11.5,10.87,11.0,466000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-28,11.0,11.35,10.95,11.01,533000,psxdata,2026-05-11T12:52:18
CSIL,2016-07-29,10.93,11.33,10.93,11.09,81500,psxdata,2026-05-11T12:52:18
CSIL,2016-08-01,11.35,11.35,10.91,11.0,171500,psxdata,2026-05-11T12:52:18
CSIL,2016-08-02,11.18,11.18,10.9,10.92,184500,psxdata,2026-05-11T12:52:18
CSIL,2016-08-03,10.9,11.49,10.9,11.1,1144000,psxdata,2026-05-11T12:52:18
CSIL,2016-08-04,11.24,11.28,10.95,10.99,221000,psxdata,2026-05-11T12:52:18
CSIL,2016-08-05,11.23,11.23,10.95,11.03,86500,psxdata,2026-05-11T12:52:18
CSIL,2016-08-08,11.1,11.1,10.9,10.93,115000,psxdata,2026-05-11T12:52:18
