symbol,date,open,high,low,close,volume,source,collected_at
DCL,2016-05-11,16.3,16.87,16.06,16.5,36463500,psxdata,2026-05-11T12:52:29
DCL,2016-05-12,16.39,16.6,16.15,16.23,12882000,psxdata,2026-05-11T12:52:29
DCL,2016-05-13,16.29,16.87,15.97,16.57,28118000,psxdata,2026-05-11T12:52:29
DCL,2016-05-16,16.61,16.87,16.25,16.36,8244000,psxdata,2026-05-11T12:52:29
DCL,2016-05-17,16.35,16.5,15.6,15.86,7993000,psxdata,2026-05-11T12:52:29
DCL,2016-05-18,15.91,16.29,15.72,16.08,9784500,psxdata,2026-05-11T12:52:29
DCL,2016-05-19,16.2,16.72,16.15,16.36,19117500,psxdata,2026-05-11T12:52:29
DCL,2016-05-20,16.55,17.25,16.21,16.74,31781500,psxdata,2026-05-11T12:52:29
DCL,2016-05-23,16.94,17.2,16.8,16.87,9765500,psxdata,2026-05-11T12:52:29
DCL,2016-05-24,16.99,17.1,16.53,16.63,5878500,psxdata,2026-05-11T12:52:29
DCL,2016-05-25,16.63,16.96,16.57,16.66,7739500,psxdata,2026-05-11T12:52:29
DCL,2016-05-26,16.78,16.83,16.35,16.4,4255000,psxdata,2026-05-11T12:52:29
DCL,2016-05-27,16.5,16.85,16.3,16.61,8085000,psxdata,2026-05-11T12:52:29
DCL,2016-05-30,16.55,16.76,16.1,16.24,7228500,psxdata,2026-05-11T12:52:29
DCL,2016-05-31,16.18,16.55,15.8,16.05,4771500,psxdata,2026-05-11T12:52:29
DCL,2016-06-01,16.25,16.62,16.05,16.54,6188500,psxdata,2026-05-11T12:52:29
DCL,2016-06-02,16.52,16.87,16.35,16.42,10690000,psxdata,2026-05-11T12:52:29
DCL,2016-06-03,16.57,16.65,15.42,16.03,6327000,psxdata,2026-05-11T12:52:29
DCL,2016-06-06,16.05,16.2,15.83,15.92,1789000,psxdata,2026-05-11T12:52:29
DCL,2016-06-07,15.95,16.03,15.67,15.78,1398000,psxdata,2026-05-11T12:52:29
DCL,2016-06-08,15.91,16.07,15.63,15.71,2081500,psxdata,2026-05-11T12:52:29
DCL,2016-06-09,15.81,15.88,15.15,15.27,1985500,psxdata,2026-05-11T12:52:29
DCL,2016-06-10,15.35,15.35,14.71,14.76,2626500,psxdata,2026-05-11T12:52:29
DCL,2016-06-13,14.7,14.7,14.2,14.5,2385000,psxdata,2026-05-11T12:52:29
DCL,2016-06-14,14.55,14.92,14.5,14.59,2175500,psxdata,2026-05-11T12:52:29
DCL,2016-06-15,14.9,15.59,14.7,15.56,6788500,psxdata,2026-05-11T12:52:29
DCL,2016-06-16,15.68,16.2,15.51,15.72,10825000,psxdata,2026-05-11T12:52:29
DCL,2016-06-17,15.8,15.81,15.14,15.23,2652000,psxdata,2026-05-11T12:52:29
DCL,2016-06-20,15.25,15.25,14.81,14.91,1330000,psxdata,2026-05-11T12:52:29
DCL,2016-06-21,14.84,15.25,13.91,13.95,15847500,psxdata,2026-05-11T12:52:29
DCL,2016-06-22,12.95,13.9,12.95,13.42,12821500,psxdata,2026-05-11T12:52:29
DCL,2016-06-23,13.44,14.42,13.44,14.42,9873500,psxdata,2026-05-11T12:52:29
DCL,2016-06-24,14.7,15.09,14.01,14.84,13174000,psxdata,2026-05-11T12:52:29
DCL,2016-06-27,14.86,15.15,14.6,14.9,4561000,psxdata,2026-05-11T12:52:29
DCL,2016-06-28,14.99,15.22,13.9,14.8,21178000,psxdata,2026-05-11T12:52:29
DCL,2016-06-29,14.9,15.2,14.6,14.74,5021500,psxdata,2026-05-11T12:52:29
DCL,2016-06-30,14.75,14.99,14.4,14.48,3189500,psxdata,2026-05-11T12:52:29
DCL,2016-07-04,14.64,14.65,14.3,14.6,2424000,psxdata,2026-05-11T12:52:29
DCL,2016-07-11,14.72,15.6,14.5,15.46,10835500,psxdata,2026-05-11T12:52:29
DCL,2016-07-12,15.69,16.05,15.46,15.87,14104000,psxdata,2026-05-11T12:52:29
DCL,2016-07-13,15.82,16.1,15.45,15.58,8337500,psxdata,2026-05-11T12:52:29
DCL,2016-07-14,15.5,16.35,15.5,16.23,13759000,psxdata,2026-05-11T12:52:29
DCL,2016-07-15,16.25,16.35,15.92,16.08,8985000,psxdata,2026-05-11T12:52:29
DCL,2016-07-18,16.11,16.2,15.8,16.0,4403000,psxdata,2026-05-11T12:52:29
DCL,2016-07-19,16.16,16.45,16.01,16.08,8112000,psxdata,2026-05-11T12:52:29
DCL,2016-07-20,16.21,16.38,16.05,16.19,6079500,psxdata,2026-05-11T12:52:29
DCL,2016-07-21,16.33,16.39,16.06,16.14,5258000,psxdata,2026-05-11T12:52:29
DCL,2016-07-22,16.11,16.13,15.75,16.01,5116500,psxdata,2026-05-11T12:52:29
DCL,2016-07-25,16.14,16.2,16.0,16.12,3761000,psxdata,2026-05-11T12:52:29
DCL,2016-07-26,16.15,16.55,15.99,16.4,16364000,psxdata,2026-05-11T12:52:29
DCL,2016-07-27,16.55,16.59,15.4,15.55,24993000,psxdata,2026-05-11T12:52:29
