symbol,date,open,high,low,close,volume,source,collected_at
DFML,2016-05-11,16.5,16.65,16.12,16.21,9793500,psxdata,2026-05-11T12:55:27
DFML,2016-05-12,16.25,17.2,16.25,16.89,14462000,psxdata,2026-05-11T12:55:27
DFML,2016-05-13,17.05,17.29,16.4,16.51,9940500,psxdata,2026-05-11T12:55:27
DFML,2016-05-16,16.55,16.95,16.12,16.26,5057000,psxdata,2026-05-11T12:55:27
DFML,2016-05-17,16.4,16.98,15.8,16.72,10414000,psxdata,2026-05-11T12:55:27
DFML,2016-05-18,17.04,17.72,17.04,17.72,9966000,psxdata,2026-05-11T12:55:27
DFML,2016-05-19,18.39,18.59,17.9,18.15,15191000,psxdata,2026-05-11T12:55:27
DFML,2016-05-20,18.15,18.4,17.48,17.69,11344000,psxdata,2026-05-11T12:55:27
DFML,2016-05-23,17.69,17.98,17.25,17.38,6241500,psxdata,2026-05-11T12:55:27
DFML,2016-05-24,17.45,17.88,17.21,17.32,6212500,psxdata,2026-05-11T12:55:27
DFML,2016-05-25,17.5,17.83,17.31,17.38,4585500,psxdata,2026-05-11T12:55:27
DFML,2016-05-26,17.5,17.55,16.38,16.68,4323500,psxdata,2026-05-11T12:55:27
DFML,2016-05-27,16.65,16.89,15.7,15.9,4260000,psxdata,2026-05-11T12:55:27
DFML,2016-05-30,15.9,16.1,14.9,15.01,3263500,psxdata,2026-05-11T12:55:27
DFML,2016-05-31,14.8,16.01,14.76,15.95,11605500,psxdata,2026-05-11T12:55:27
DFML,2016-06-01,16.3,16.95,16.16,16.95,9670000,psxdata,2026-05-11T12:55:27
DFML,2016-06-02,17.34,17.6,16.75,17.04,8880500,psxdata,2026-05-11T12:55:27
DFML,2016-06-03,17.24,17.43,16.32,16.47,7499000,psxdata,2026-05-11T12:55:27
DFML,2016-06-06,16.55,17.28,16.26,16.84,4834500,psxdata,2026-05-11T12:55:27
DFML,2016-06-07,17.15,17.74,17.0,17.63,10250500,psxdata,2026-05-11T12:55:27
DFML,2016-06-08,17.67,18.3,17.4,17.54,10489000,psxdata,2026-05-11T12:55:27
DFML,2016-06-09,17.69,17.89,17.03,17.09,4695000,psxdata,2026-05-11T12:55:27
DFML,2016-06-10,17.11,17.3,16.5,16.63,4065500,psxdata,2026-05-11T12:55:27
DFML,2016-06-13,16.5,16.75,16.03,16.39,3210500,psxdata,2026-05-11T12:55:27
DFML,2016-06-14,16.48,17.11,16.48,16.63,3964500,psxdata,2026-05-11T12:55:27
