symbol,date,open,high,low,close,volume,source,collected_at
DFSM,2016-05-11,2.68,2.89,2.68,2.8,352000,psxdata,2026-05-11T12:56:46
DFSM,2016-05-12,2.88,2.93,2.8,2.82,130000,psxdata,2026-05-11T12:56:46
DFSM,2016-05-13,2.9,3.29,2.9,3.12,2410500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-16,3.11,3.44,3.1,3.29,1170500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-17,3.27,3.27,3.0,3.05,288500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-18,3.0,3.6,3.0,3.31,1699500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-19,3.35,3.53,3.17,3.22,637500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-20,3.39,3.39,3.2,3.23,150500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-23,3.23,3.31,3.2,3.22,56500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-24,3.2,3.2,3.05,3.07,254500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-25,3.08,3.25,3.08,3.18,120000,psxdata,2026-05-11T12:56:46
DFSM,2016-05-27,3.04,3.15,3.01,3.02,129500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-30,3.11,3.39,3.1,3.15,410500,psxdata,2026-05-11T12:56:46
DFSM,2016-05-31,3.28,3.3,3.12,3.17,55000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-01,3.2,3.34,3.14,3.29,263500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-02,3.33,3.36,3.26,3.28,151000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-03,3.25,3.35,3.25,3.28,188000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-06,3.26,3.34,3.11,3.15,54500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-07,3.05,3.06,3.0,3.03,114500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-08,3.08,3.08,2.93,2.94,54500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-09,2.94,2.94,2.85,2.85,47500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-10,2.77,2.77,2.65,2.66,80000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-13,2.89,2.89,2.65,2.66,133500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-14,2.76,2.76,2.5,2.55,143000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-15,2.6,2.69,2.53,2.62,67000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-16,2.74,2.83,2.71,2.83,23500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-17,2.73,2.75,2.6,2.69,23000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-20,2.64,2.64,2.63,2.63,4000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-21,2.7,2.7,2.52,2.55,46000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-22,2.56,2.65,2.54,2.57,26500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-23,2.57,2.64,2.56,2.64,39500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-24,2.57,2.8,2.44,2.5,107000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-27,2.57,2.6,2.5,2.51,22000,psxdata,2026-05-11T12:56:46
DFSM,2016-06-28,2.5,2.57,2.41,2.5,38500,psxdata,2026-05-11T12:56:46
DFSM,2016-06-29,2.5,2.58,2.5,2.57,16000,psxdata,2026-05-11T12:56:46
DFSM,2016-07-04,2.51,2.63,2.51,2.58,15500,psxdata,2026-05-11T12:56:46
DFSM,2016-07-11,2.6,2.65,2.51,2.63,107500,psxdata,2026-05-11T12:56:46
DFSM,2016-07-12,2.56,2.72,2.56,2.69,82500,psxdata,2026-05-11T12:56:46
DFSM,2016-07-13,2.6,2.75,2.52,2.69,111500,psxdata,2026-05-11T12:56:46
