symbol,date,open,high,low,close,volume,source,collected_at
DGKC,2016-05-11,183.0,183.69,180.5,181.57,993200,psxdata,2026-05-11T12:53:18
DGKC,2016-05-12,182.0,182.4,179.3,179.89,709800,psxdata,2026-05-11T12:53:18
DGKC,2016-05-13,179.35,182.19,179.35,180.46,1122200,psxdata,2026-05-11T12:53:18
DGKC,2016-05-16,180.98,181.2,179.3,179.96,568500,psxdata,2026-05-11T12:53:18
DGKC,2016-05-17,181.3,181.3,178.11,178.88,535900,psxdata,2026-05-11T12:53:18
DGKC,2016-05-18,179.29,180.94,177.85,179.09,1761600,psxdata,2026-05-11T12:53:18
DGKC,2016-05-19,179.1,181.85,178.99,179.67,3161000,psxdata,2026-05-11T12:53:18
DGKC,2016-05-20,179.99,180.7,178.5,178.99,675600,psxdata,2026-05-11T12:53:18
DGKC,2016-05-23,180.12,181.3,179.61,180.2,1453100,psxdata,2026-05-11T12:53:18
DGKC,2016-05-24,180.2,180.8,179.02,179.46,662100,psxdata,2026-05-11T12:53:18
DGKC,2016-05-25,179.99,180.0,178.1,178.32,383900,psxdata,2026-05-11T12:53:18
DGKC,2016-05-26,178.5,178.85,177.5,178.04,569800,psxdata,2026-05-11T12:53:18
DGKC,2016-05-27,178.05,178.75,177.36,177.87,863600,psxdata,2026-05-11T12:53:18
DGKC,2016-05-30,178.0,182.0,175.6,179.36,3220400,psxdata,2026-05-11T12:53:18
DGKC,2016-05-31,179.7,181.3,177.3,178.38,1356800,psxdata,2026-05-11T12:53:18
DGKC,2016-06-01,179.03,180.85,178.31,180.43,713900,psxdata,2026-05-11T12:53:18
DGKC,2016-06-02,181.05,182.75,181.0,181.64,2564200,psxdata,2026-05-11T12:53:18
DGKC,2016-06-03,181.9,184.55,179.86,181.07,2896400,psxdata,2026-05-11T12:53:18
DGKC,2016-06-06,181.7,181.97,178.5,179.05,1144100,psxdata,2026-05-11T12:53:18
DGKC,2016-06-07,178.99,180.5,178.01,178.52,1322100,psxdata,2026-05-11T12:53:18
DGKC,2016-06-08,178.6,180.25,178.6,179.66,1187500,psxdata,2026-05-11T12:53:18
DGKC,2016-06-09,180.0,180.5,178.71,179.04,702200,psxdata,2026-05-11T12:53:18
DGKC,2016-06-10,179.0,179.2,175.0,175.56,1349200,psxdata,2026-05-11T12:53:18
DGKC,2016-06-13,176.59,176.9,173.75,175.87,970100,psxdata,2026-05-11T12:53:18
DGKC,2016-06-14,176.6,179.5,176.6,177.58,1497400,psxdata,2026-05-11T12:53:18
DGKC,2016-06-15,181.75,184.5,179.0,183.94,7242000,psxdata,2026-05-11T12:53:18
DGKC,2016-06-16,182.99,193.13,182.99,190.37,10015100,psxdata,2026-05-11T12:53:18
DGKC,2016-06-17,190.0,191.75,188.4,189.37,1441600,psxdata,2026-05-11T12:53:18
DGKC,2016-06-20,189.37,189.5,186.3,187.26,508200,psxdata,2026-05-11T12:53:18
DGKC,2016-06-21,187.0,187.95,185.0,185.13,611700,psxdata,2026-05-11T12:53:18
DGKC,2016-06-22,186.39,187.97,184.5,185.96,2311700,psxdata,2026-05-11T12:53:18
DGKC,2016-06-23,186.01,187.15,185.5,186.5,1007300,psxdata,2026-05-11T12:53:18
DGKC,2016-06-24,185.9,185.9,177.25,182.57,4954300,psxdata,2026-05-11T12:53:18
DGKC,2016-06-27,184.0,185.5,182.25,183.81,1429300,psxdata,2026-05-11T12:53:18
DGKC,2016-06-28,184.1,185.41,183.1,184.7,988000,psxdata,2026-05-11T12:53:18
DGKC,2016-06-29,186.0,191.25,186.0,190.69,2975800,psxdata,2026-05-11T12:53:18
DGKC,2016-06-30,191.4,192.5,189.55,190.49,2142400,psxdata,2026-05-11T12:53:18
DGKC,2016-07-04,189.01,192.49,188.02,191.05,1383900,psxdata,2026-05-11T12:53:18
DGKC,2016-07-11,190.02,196.75,190.02,195.49,3047800,psxdata,2026-05-11T12:53:18
DGKC,2016-07-12,196.25,200.75,196.25,199.91,3798300,psxdata,2026-05-11T12:53:18
DGKC,2016-07-13,199.99,204.3,199.6,200.18,2804500,psxdata,2026-05-11T12:53:18
DGKC,2016-07-14,199.89,203.7,198.76,202.31,1460000,psxdata,2026-05-11T12:53:18
DGKC,2016-07-15,203.85,207.5,202.0,203.31,3133300,psxdata,2026-05-11T12:53:18
DGKC,2016-07-18,204.5,206.8,200.5,205.36,3321900,psxdata,2026-05-11T12:53:18
DGKC,2016-07-19,205.25,207.0,204.11,204.49,1358000,psxdata,2026-05-11T12:53:18
DGKC,2016-07-20,205.8,206.45,203.05,204.75,1560500,psxdata,2026-05-11T12:53:18
DGKC,2016-07-21,205.05,207.75,204.7,206.4,1521600,psxdata,2026-05-11T12:53:18
DGKC,2016-07-22,206.8,208.75,205.55,206.76,1645000,psxdata,2026-05-11T12:53:18
DGKC,2016-07-25,206.1,208.52,206.1,206.7,1017200,psxdata,2026-05-11T12:53:18
DGKC,2016-07-26,206.75,208.0,206.01,206.51,767400,psxdata,2026-05-11T12:53:18
DGKC,2016-07-27,206.8,209.89,206.8,208.8,2213400,psxdata,2026-05-11T12:53:18
DGKC,2016-07-28,209.0,210.56,208.05,208.48,1211400,psxdata,2026-05-11T12:53:18
DGKC,2016-07-29,208.5,210.6,208.01,210.03,798400,psxdata,2026-05-11T12:53:18
DGKC,2016-08-01,210.85,212.7,210.3,212.22,1634900,psxdata,2026-05-11T12:53:18
DGKC,2016-08-02,212.3,213.25,210.5,211.88,1844600,psxdata,2026-05-11T12:53:18
DGKC,2016-08-03,212.1,212.9,211.25,211.84,477400,psxdata,2026-05-11T12:53:18
DGKC,2016-08-04,212.1,212.5,207.0,207.55,1661300,psxdata,2026-05-11T12:53:18
DGKC,2016-08-05,207.51,208.0,204.5,205.62,1372200,psxdata,2026-05-11T12:53:18
DGKC,2016-08-08,206.0,207.0,205.12,206.36,1138000,psxdata,2026-05-11T12:53:18
DGKC,2016-08-09,206.5,207.15,206.1,206.44,535000,psxdata,2026-05-11T12:53:18
DGKC,2016-08-10,207.4,208.98,206.75,207.77,1441700,psxdata,2026-05-11T12:53:18
DGKC,2016-08-11,209.4,209.4,205.25,206.28,1221000,psxdata,2026-05-11T12:53:18
DGKC,2016-08-12,206.99,207.0,204.51,205.3,602100,psxdata,2026-05-11T12:53:18
DGKC,2016-08-15,206.0,207.8,205.52,206.97,1529800,psxdata,2026-05-11T12:53:18
DGKC,2016-08-16,207.5,208.8,206.0,206.36,2052800,psxdata,2026-05-11T12:53:18
DGKC,2016-08-17,206.5,209.45,206.5,208.73,1670900,psxdata,2026-05-11T12:53:18
DGKC,2016-08-18,209.75,209.75,204.8,205.44,662800,psxdata,2026-05-11T12:53:18
DGKC,2016-08-19,205.51,205.51,198.1,200.45,3208000,psxdata,2026-05-11T12:53:18
DGKC,2016-08-22,201.28,201.28,197.5,200.39,1380700,psxdata,2026-05-11T12:53:18
DGKC,2016-08-23,199.5,200.98,196.1,196.6,1731800,psxdata,2026-05-11T12:53:18
DGKC,2016-08-24,197.01,198.01,194.26,195.27,1734700,psxdata,2026-05-11T12:53:18
DGKC,2016-08-25,196.19,201.99,195.55,199.71,4789900,psxdata,2026-05-11T12:53:18
DGKC,2016-08-26,200.0,201.5,198.2,198.62,1697100,psxdata,2026-05-11T12:53:18
DGKC,2016-08-29,198.51,200.0,197.15,197.77,829800,psxdata,2026-05-11T12:53:18
DGKC,2016-08-30,197.71,199.89,196.81,199.41,822400,psxdata,2026-05-11T12:53:18
DGKC,2016-08-31,199.8,201.1,197.15,197.5,2215800,psxdata,2026-05-11T12:53:18
DGKC,2016-09-01,198.18,198.49,196.3,197.6,1107900,psxdata,2026-05-11T12:53:18
DGKC,2016-09-02,197.2,197.2,189.5,191.96,2406400,psxdata,2026-05-11T12:53:18
DGKC,2016-09-05,192.0,192.5,183.11,184.28,5082900,psxdata,2026-05-11T12:53:18
DGKC,2016-09-06,184.47,190.2,183.25,188.72,9902800,psxdata,2026-05-11T12:53:18
DGKC,2016-09-07,191.3,192.24,189.0,189.8,3752500,psxdata,2026-05-11T12:53:18
DGKC,2016-09-08,190.3,190.5,187.8,188.57,1133200,psxdata,2026-05-11T12:53:18
DGKC,2016-09-09,189.49,191.5,188.25,191.12,1846400,psxdata,2026-05-11T12:53:18
DGKC,2016-09-15,191.4,191.4,189.0,189.2,431700,psxdata,2026-05-11T12:53:18
DGKC,2016-09-16,190.0,191.06,187.25,187.98,1674400,psxdata,2026-05-11T12:53:18
DGKC,2016-09-19,188.5,189.0,187.0,187.09,911100,psxdata,2026-05-11T12:53:18
DGKC,2016-09-20,187.0,188.0,186.5,187.24,722900,psxdata,2026-05-11T12:53:18
DGKC,2016-09-21,187.47,191.9,183.4,185.62,3553100,psxdata,2026-05-11T12:53:18
DGKC,2016-09-22,187.5,190.0,187.5,188.07,726600,psxdata,2026-05-11T12:53:18
DGKC,2016-09-23,188.49,188.85,186.01,186.97,2109500,psxdata,2026-05-11T12:53:18
DGKC,2016-09-26,188.0,191.9,188.0,190.69,1446500,psxdata,2026-05-11T12:53:18
DGKC,2016-09-27,192.0,192.5,189.6,190.36,816200,psxdata,2026-05-11T12:53:18
DGKC,2016-09-28,190.49,191.4,188.51,190.09,798100,psxdata,2026-05-11T12:53:18
DGKC,2016-09-29,190.09,191.28,187.02,187.88,1223900,psxdata,2026-05-11T12:53:18
DGKC,2016-09-30,188.0,189.0,185.5,185.88,1829200,psxdata,2026-05-11T12:53:18
DGKC,2016-10-03,186.31,191.88,185.55,190.1,4231500,psxdata,2026-05-11T12:53:18
DGKC,2016-10-04,191.0,191.0,186.12,187.46,2916500,psxdata,2026-05-11T12:53:18
DGKC,2016-10-05,188.48,189.9,187.65,188.53,1715600,psxdata,2026-05-11T12:53:18
DGKC,2016-10-06,188.93,191.75,188.8,191.15,2707900,psxdata,2026-05-11T12:53:18
DGKC,2016-10-07,191.5,193.0,189.61,191.64,1160700,psxdata,2026-05-11T12:53:18
DGKC,2016-10-10,191.9,192.34,190.1,190.46,955300,psxdata,2026-05-11T12:53:18
DGKC,2016-10-13,191.99,194.88,191.11,192.97,1948800,psxdata,2026-05-11T12:53:18
DGKC,2016-10-14,187.0,188.0,184.0,185.14,2257700,psxdata,2026-05-11T12:53:18
DGKC,2016-10-17,185.2,186.0,181.25,182.19,1189600,psxdata,2026-05-11T12:53:18
DGKC,2016-10-18,181.99,182.49,175.32,176.28,3052100,psxdata,2026-05-11T12:53:18
DGKC,2016-10-19,176.02,177.99,174.77,176.91,1724900,psxdata,2026-05-11T12:53:18
DGKC,2016-10-20,178.89,181.4,178.1,178.62,2147000,psxdata,2026-05-11T12:53:18
DGKC,2016-10-21,179.2,179.29,175.5,175.88,825700,psxdata,2026-05-11T12:53:18
DGKC,2016-10-24,176.1,176.89,173.0,175.23,524500,psxdata,2026-05-11T12:53:18
DGKC,2016-10-25,175.0,176.5,170.0,175.94,2556900,psxdata,2026-05-11T12:53:18
DGKC,2016-10-26,175.48,177.4,174.74,175.89,703000,psxdata,2026-05-11T12:53:18
DGKC,2016-10-27,175.89,177.0,172.03,173.0,492200,psxdata,2026-05-11T12:53:18
DGKC,2016-10-28,170.51,174.0,170.11,171.8,1232500,psxdata,2026-05-11T12:53:18
DGKC,2016-10-31,170.5,172.95,169.8,171.66,298500,psxdata,2026-05-11T12:53:18
DGKC,2016-11-01,171.66,180.24,171.5,179.87,3566000,psxdata,2026-05-11T12:53:18
DGKC,2016-11-02,181.0,184.0,180.13,181.16,2951700,psxdata,2026-05-11T12:53:18
DGKC,2016-11-03,180.25,182.0,178.85,179.16,1464600,psxdata,2026-05-11T12:53:18
DGKC,2016-11-04,179.02,180.24,177.8,178.17,889300,psxdata,2026-05-11T12:53:18
DGKC,2016-11-07,178.99,181.2,178.4,180.52,805200,psxdata,2026-05-11T12:53:18
DGKC,2016-11-08,181.0,185.01,181.0,184.13,3777800,psxdata,2026-05-11T12:53:18
DGKC,2016-11-09,182.79,183.75,180.0,183.08,1749300,psxdata,2026-05-11T12:53:18
DGKC,2016-11-10,183.4,189.24,183.4,186.55,5337900,psxdata,2026-05-11T12:53:18
DGKC,2016-11-11,186.7,192.0,186.15,189.92,5658800,psxdata,2026-05-11T12:53:18
DGKC,2016-11-14,191.2,192.88,185.5,186.14,5339600,psxdata,2026-05-11T12:53:18
DGKC,2016-11-15,186.9,187.5,184.0,185.76,2488500,psxdata,2026-05-11T12:53:18
DGKC,2016-11-16,185.5,187.1,184.75,186.33,1139900,psxdata,2026-05-11T12:53:18
DGKC,2016-11-17,186.0,188.0,185.11,186.28,2214700,psxdata,2026-05-11T12:53:18
DGKC,2016-11-18,186.99,189.5,186.05,186.94,3168600,psxdata,2026-05-11T12:53:18
DGKC,2016-11-21,186.94,187.0,185.35,186.0,525800,psxdata,2026-05-11T12:53:18
DGKC,2016-11-22,186.15,187.4,185.61,186.57,1017000,psxdata,2026-05-11T12:53:18
DGKC,2016-11-23,186.59,188.69,185.75,188.25,1904400,psxdata,2026-05-11T12:53:18
DGKC,2016-11-24,188.5,191.75,188.1,191.18,3393400,psxdata,2026-05-11T12:53:18
DGKC,2016-11-25,191.1,193.4,190.0,190.78,3125800,psxdata,2026-05-11T12:53:18
DGKC,2016-11-28,191.8,194.01,191.5,193.31,2262200,psxdata,2026-05-11T12:53:18
DGKC,2016-11-29,194.2,194.35,192.0,192.84,1386800,psxdata,2026-05-11T12:53:18
DGKC,2016-11-30,193.2,193.2,190.5,190.86,614600,psxdata,2026-05-11T12:53:18
DGKC,2016-12-01,191.0,194.75,191.0,192.64,2736100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-02,193.0,196.1,192.51,195.18,2419300,psxdata,2026-05-11T12:53:18
DGKC,2016-12-05,196.0,199.4,196.0,196.99,2594200,psxdata,2026-05-11T12:53:18
DGKC,2016-12-06,197.88,206.83,197.0,206.62,7273900,psxdata,2026-05-11T12:53:18
DGKC,2016-12-07,208.89,215.5,208.25,210.54,5869400,psxdata,2026-05-11T12:53:18
DGKC,2016-12-08,212.0,213.25,207.11,208.58,3422000,psxdata,2026-05-11T12:53:18
DGKC,2016-12-09,209.08,219.0,208.1,214.74,10464100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-13,216.0,218.03,213.15,214.76,2701300,psxdata,2026-05-11T12:53:18
DGKC,2016-12-14,214.62,221.48,212.26,219.62,6052400,psxdata,2026-05-11T12:53:18
DGKC,2016-12-15,219.98,220.75,214.5,215.64,3330500,psxdata,2026-05-11T12:53:18
DGKC,2016-12-16,216.24,217.0,214.02,214.46,2422100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-19,215.02,215.7,213.14,213.84,2674100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-20,214.0,217.3,212.5,213.75,3801200,psxdata,2026-05-11T12:53:18
DGKC,2016-12-21,214.0,215.3,208.5,213.95,4560100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-22,214.55,216.0,211.25,212.04,2036100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-23,212.89,214.0,211.1,212.34,866000,psxdata,2026-05-11T12:53:18
DGKC,2016-12-26,213.0,214.0,210.0,210.48,883700,psxdata,2026-05-11T12:53:18
DGKC,2016-12-27,211.5,214.25,211.1,213.69,1241100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-28,214.0,219.39,214.0,218.35,4877100,psxdata,2026-05-11T12:53:18
DGKC,2016-12-29,219.99,222.0,217.5,220.94,4472700,psxdata,2026-05-11T12:53:18
DGKC,2016-12-30,221.99,224.3,219.94,221.73,4055400,psxdata,2026-05-11T12:53:18
DGKC,2017-01-02,222.7,225.48,222.0,222.62,2567800,psxdata,2026-05-11T12:53:18
DGKC,2017-01-03,223.31,233.75,219.8,232.64,7849200,psxdata,2026-05-11T12:53:18
DGKC,2017-01-04,233.05,238.4,229.12,230.4,4444500,psxdata,2026-05-11T12:53:18
DGKC,2017-01-05,231.0,231.45,227.01,227.98,2988300,psxdata,2026-05-11T12:53:18
DGKC,2017-01-06,228.1,229.49,226.0,226.54,2749300,psxdata,2026-05-11T12:53:18
DGKC,2017-01-09,228.0,229.4,223.7,224.59,2921700,psxdata,2026-05-11T12:53:18
DGKC,2017-01-10,225.5,227.5,224.1,225.75,1663600,psxdata,2026-05-11T12:53:18
DGKC,2017-01-11,227.0,230.38,225.5,228.48,4440300,psxdata,2026-05-11T12:53:18
