symbol,date,open,high,low,close,volume,source,collected_at
DSIL,2016-05-11,3.15,3.15,3.0,3.05,74000,psxdata,2026-05-11T12:56:01
DSIL,2016-05-12,3.14,3.19,3.0,3.1,132500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-13,3.19,3.33,3.16,3.26,392000,psxdata,2026-05-11T12:56:01
DSIL,2016-05-16,3.27,3.3,3.21,3.25,68000,psxdata,2026-05-11T12:56:01
DSIL,2016-05-17,3.28,3.29,3.0,3.08,296000,psxdata,2026-05-11T12:56:01
DSIL,2016-05-18,3.1,3.22,3.1,3.18,83500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-19,3.13,3.32,3.13,3.21,201500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-20,3.27,3.29,3.11,3.16,91500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-23,3.1,3.16,3.1,3.11,130000,psxdata,2026-05-11T12:56:01
DSIL,2016-05-24,3.08,3.25,3.0,3.04,172500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-25,3.09,3.3,3.05,3.24,558000,psxdata,2026-05-11T12:56:01
DSIL,2016-05-26,3.22,3.22,3.02,3.07,190500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-27,3.03,3.19,3.01,3.05,38500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-30,3.19,3.44,3.15,3.15,955500,psxdata,2026-05-11T12:56:01
DSIL,2016-05-31,3.35,3.39,3.05,3.09,303500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-01,3.11,3.16,3.08,3.16,19000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-02,3.2,3.3,3.2,3.2,56500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-03,3.28,3.32,3.16,3.31,92500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-06,3.49,3.49,2.95,3.01,1267500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-07,3.05,3.05,2.91,2.94,142500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-08,2.94,2.99,2.75,2.79,300000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-09,2.69,2.88,2.52,2.6,509000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-10,2.6,2.62,2.39,2.41,1413000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-13,2.54,2.7,2.44,2.62,540500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-14,2.65,2.83,2.65,2.69,628000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-15,2.77,2.78,2.61,2.64,100500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-16,2.72,2.72,2.55,2.64,228500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-17,2.59,2.65,2.5,2.52,1149000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-20,2.57,2.57,2.49,2.5,67500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-21,2.5,3.1,2.47,2.87,2464500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-22,2.88,3.07,2.8,3.02,1106500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-23,3.0,3.09,2.91,2.96,180000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-24,2.92,2.92,2.7,2.78,133500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-27,2.86,2.86,2.52,2.7,273000,psxdata,2026-05-11T12:56:01
DSIL,2016-06-28,2.7,2.8,2.51,2.6,266500,psxdata,2026-05-11T12:56:01
DSIL,2016-06-30,2.75,2.8,2.71,2.77,20000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-04,2.83,2.87,2.75,2.8,130000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-11,2.85,2.85,2.71,2.77,51000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-12,2.79,2.79,2.7,2.75,178000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-13,2.78,2.8,2.65,2.67,255000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-14,2.7,2.73,2.65,2.67,78500,psxdata,2026-05-11T12:56:01
DSIL,2016-07-15,2.78,2.78,2.55,2.62,217000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-18,2.6,2.66,2.6,2.66,88500,psxdata,2026-05-11T12:56:01
DSIL,2016-07-19,2.6,2.66,2.6,2.6,93000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-20,2.6,2.6,2.55,2.55,74000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-21,2.59,2.72,2.59,2.62,196000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-22,2.61,2.7,2.61,2.7,53000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-25,2.67,2.67,2.6,2.6,241000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-26,2.66,2.66,2.61,2.63,135500,psxdata,2026-05-11T12:56:01
DSIL,2016-07-27,2.61,2.65,2.57,2.59,34500,psxdata,2026-05-11T12:56:01
DSIL,2016-07-28,2.65,2.8,2.62,2.64,296000,psxdata,2026-05-11T12:56:01
DSIL,2016-07-29,2.7,2.75,2.6,2.61,64000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-01,2.66,2.66,2.6,2.62,87000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-02,2.61,2.65,2.59,2.6,117000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-03,2.59,2.73,2.59,2.67,266000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-04,2.77,2.77,2.6,2.64,189000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-05,2.65,2.65,2.6,2.63,67000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-08,2.6,2.68,2.6,2.65,115500,psxdata,2026-05-11T12:56:01
DSIL,2016-08-09,2.67,2.75,2.61,2.71,140000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-10,2.72,2.86,2.65,2.8,402000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-11,2.83,3.19,2.8,3.02,1804000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-12,3.01,3.09,2.88,2.89,187500,psxdata,2026-05-11T12:56:01
DSIL,2016-08-15,2.82,2.96,2.82,2.88,169000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-16,2.9,2.95,2.8,2.82,144000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-17,2.82,2.98,2.82,2.86,338500,psxdata,2026-05-11T12:56:01
DSIL,2016-08-18,2.9,2.98,2.85,2.92,321000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-19,2.9,3.2,2.9,3.08,1337000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-22,3.09,3.31,3.06,3.22,1453000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-23,3.2,3.38,3.02,3.05,770000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-24,3.05,3.16,3.05,3.09,130000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-25,3.11,3.3,3.11,3.15,271000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-29,3.16,3.18,3.06,3.08,331000,psxdata,2026-05-11T12:56:01
DSIL,2016-08-30,3.19,3.35,3.05,3.2,1080500,psxdata,2026-05-11T12:56:01
DSIL,2016-08-31,3.22,3.4,3.2,3.38,615500,psxdata,2026-05-11T12:56:01
DSIL,2016-09-01,3.4,3.6,3.35,3.44,890500,psxdata,2026-05-11T12:56:01
DSIL,2016-09-02,3.3,3.56,3.25,3.32,405000,psxdata,2026-05-11T12:56:01
DSIL,2016-09-05,3.31,3.42,3.21,3.31,180000,psxdata,2026-05-11T12:56:01
DSIL,2016-09-06,3.21,3.31,3.12,3.25,133500,psxdata,2026-05-11T12:56:01
DSIL,2016-09-07,3.18,3.65,3.14,3.48,775000,psxdata,2026-05-11T12:56:01
DSIL,2016-09-08,3.58,4.1,3.58,3.82,2858500,psxdata,2026-05-11T12:56:01
DSIL,2016-09-09,3.7,4.25,3.7,3.92,2581000,psxdata,2026-05-11T12:56:01
