symbol,date,open,high,low,close,volume,source,collected_at
DSL,2016-05-11,17.81,18.16,17.71,17.81,414000,psxdata,2026-05-11T12:52:56
DSL,2016-05-12,17.67,18.1,17.6,17.71,696000,psxdata,2026-05-11T12:52:56
DSL,2016-05-13,17.94,18.68,17.88,18.23,2235500,psxdata,2026-05-11T12:52:56
DSL,2016-05-16,18.52,18.99,17.86,17.96,910000,psxdata,2026-05-11T12:52:56
DSL,2016-05-17,17.93,18.3,17.5,17.64,785500,psxdata,2026-05-11T12:52:56
DSL,2016-05-18,17.95,17.95,17.2,17.38,287500,psxdata,2026-05-11T12:52:56
DSL,2016-05-19,17.7,17.7,17.14,17.23,347500,psxdata,2026-05-11T12:52:56
DSL,2016-05-20,16.87,18.23,16.87,18.2,2841500,psxdata,2026-05-11T12:52:56
DSL,2016-05-23,18.3,18.47,17.9,18.02,454500,psxdata,2026-05-11T12:52:56
DSL,2016-05-24,18.05,18.05,17.55,17.71,220000,psxdata,2026-05-11T12:52:56
DSL,2016-05-25,17.68,18.6,17.5,18.22,1301000,psxdata,2026-05-11T12:52:56
DSL,2016-05-26,18.58,19.17,18.32,18.46,2437500,psxdata,2026-05-11T12:52:56
DSL,2016-05-27,18.5,18.55,17.85,17.88,637000,psxdata,2026-05-11T12:52:56
DSL,2016-05-30,18.17,18.17,17.6,17.69,296000,psxdata,2026-05-11T12:52:56
DSL,2016-05-31,17.87,18.1,17.45,17.54,147000,psxdata,2026-05-11T12:52:56
DSL,2016-06-01,17.93,17.93,17.3,17.56,162000,psxdata,2026-05-11T12:52:56
DSL,2016-06-02,17.26,18.2,17.01,17.69,233500,psxdata,2026-05-11T12:52:56
DSL,2016-06-03,17.89,17.9,17.35,17.5,259000,psxdata,2026-05-11T12:52:56
DSL,2016-06-06,17.3,17.3,16.6,16.74,451000,psxdata,2026-05-11T12:52:56
DSL,2016-06-07,16.5,16.86,16.2,16.64,206500,psxdata,2026-05-11T12:52:56
DSL,2016-06-08,16.6,16.93,16.6,16.8,98000,psxdata,2026-05-11T12:52:56
DSL,2016-06-09,16.8,17.1,16.2,16.39,191000,psxdata,2026-05-11T12:52:56
DSL,2016-06-10,16.11,16.3,15.39,15.51,180500,psxdata,2026-05-11T12:52:56
DSL,2016-06-13,15.1,15.3,14.51,14.66,162000,psxdata,2026-05-11T12:52:56
DSL,2016-06-14,15.2,15.2,15.0,15.13,68000,psxdata,2026-05-11T12:52:56
DSL,2016-06-15,15.37,15.37,14.95,15.04,92500,psxdata,2026-05-11T12:52:56
DSL,2016-06-16,14.35,15.01,14.04,14.32,324000,psxdata,2026-05-11T12:52:56
DSL,2016-06-17,14.11,14.3,13.51,13.78,333000,psxdata,2026-05-11T12:52:56
DSL,2016-06-20,13.55,14.05,13.41,14.02,203000,psxdata,2026-05-11T12:52:56
DSL,2016-06-21,14.05,14.39,14.0,14.19,64500,psxdata,2026-05-11T12:52:56
DSL,2016-06-22,14.0,14.29,13.8,13.88,96000,psxdata,2026-05-11T12:52:56
DSL,2016-06-23,13.9,13.97,13.83,13.93,35000,psxdata,2026-05-11T12:52:56
DSL,2016-06-24,13.57,13.9,13.26,13.61,57000,psxdata,2026-05-11T12:52:56
DSL,2016-06-27,13.35,13.8,13.35,13.41,58500,psxdata,2026-05-11T12:52:56
DSL,2016-06-28,13.5,13.5,12.41,12.41,244500,psxdata,2026-05-11T12:52:56
DSL,2016-06-29,12.4,12.88,12.4,12.73,94500,psxdata,2026-05-11T12:52:56
DSL,2016-06-30,13.0,13.15,12.7,12.78,88000,psxdata,2026-05-11T12:52:56
DSL,2016-07-04,12.9,13.48,12.9,13.19,37500,psxdata,2026-05-11T12:52:56
DSL,2016-07-11,13.2,14.19,13.2,14.19,195500,psxdata,2026-05-11T12:52:56
DSL,2016-07-12,14.5,15.19,14.19,15.19,309000,psxdata,2026-05-11T12:52:56
DSL,2016-07-13,16.19,16.19,15.5,15.6,532000,psxdata,2026-05-11T12:52:56
DSL,2016-07-14,15.9,15.9,14.99,15.12,333500,psxdata,2026-05-11T12:52:56
DSL,2016-07-15,15.35,15.35,14.21,14.88,95000,psxdata,2026-05-11T12:52:56
DSL,2016-07-18,15.0,15.7,15.0,15.3,196000,psxdata,2026-05-11T12:52:56
DSL,2016-07-19,15.2,15.5,14.91,15.01,99500,psxdata,2026-05-11T12:52:56
DSL,2016-07-20,14.88,15.6,14.85,15.0,170000,psxdata,2026-05-11T12:52:56
DSL,2016-07-21,14.71,14.9,14.25,14.49,328000,psxdata,2026-05-11T12:52:56
DSL,2016-07-22,14.01,14.68,14.01,14.44,180000,psxdata,2026-05-11T12:52:56
DSL,2016-07-25,14.35,14.6,14.25,14.32,63000,psxdata,2026-05-11T12:52:56
DSL,2016-07-26,14.3,14.92,14.11,14.84,211000,psxdata,2026-05-11T12:52:56
DSL,2016-07-27,14.99,14.99,14.4,14.42,391500,psxdata,2026-05-11T12:52:56
DSL,2016-07-28,14.49,15.42,14.25,15.42,1248500,psxdata,2026-05-11T12:52:56
DSL,2016-07-29,15.89,15.89,14.9,15.07,389500,psxdata,2026-05-11T12:52:56
DSL,2016-08-01,14.68,14.97,14.67,14.81,158000,psxdata,2026-05-11T12:52:56
DSL,2016-08-02,14.6,15.62,14.56,15.18,592000,psxdata,2026-05-11T12:52:56
DSL,2016-08-03,15.3,16.18,15.05,16.18,1523500,psxdata,2026-05-11T12:52:56
DSL,2016-08-04,16.74,16.99,16.01,16.16,1192500,psxdata,2026-05-11T12:52:56
DSL,2016-08-05,16.2,16.3,15.53,15.64,275500,psxdata,2026-05-11T12:52:56
DSL,2016-08-08,15.41,15.99,15.34,15.61,125500,psxdata,2026-05-11T12:52:56
DSL,2016-08-09,15.45,15.79,15.4,15.4,46000,psxdata,2026-05-11T12:52:56
DSL,2016-08-10,15.5,15.56,15.2,15.33,71000,psxdata,2026-05-11T12:52:56
DSL,2016-08-11,15.5,15.74,15.1,15.27,274000,psxdata,2026-05-11T12:52:56
DSL,2016-08-12,15.25,16.27,15.01,16.27,692500,psxdata,2026-05-11T12:52:56
DSL,2016-08-15,16.98,17.2,16.5,16.59,1341500,psxdata,2026-05-11T12:52:56
DSL,2016-08-16,16.75,16.89,16.21,16.38,436500,psxdata,2026-05-11T12:52:56
DSL,2016-08-17,16.5,16.5,16.22,16.28,137000,psxdata,2026-05-11T12:52:56
DSL,2016-08-18,16.03,16.4,16.03,16.14,191000,psxdata,2026-05-11T12:52:56
DSL,2016-08-19,16.0,16.15,15.79,15.87,164000,psxdata,2026-05-11T12:52:56
DSL,2016-08-22,15.85,16.05,15.66,15.71,133500,psxdata,2026-05-11T12:52:56
DSL,2016-08-23,15.72,16.27,15.7,15.83,215500,psxdata,2026-05-11T12:52:56
DSL,2016-08-24,16.15,16.15,15.85,15.9,94500,psxdata,2026-05-11T12:52:56
DSL,2016-08-25,15.9,16.2,15.9,16.13,269000,psxdata,2026-05-11T12:52:56
DSL,2016-08-26,16.11,16.8,16.0,16.13,389500,psxdata,2026-05-11T12:52:56
DSL,2016-08-29,15.65,17.13,15.65,16.7,1809500,psxdata,2026-05-11T12:52:56
DSL,2016-08-30,17.0,17.0,16.5,16.62,291000,psxdata,2026-05-11T12:52:56
DSL,2016-08-31,16.51,16.9,16.3,16.36,206500,psxdata,2026-05-11T12:52:56
DSL,2016-09-01,16.31,17.0,16.31,16.83,223000,psxdata,2026-05-11T12:52:56
DSL,2016-09-02,16.75,17.7,16.4,17.48,1504500,psxdata,2026-05-11T12:52:56
DSL,2016-09-05,17.8,17.9,17.1,17.57,405000,psxdata,2026-05-11T12:52:56
DSL,2016-09-06,17.69,18.3,17.65,17.89,1121500,psxdata,2026-05-11T12:52:56
DSL,2016-09-07,18.2,18.62,17.5,18.37,1965000,psxdata,2026-05-11T12:52:56
DSL,2016-09-08,18.74,19.37,18.74,19.24,2629500,psxdata,2026-05-11T12:52:56
DSL,2016-09-09,19.4,20.24,19.26,19.57,3435500,psxdata,2026-05-11T12:52:56
DSL,2016-09-15,19.89,19.95,19.25,19.44,450500,psxdata,2026-05-11T12:52:56
DSL,2016-09-16,19.5,19.6,18.9,19.06,813000,psxdata,2026-05-11T12:52:56
DSL,2016-09-19,19.2,19.46,18.06,18.94,691000,psxdata,2026-05-11T12:52:56
DSL,2016-09-20,19.55,19.94,18.2,19.7,2106000,psxdata,2026-05-11T12:52:56
DSL,2016-09-21,19.95,20.0,18.7,18.7,934000,psxdata,2026-05-11T12:52:56
DSL,2016-09-22,18.7,19.1,18.21,18.39,688000,psxdata,2026-05-11T12:52:56
DSL,2016-09-23,18.35,18.35,17.55,17.74,357000,psxdata,2026-05-11T12:52:56
DSL,2016-09-26,17.75,18.35,17.74,18.13,443500,psxdata,2026-05-11T12:52:56
DSL,2016-09-27,18.01,19.13,18.01,18.54,920000,psxdata,2026-05-11T12:52:56
DSL,2016-09-28,18.7,19.13,18.0,18.59,1923000,psxdata,2026-05-11T12:52:56
DSL,2016-09-29,8.51,8.51,8.51,8.51,109500,psxdata,2026-05-11T12:52:56
DSL,2016-09-30,9.51,9.51,9.51,9.51,131000,psxdata,2026-05-11T12:52:56
DSL,2016-10-03,10.51,10.51,10.2,10.51,3156500,psxdata,2026-05-11T12:52:56
DSL,2016-10-04,11.51,11.51,11.51,11.51,938000,psxdata,2026-05-11T12:52:56
DSL,2016-10-05,12.51,12.51,12.51,12.51,1155500,psxdata,2026-05-11T12:52:56
DSL,2016-10-06,13.51,13.51,12.75,12.96,8429500,psxdata,2026-05-11T12:52:56
DSL,2016-10-07,13.0,13.0,12.15,12.22,1879000,psxdata,2026-05-11T12:52:56
DSL,2016-10-10,12.12,12.2,11.6,11.71,1479500,psxdata,2026-05-11T12:52:56
DSL,2016-10-13,11.85,11.85,10.71,10.8,7080000,psxdata,2026-05-11T12:52:56
DSL,2016-10-14,10.7,10.79,10.35,10.5,1622500,psxdata,2026-05-11T12:52:56
DSL,2016-10-17,10.21,10.3,9.61,9.77,1749500,psxdata,2026-05-11T12:52:56
DSL,2016-10-18,9.61,9.61,8.77,8.79,5285500,psxdata,2026-05-11T12:52:56
DSL,2016-10-19,9.35,9.65,8.92,9.5,10884500,psxdata,2026-05-11T12:52:56
DSL,2016-10-20,9.65,9.89,9.05,9.36,5556000,psxdata,2026-05-11T12:52:56
