symbol,date,open,high,low,close,volume,source,collected_at
ENGROH,2016-05-11,134.5,134.86,130.3,131.64,227700,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-12,132.0,133.5,130.4,130.77,203300,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-13,131.0,132.0,130.0,130.29,204700,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-16,130.0,133.55,129.0,132.06,322600,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-17,133.0,134.0,132.0,133.15,172900,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-18,134.0,136.5,133.32,134.61,230300,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-19,136.01,136.5,131.51,132.69,884900,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-20,133.49,133.49,129.0,129.89,280000,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-23,130.85,132.4,129.0,131.97,244300,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-24,132.5,133.75,131.74,132.01,215200,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-25,132.97,133.69,131.0,131.21,274100,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-26,131.25,135.0,131.25,133.15,828100,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-27,134.2,135.99,133.5,134.35,399300,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-30,135.3,135.3,132.5,132.78,164400,psxdata,2026-05-11T12:55:04
ENGROH,2016-05-31,132.25,134.71,130.0,131.84,383000,psxdata,2026-05-11T12:55:04
ENGROH,2016-06-01,132.5,135.47,132.29,134.87,171900,psxdata,2026-05-11T12:55:04
ENGROH,2016-06-02,135.48,138.2,134.8,135.05,594200,psxdata,2026-05-11T12:55:04
ENGROH,2016-06-03,135.99,137.5,135.0,135.31,164800,psxdata,2026-05-11T12:55:04
ENGROH,2016-06-06,134.0,142.07,134.0,139.6,669600,psxdata,2026-05-11T12:55:04
ENGROH,2016-06-07,139.4,139.4,136.05,136.57,78200,psxdata,2026-05-11T12:55:04
ENGROH,2016-06-08,138.0,140.0,135.5,136.61,190300,psxdata,2026-05-11T12:55:04
