symbol,date,open,high,low,close,volume,source,collected_at
EPCL,2016-05-11,9.52,9.6,9.48,9.5,197000,psxdata,2026-05-11T12:55:20
EPCL,2016-05-12,9.59,10.34,9.59,9.78,5938000,psxdata,2026-05-11T12:55:20
EPCL,2016-05-13,9.97,10.28,9.9,9.98,3556500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-16,10.0,10.1,9.5,9.55,2547500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-17,9.65,9.87,9.56,9.62,735000,psxdata,2026-05-11T12:55:20
EPCL,2016-05-18,9.74,9.75,9.39,9.61,1799500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-19,9.69,9.85,9.65,9.71,1259000,psxdata,2026-05-11T12:55:20
EPCL,2016-05-20,9.8,9.98,9.71,9.85,1418000,psxdata,2026-05-11T12:55:20
EPCL,2016-05-23,9.9,10.13,9.76,9.83,3049500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-24,9.93,9.93,9.68,9.75,951500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-25,9.8,9.9,9.75,9.79,267500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-26,9.72,9.87,9.65,9.68,366500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-27,9.63,9.8,9.48,9.51,522500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-30,9.55,9.6,9.3,9.32,375500,psxdata,2026-05-11T12:55:20
EPCL,2016-05-31,9.31,9.5,9.31,9.44,154500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-01,9.47,9.64,9.4,9.59,293000,psxdata,2026-05-11T12:55:20
EPCL,2016-06-02,9.58,9.63,9.48,9.5,171000,psxdata,2026-05-11T12:55:20
EPCL,2016-06-03,9.52,9.6,9.45,9.48,107500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-06,9.35,9.5,9.31,9.37,208500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-07,9.33,9.43,9.31,9.37,47500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-08,9.33,9.42,9.23,9.25,122000,psxdata,2026-05-11T12:55:20
EPCL,2016-06-09,9.25,9.3,9.12,9.16,138500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-10,9.13,9.13,9.04,9.05,179000,psxdata,2026-05-11T12:55:20
EPCL,2016-06-13,9.01,9.18,8.95,9.0,108500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-14,9.21,9.28,9.0,9.02,99500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-15,9.2,9.2,9.04,9.1,100000,psxdata,2026-05-11T12:55:20
EPCL,2016-06-16,9.05,9.18,9.02,9.07,69500,psxdata,2026-05-11T12:55:20
EPCL,2016-06-17,9.01,9.04,8.84,8.86,260500,psxdata,2026-05-11T12:55:20
