symbol,date,open,high,low,close,volume,source,collected_at
FABL,2016-05-11,14.36,14.37,13.87,13.9,781000,psxdata,2026-05-11T12:55:07
FABL,2016-05-12,13.9,13.99,13.7,13.78,560000,psxdata,2026-05-11T12:55:07
FABL,2016-05-13,13.93,13.95,13.8,13.9,77000,psxdata,2026-05-11T12:55:07
FABL,2016-05-16,13.86,13.93,13.81,13.83,56500,psxdata,2026-05-11T12:55:07
FABL,2016-05-17,13.71,14.0,13.7,13.92,37000,psxdata,2026-05-11T12:55:07
FABL,2016-05-18,13.85,13.9,13.7,13.81,36000,psxdata,2026-05-11T12:55:07
FABL,2016-05-19,13.81,14.01,13.8,13.99,95500,psxdata,2026-05-11T12:55:07
FABL,2016-05-20,13.91,14.0,13.81,13.85,45000,psxdata,2026-05-11T12:55:07
FABL,2016-05-23,13.65,13.75,13.5,13.64,238000,psxdata,2026-05-11T12:55:07
FABL,2016-05-24,13.63,13.75,13.62,13.67,96500,psxdata,2026-05-11T12:55:07
FABL,2016-05-25,13.7,13.99,13.65,13.67,137500,psxdata,2026-05-11T12:55:07
FABL,2016-05-26,13.61,13.77,13.6,13.77,37500,psxdata,2026-05-11T12:55:07
FABL,2016-05-27,13.7,13.9,13.7,13.78,268000,psxdata,2026-05-11T12:55:07
FABL,2016-05-30,13.55,13.85,13.55,13.81,109500,psxdata,2026-05-11T12:55:07
FABL,2016-05-31,13.8,13.89,13.65,13.73,196000,psxdata,2026-05-11T12:55:07
FABL,2016-06-01,13.51,14.25,13.51,13.99,197000,psxdata,2026-05-11T12:55:07
FABL,2016-06-02,14.0,14.0,13.85,13.92,197500,psxdata,2026-05-11T12:55:07
FABL,2016-06-03,13.75,13.95,13.6,13.67,444000,psxdata,2026-05-11T12:55:07
FABL,2016-06-06,13.8,14.0,13.7,13.72,705500,psxdata,2026-05-11T12:55:07
FABL,2016-06-07,13.7,13.74,13.45,13.5,389000,psxdata,2026-05-11T12:55:07
FABL,2016-06-08,13.6,13.74,13.56,13.56,23500,psxdata,2026-05-11T12:55:07
FABL,2016-06-09,13.8,13.8,13.57,13.6,41000,psxdata,2026-05-11T12:55:07
FABL,2016-06-10,13.45,13.46,13.3,13.32,164000,psxdata,2026-05-11T12:55:07
FABL,2016-06-13,13.35,13.4,13.2,13.22,276500,psxdata,2026-05-11T12:55:07
FABL,2016-06-14,13.35,13.48,13.3,13.44,156000,psxdata,2026-05-11T12:55:07
FABL,2016-06-15,13.56,14.2,13.4,13.57,286500,psxdata,2026-05-11T12:55:07
FABL,2016-06-16,13.62,13.89,13.49,13.6,4709500,psxdata,2026-05-11T12:55:07
FABL,2016-06-17,13.6,13.78,13.55,13.69,1425500,psxdata,2026-05-11T12:55:07
FABL,2016-06-20,13.7,13.88,13.55,13.56,1419500,psxdata,2026-05-11T12:55:07
FABL,2016-06-21,13.55,13.63,13.41,13.42,112500,psxdata,2026-05-11T12:55:07
FABL,2016-06-22,13.5,13.5,13.21,13.25,722500,psxdata,2026-05-11T12:55:07
FABL,2016-06-23,13.22,13.48,13.22,13.45,160500,psxdata,2026-05-11T12:55:07
FABL,2016-06-24,13.15,13.3,12.95,13.19,469500,psxdata,2026-05-11T12:55:07
FABL,2016-06-27,13.1,13.17,13.0,13.07,245500,psxdata,2026-05-11T12:55:07
FABL,2016-06-28,13.1,13.25,13.0,13.02,374000,psxdata,2026-05-11T12:55:07
FABL,2016-06-29,13.2,13.3,13.11,13.25,177500,psxdata,2026-05-11T12:55:07
FABL,2016-06-30,13.13,13.35,13.09,13.11,151500,psxdata,2026-05-11T12:55:07
FABL,2016-07-04,13.15,13.18,13.12,13.12,75000,psxdata,2026-05-11T12:55:07
FABL,2016-07-11,13.14,13.29,13.1,13.28,105500,psxdata,2026-05-11T12:55:07
FABL,2016-07-12,13.15,13.79,13.14,13.6,650000,psxdata,2026-05-11T12:55:07
FABL,2016-07-13,13.56,13.86,13.41,13.5,892500,psxdata,2026-05-11T12:55:07
FABL,2016-07-14,13.5,13.75,13.4,13.47,268500,psxdata,2026-05-11T12:55:07
FABL,2016-07-15,13.42,13.73,13.42,13.56,836500,psxdata,2026-05-11T12:55:07
