symbol,date,open,high,low,close,volume,source,collected_at
FCCL,2016-05-11,43.8,44.0,43.2,43.36,2247000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-12,43.5,43.6,42.97,43.05,2020000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-13,43.0,43.38,42.94,43.0,1922000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-16,43.19,43.2,42.97,43.14,885000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-17,43.08,43.24,42.77,42.91,1078500,psxdata,2026-05-11T12:51:40
FCCL,2016-05-18,43.0,43.19,42.4,42.56,2092000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-19,42.8,43.24,42.66,43.04,1241000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-20,43.04,43.09,42.67,42.71,954500,psxdata,2026-05-11T12:51:40
FCCL,2016-05-23,43.0,43.2,42.8,43.0,1110000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-24,43.1,43.18,42.85,43.02,540500,psxdata,2026-05-11T12:51:40
FCCL,2016-05-25,42.9,43.0,42.52,42.59,900500,psxdata,2026-05-11T12:51:40
FCCL,2016-05-26,42.6,42.64,42.15,42.33,2180000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-27,42.3,42.7,42.3,42.43,2731000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-30,40.31,40.31,40.31,40.31,203000,psxdata,2026-05-11T12:51:40
FCCL,2016-05-31,38.3,38.3,38.3,38.3,2267000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-01,36.39,36.39,36.39,36.39,122500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-02,35.01,35.89,34.66,34.88,48492000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-03,35.15,35.69,33.97,34.11,22803500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-06,33.83,33.83,32.7,32.85,12401500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-07,32.89,34.09,32.25,33.56,15028500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-08,33.8,35.18,33.73,34.89,15719500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-09,35.2,35.72,35.0,35.21,7419000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-10,34.9,35.25,34.56,34.72,1491500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-13,34.9,35.1,34.35,34.49,5211000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-14,34.5,34.93,34.4,34.58,2144500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-15,35.6,35.6,34.68,35.06,8092000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-16,35.19,35.7,35.0,35.27,8055500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-17,35.3,35.31,35.05,35.13,2241000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-20,35.06,35.29,35.05,35.14,1915500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-21,35.29,35.5,35.1,35.13,1166000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-22,35.15,35.8,35.15,35.48,5422000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-23,35.55,36.06,35.25,35.99,2910000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-24,35.9,36.43,34.9,35.66,9034500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-27,35.9,36.26,35.69,35.9,2774000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-28,36.2,36.2,35.18,35.35,1804000,psxdata,2026-05-11T12:51:40
FCCL,2016-06-29,35.65,36.07,35.65,35.89,2590500,psxdata,2026-05-11T12:51:40
FCCL,2016-06-30,36.0,36.1,35.5,35.8,1385500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-04,35.81,35.85,35.6,35.8,511000,psxdata,2026-05-11T12:51:40
FCCL,2016-07-11,36.01,36.8,35.8,36.55,4508000,psxdata,2026-05-11T12:51:40
FCCL,2016-07-12,36.45,38.18,36.45,37.91,7620500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-13,38.0,38.35,37.55,37.88,5266500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-14,37.99,38.3,37.7,38.26,3672500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-15,38.24,38.5,37.86,38.02,2245500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-18,38.08,38.15,37.6,37.98,1866000,psxdata,2026-05-11T12:51:40
FCCL,2016-07-19,38.01,38.33,37.84,38.09,2786500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-20,37.97,38.0,37.8,37.86,803500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-21,38.1,38.38,37.8,38.12,1958000,psxdata,2026-05-11T12:51:40
FCCL,2016-07-22,38.1,38.2,37.85,37.98,727500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-25,37.74,37.94,37.7,37.74,778000,psxdata,2026-05-11T12:51:40
FCCL,2016-07-26,37.74,37.9,37.2,37.3,1910500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-27,37.68,37.82,37.25,37.47,2071000,psxdata,2026-05-11T12:51:40
FCCL,2016-07-28,37.47,37.75,37.4,37.68,1198500,psxdata,2026-05-11T12:51:40
FCCL,2016-07-29,37.57,37.87,37.4,37.73,1042000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-01,37.98,38.99,37.79,38.72,5155500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-02,39.0,39.05,38.57,38.95,3494500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-03,38.71,38.88,38.46,38.61,882000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-04,38.5,38.59,38.26,38.28,1105500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-05,38.3,38.3,37.65,37.94,2324000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-08,38.19,38.19,37.8,38.07,646000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-09,38.08,38.6,38.08,38.5,8229500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-10,38.6,38.8,38.13,38.5,1693500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-11,38.6,38.6,38.2,38.54,817500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-12,38.7,38.7,38.22,38.55,703000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-15,38.05,38.9,38.04,38.83,1282000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-16,38.75,39.0,38.7,38.73,1015000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-17,38.51,38.74,38.05,38.16,1942500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-18,38.19,38.2,37.7,37.85,1660500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-19,37.85,37.9,37.25,37.38,2468500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-22,37.2,37.75,37.15,37.62,517500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-23,37.25,37.9,37.04,37.52,906500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-24,37.5,37.8,37.35,37.54,655500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-25,37.31,38.28,37.31,38.01,2359000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-26,37.7,38.4,37.7,38.3,967500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-29,38.3,38.89,38.05,38.54,3525500,psxdata,2026-05-11T12:51:40
FCCL,2016-08-30,38.75,38.75,38.28,38.35,846000,psxdata,2026-05-11T12:51:40
FCCL,2016-08-31,38.5,38.5,37.81,38.04,1587000,psxdata,2026-05-11T12:51:40
FCCL,2016-09-01,37.9,38.2,37.75,37.93,1294500,psxdata,2026-05-11T12:51:40
FCCL,2016-09-02,37.62,37.9,37.0,37.42,3465000,psxdata,2026-05-11T12:51:40
FCCL,2016-09-05,37.42,37.5,37.0,37.13,1063500,psxdata,2026-05-11T12:51:40
FCCL,2016-09-06,37.01,37.75,37.0,37.62,1024000,psxdata,2026-05-11T12:51:40
FCCL,2016-09-07,37.6,38.05,37.41,37.96,1711500,psxdata,2026-05-11T12:51:40
FCCL,2016-09-08,37.81,38.0,37.42,37.6,614500,psxdata,2026-05-11T12:51:40
FCCL,2016-09-09,37.59,37.59,37.0,37.23,3730000,psxdata,2026-05-11T12:51:40
FCCL,2016-09-15,37.3,37.5,37.1,37.27,1210000,psxdata,2026-05-11T12:51:40
FCCL,2016-09-16,37.1,37.45,37.1,37.23,1072000,psxdata,2026-05-11T12:51:40
FCCL,2016-09-19,37.15,37.25,37.0,37.05,1980000,psxdata,2026-05-11T12:51:40
