symbol,date,open,high,low,close,volume,source,collected_at
FCL,2024-06-10,24.9,24.9,23.02,24.03,7086191,psxdata,2026-05-11T12:54:52
FCL,2024-06-11,24.51,24.51,23.1,23.18,1149900,psxdata,2026-05-11T12:54:52
FCL,2024-06-12,23.5,23.5,23.0,23.37,817204,psxdata,2026-05-11T12:54:52
FCL,2024-06-13,23.4,24.72,23.25,24.52,6050420,psxdata,2026-05-11T12:54:52
FCL,2024-06-14,24.7,24.92,23.78,23.85,3500223,psxdata,2026-05-11T12:54:52
FCL,2024-06-20,23.94,24.13,23.55,23.98,884596,psxdata,2026-05-11T12:54:52
FCL,2024-06-21,23.75,23.98,23.11,23.51,1206041,psxdata,2026-05-11T12:54:52
FCL,2024-06-24,23.31,23.45,23.15,23.22,558871,psxdata,2026-05-11T12:54:52
FCL,2024-06-25,23.44,23.8,23.13,23.49,1104779,psxdata,2026-05-11T12:54:52
FCL,2024-06-26,23.49,23.68,23.16,23.26,799720,psxdata,2026-05-11T12:54:52
FCL,2024-06-27,23.31,24.0,23.31,23.87,964056,psxdata,2026-05-11T12:54:52
FCL,2024-06-28,24.0,24.25,23.71,23.91,1770983,psxdata,2026-05-11T12:54:52
FCL,2024-07-01,24.14,24.4,23.85,24.0,2006658,psxdata,2026-05-11T12:54:52
FCL,2024-07-02,24.09,24.39,23.91,23.96,538061,psxdata,2026-05-11T12:54:52
FCL,2024-07-03,24.09,24.09,23.75,23.82,938314,psxdata,2026-05-11T12:54:52
FCL,2024-07-04,23.65,24.0,23.5,23.56,538713,psxdata,2026-05-11T12:54:52
FCL,2024-07-05,23.71,23.75,23.5,23.51,489036,psxdata,2026-05-11T12:54:52
FCL,2024-07-08,23.5,23.7,23.0,23.3,620703,psxdata,2026-05-11T12:54:52
FCL,2024-07-09,23.5,23.64,23.32,23.47,504256,psxdata,2026-05-11T12:54:52
FCL,2024-07-10,23.47,23.6,23.09,23.19,678821,psxdata,2026-05-11T12:54:52
