symbol,date,open,high,low,close,volume,source,collected_at
FDPL,2016-05-11,1.05,1.12,1.0,1.01,108000,psxdata,2026-05-11T12:53:51
FDPL,2016-05-12,1.02,1.12,1.01,1.11,288000,psxdata,2026-05-11T12:53:51
FDPL,2016-05-13,1.22,1.22,1.1,1.14,115000,psxdata,2026-05-11T12:53:51
FDPL,2016-05-16,1.1,1.24,1.1,1.18,155500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-17,1.21,1.21,1.1,1.14,79500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-18,1.16,1.17,1.11,1.12,4000,psxdata,2026-05-11T12:53:51
FDPL,2016-05-19,1.18,1.18,1.15,1.16,17000,psxdata,2026-05-11T12:53:51
FDPL,2016-05-20,1.15,1.2,1.12,1.19,216500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-23,1.11,1.15,1.1,1.15,353500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-24,1.17,1.18,1.12,1.12,8500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-25,1.24,1.24,1.24,1.24,6500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-26,1.15,1.15,1.1,1.1,14500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-27,1.1,1.18,1.0,1.0,107500,psxdata,2026-05-11T12:53:51
FDPL,2016-05-30,1.05,1.1,1.05,1.1,14000,psxdata,2026-05-11T12:53:51
FDPL,2016-05-31,1.1,1.14,1.06,1.06,27500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-01,1.24,1.24,1.06,1.1,24000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-02,1.1,1.29,1.1,1.16,783500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-03,1.27,1.27,1.06,1.16,40000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-06,1.15,1.15,1.03,1.13,29500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-07,1.16,1.16,1.05,1.05,1000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-08,1.04,1.15,1.04,1.12,224500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-09,1.19,1.19,1.07,1.09,123000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-10,1.1,1.13,1.05,1.13,8500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-13,1.12,1.12,1.12,1.12,500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-14,1.14,1.14,1.04,1.1,4000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-15,1.03,1.1,1.03,1.1,4000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-16,1.05,1.05,1.0,1.05,399000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-17,1.09,1.09,1.02,1.04,4500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-20,1.08,1.08,1.04,1.08,1000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-21,1.09,1.09,1.06,1.06,3500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-22,1.05,1.05,1.05,1.05,14500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-23,1.07,1.07,1.07,1.07,500,psxdata,2026-05-11T12:53:51
FDPL,2016-06-24,1.04,1.08,1.04,1.08,31000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-28,1.04,1.05,0.92,1.02,44000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-29,1.04,1.05,1.0,1.0,109000,psxdata,2026-05-11T12:53:51
FDPL,2016-06-30,1.05,1.05,0.9,1.02,54000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-04,1.15,1.15,1.02,1.02,31500,psxdata,2026-05-11T12:53:51
FDPL,2016-07-11,1.0,1.05,1.0,1.02,105500,psxdata,2026-05-11T12:53:51
FDPL,2016-07-12,1.05,1.05,1.03,1.03,21500,psxdata,2026-05-11T12:53:51
FDPL,2016-07-13,1.18,1.18,1.01,1.03,6000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-14,1.09,1.09,0.98,1.01,48000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-15,1.0,1.05,1.0,1.05,59500,psxdata,2026-05-11T12:53:51
FDPL,2016-07-18,1.0,1.05,1.0,1.05,27500,psxdata,2026-05-11T12:53:51
FDPL,2016-07-19,1.0,1.12,1.0,1.0,10000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-20,1.0,1.0,1.0,1.0,150000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-21,1.0,1.02,0.51,1.0,112000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-22,1.14,1.14,0.98,1.0,238500,psxdata,2026-05-11T12:53:51
FDPL,2016-07-25,1.01,1.01,1.0,1.0,7000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-26,1.0,1.0,0.95,1.0,23000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-27,1.05,1.05,0.98,0.98,37500,psxdata,2026-05-11T12:53:51
FDPL,2016-07-28,0.99,1.0,0.98,1.0,21000,psxdata,2026-05-11T12:53:51
FDPL,2016-07-29,0.98,1.09,0.9,0.9,30500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-01,1.04,1.04,0.99,1.0,70000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-02,1.03,1.03,1.01,1.01,4000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-03,0.98,1.03,0.97,1.01,4000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-04,0.99,1.0,0.98,1.0,2500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-05,1.0,1.0,0.98,1.0,32500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-08,1.0,1.0,1.0,1.0,1000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-09,1.05,1.05,1.0,1.0,51000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-10,1.0,1.06,1.0,1.02,154000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-11,1.02,1.05,1.0,1.03,73500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-12,1.05,1.07,1.02,1.04,5000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-15,1.05,1.05,1.05,1.05,11000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-16,1.05,1.12,1.01,1.11,98500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-17,1.1,1.1,1.05,1.06,52000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-18,1.1,1.17,1.1,1.1,3500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-19,1.1,1.1,1.07,1.07,1000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-22,1.02,1.09,1.02,1.08,14500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-23,1.09,1.09,1.05,1.08,4500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-24,1.09,1.09,1.01,1.07,37500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-25,1.1,1.25,1.06,1.22,549500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-26,1.23,1.44,1.22,1.36,1874000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-29,1.4,1.43,1.35,1.37,331500,psxdata,2026-05-11T12:53:51
FDPL,2016-08-30,1.36,1.36,1.22,1.32,113000,psxdata,2026-05-11T12:53:51
FDPL,2016-08-31,1.2,1.33,1.2,1.27,99000,psxdata,2026-05-11T12:53:51
