symbol,date,open,high,low,close,volume,source,collected_at
FNEL,2016-05-11,2.1,2.14,2.09,2.14,26000,psxdata,2026-05-11T12:50:45
FNEL,2016-05-12,2.19,2.19,2.15,2.18,55000,psxdata,2026-05-11T12:50:45
FNEL,2016-05-13,2.16,2.23,2.16,2.16,35000,psxdata,2026-05-11T12:50:45
FNEL,2016-05-16,2.3,2.4,2.17,2.21,60500,psxdata,2026-05-11T12:50:45
FNEL,2016-05-17,2.25,2.25,2.16,2.22,25500,psxdata,2026-05-11T12:50:45
FNEL,2016-05-18,2.2,2.24,2.2,2.24,8000,psxdata,2026-05-11T12:50:45
FNEL,2016-05-19,2.37,2.38,2.2,2.24,16500,psxdata,2026-05-11T12:50:45
FNEL,2016-05-20,2.2,2.21,2.16,2.19,12500,psxdata,2026-05-11T12:50:45
FNEL,2016-05-23,2.3,2.3,2.3,2.3,1000,psxdata,2026-05-11T12:50:45
FNEL,2016-05-24,2.29,2.29,2.15,2.16,10000,psxdata,2026-05-11T12:50:45
FNEL,2016-05-25,2.2,2.27,2.2,2.21,14500,psxdata,2026-05-11T12:50:45
FNEL,2016-05-26,2.16,2.29,2.15,2.19,62500,psxdata,2026-05-11T12:50:45
FNEL,2016-05-27,2.3,2.3,2.2,2.29,46000,psxdata,2026-05-11T12:50:45
FNEL,2016-05-30,2.25,2.3,2.18,2.18,5500,psxdata,2026-05-11T12:50:45
FNEL,2016-05-31,2.27,2.27,2.27,2.27,500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-01,2.25,2.28,2.25,2.28,22500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-02,2.22,2.22,2.15,2.15,23000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-03,2.11,2.25,2.05,2.23,115500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-06,2.12,2.25,2.1,2.25,51000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-07,2.33,2.35,2.33,2.33,60000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-08,2.35,2.35,2.3,2.3,2500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-09,2.34,2.34,2.22,2.22,5500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-10,2.2,2.2,2.2,2.2,5000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-13,2.2,2.23,2.15,2.2,30500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-14,2.2,2.25,2.2,2.24,7500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-15,2.32,2.32,2.2,2.29,12000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-16,2.29,2.4,2.25,2.25,12000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-17,2.3,2.35,2.25,2.26,13000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-20,2.29,2.3,2.29,2.3,1000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-21,2.25,2.25,2.25,2.25,500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-22,2.25,2.25,2.1,2.14,63500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-23,2.25,2.33,2.2,2.3,45500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-24,2.2,2.3,2.2,2.24,50500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-27,2.3,2.3,2.3,2.3,20500,psxdata,2026-05-11T12:50:45
FNEL,2016-06-28,2.3,2.3,2.2,2.29,91000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-29,2.21,2.39,2.21,2.39,1000,psxdata,2026-05-11T12:50:45
FNEL,2016-06-30,2.3,2.38,2.3,2.3,52000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-04,2.4,2.46,2.4,2.46,38500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-11,2.4,2.49,2.35,2.43,29500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-12,2.45,2.59,2.4,2.48,113000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-13,2.48,2.5,2.32,2.32,4500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-14,2.45,2.45,2.45,2.45,1000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-15,2.55,2.55,2.45,2.48,16500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-18,2.26,2.61,2.26,2.58,64500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-19,2.7,2.7,2.5,2.5,82000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-20,2.44,2.55,2.44,2.53,36000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-21,2.5,3.3,2.5,3.09,2212500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-22,3.05,3.3,2.9,2.91,338000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-25,2.98,2.98,2.75,2.8,128000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-26,2.6,2.8,2.5,2.8,100500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-27,2.99,2.99,2.6,2.62,89500,psxdata,2026-05-11T12:50:45
FNEL,2016-07-28,2.65,2.68,2.6,2.61,38000,psxdata,2026-05-11T12:50:45
FNEL,2016-07-29,2.56,2.73,2.5,2.51,47000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-01,2.73,2.73,2.46,2.54,279500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-02,2.5,2.6,2.5,2.55,125500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-03,2.6,3.29,2.6,2.7,475500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-04,2.71,2.83,2.7,2.7,145000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-05,2.8,2.87,2.65,2.67,77500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-08,2.8,2.9,2.67,2.74,547000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-09,2.75,2.83,2.75,2.75,110500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-10,2.8,2.81,2.75,2.8,75500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-11,2.8,3.1,2.79,3.06,329000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-12,3.08,3.1,3.03,3.06,162500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-15,2.75,3.2,2.75,3.07,192000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-16,3.15,3.19,3.08,3.08,134000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-17,3.06,3.4,3.06,3.19,230500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-18,3.44,3.44,3.11,3.24,242500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-19,3.25,3.8,3.25,3.67,961000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-22,3.51,4.2,3.51,4.12,914500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-23,4.0,4.25,3.9,4.07,268500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-24,3.88,3.9,3.78,3.83,46000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-25,4.1,4.1,3.65,3.75,95500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-26,3.53,3.8,3.5,3.62,55500,psxdata,2026-05-11T12:50:45
FNEL,2016-08-29,3.55,3.76,3.4,3.5,153000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-30,3.9,3.9,3.6,3.6,59000,psxdata,2026-05-11T12:50:45
FNEL,2016-08-31,3.79,3.9,3.56,3.79,135000,psxdata,2026-05-11T12:50:45
FNEL,2016-09-01,3.65,4.1,3.65,3.82,310500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-02,3.8,3.89,3.5,3.71,165500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-05,4.0,4.0,3.66,3.67,9500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-06,3.67,3.8,3.5,3.6,55500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-07,3.6,3.85,3.5,3.8,96000,psxdata,2026-05-11T12:50:45
FNEL,2016-09-08,3.95,4.15,3.85,3.95,502500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-09,3.75,4.67,3.75,4.32,891500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-15,4.24,5.32,4.21,5.28,728000,psxdata,2026-05-11T12:50:45
FNEL,2016-09-16,5.3,5.9,5.07,5.45,656500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-19,5.4,6.45,5.4,6.4,1176500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-20,6.9,6.9,5.5,6.27,750500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-21,6.4,6.4,5.27,5.27,1235500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-22,5.3,6.27,5.3,6.27,1403500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-23,6.9,7.27,6.65,7.27,1631000,psxdata,2026-05-11T12:50:45
FNEL,2016-09-26,7.57,7.95,6.88,7.53,2998000,psxdata,2026-05-11T12:50:45
FNEL,2016-09-27,7.2,7.75,7.1,7.27,613000,psxdata,2026-05-11T12:50:45
FNEL,2016-09-28,7.25,7.25,6.45,6.55,460500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-29,6.8,7.0,6.21,6.49,602500,psxdata,2026-05-11T12:50:45
FNEL,2016-09-30,6.89,7.1,6.5,6.84,643500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-03,6.9,7.0,6.71,6.74,184500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-04,6.61,6.81,6.56,6.77,113000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-05,6.7,7.77,6.65,7.77,1016500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-06,8.3,8.77,8.01,8.77,941500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-07,9.33,9.77,9.05,9.77,915000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-10,9.91,10.77,9.9,10.77,981000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-13,11.48,11.5,10.51,11.04,1068500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-14,10.31,11.09,10.31,10.72,399500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-17,10.51,10.8,9.8,9.99,171500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-18,9.3,9.65,9.0,9.43,741500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-19,9.59,10.43,9.4,10.43,615000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-20,10.94,11.43,10.7,11.43,1552500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-21,11.8,12.18,10.95,11.67,1173000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-24,11.45,11.45,10.67,10.67,778000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-25,10.9,10.9,9.71,10.24,678000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-26,10.25,10.75,9.24,9.46,710500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-27,9.0,9.5,8.46,8.46,341500,psxdata,2026-05-11T12:50:45
FNEL,2016-10-28,7.6,8.35,7.46,7.84,1030000,psxdata,2026-05-11T12:50:45
FNEL,2016-10-31,7.51,8.16,7.5,7.92,264500,psxdata,2026-05-11T12:50:45
FNEL,2016-11-01,8.25,8.92,8.15,8.92,906000,psxdata,2026-05-11T12:50:45
FNEL,2016-11-02,9.92,9.92,9.92,9.92,153500,psxdata,2026-05-11T12:50:45
FNEL,2016-11-03,10.92,10.92,10.1,10.61,1427000,psxdata,2026-05-11T12:50:45
FNEL,2016-11-04,10.5,11.05,10.1,10.24,874000,psxdata,2026-05-11T12:50:45
FNEL,2016-11-07,10.11,11.24,10.11,11.24,1173000,psxdata,2026-05-11T12:50:45
