symbol,date,open,high,low,close,volume,source,collected_at
GCIL,2022-11-14,34.74,37.55,34.74,34.74,20500,psxdata,2026-05-11T12:54:22
GCIL,2022-11-15,32.14,32.14,32.14,32.14,5000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-16,29.73,29.73,29.73,29.73,129000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-17,28.3,28.8,27.51,27.51,11060000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-18,26.52,26.56,25.45,25.45,9612500,psxdata,2026-05-11T12:54:22
GCIL,2022-11-21,24.77,25.74,23.8,24.08,8582500,psxdata,2026-05-11T12:54:22
GCIL,2022-11-22,24.09,24.24,22.62,22.85,4501000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-23,23.1,24.25,23.05,23.54,5217000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-24,23.7,23.88,23.2,23.29,1496000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-25,23.4,23.5,22.93,22.99,862500,psxdata,2026-05-11T12:54:22
GCIL,2022-11-28,22.25,22.25,21.27,21.27,2612000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-29,19.73,19.73,17.89,18.35,5068000,psxdata,2026-05-11T12:54:22
GCIL,2022-11-30,18.35,18.6,17.35,17.51,4144500,psxdata,2026-05-11T12:54:22
GCIL,2022-12-01,17.6,18.38,17.3,17.81,7820500,psxdata,2026-05-11T12:54:22
GCIL,2022-12-02,17.82,18.13,17.34,17.61,2899000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-05,17.8,17.87,17.1,17.22,1890000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-06,17.5,17.57,17.15,17.36,1046000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-07,17.5,17.69,17.13,17.23,2677500,psxdata,2026-05-11T12:54:22
GCIL,2022-12-08,17.23,17.23,15.94,15.96,3453000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-09,16.05,17.15,16.0,17.15,4524000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-12,17.76,18.0,16.5,16.77,6470500,psxdata,2026-05-11T12:54:22
GCIL,2022-12-13,16.74,16.74,15.56,15.91,2314500,psxdata,2026-05-11T12:54:22
GCIL,2022-12-14,15.88,16.49,15.76,15.86,2159000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-15,15.99,16.0,15.0,15.08,2563000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-16,15.02,15.09,14.55,14.69,1056000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-19,14.55,14.65,13.77,13.92,1112500,psxdata,2026-05-11T12:54:22
GCIL,2022-12-20,13.8,14.19,12.88,12.89,2419000,psxdata,2026-05-11T12:54:22
GCIL,2022-12-21,12.7,13.44,12.25,12.54,2653500,psxdata,2026-05-11T12:54:22
