symbol,date,open,high,low,close,volume,source,collected_at
GCWL,2025-04-24,9.0,9.0,9.0,9.0,1802197,psxdata,2026-05-11T12:53:35
GCWL,2025-04-25,8.0,8.0,8.0,8.0,279743,psxdata,2026-05-11T12:53:35
GCWL,2025-04-28,7.36,7.79,7.0,7.0,12616978,psxdata,2026-05-11T12:53:35
GCWL,2025-04-29,6.94,7.5,6.7,7.17,5650065,psxdata,2026-05-11T12:53:35
GCWL,2025-04-30,7.1,7.11,6.8,7.0,2012072,psxdata,2026-05-11T12:53:35
GCWL,2025-05-02,7.3,7.45,7.11,7.15,2239446,psxdata,2026-05-11T12:53:35
GCWL,2025-05-05,7.02,7.14,6.92,7.05,649152,psxdata,2026-05-11T12:53:35
GCWL,2025-05-06,7.06,7.15,6.94,6.95,680085,psxdata,2026-05-11T12:53:35
GCWL,2025-05-07,6.5,6.79,6.41,6.5,972978,psxdata,2026-05-11T12:53:35
GCWL,2025-05-08,6.51,6.94,5.5,5.59,1882448,psxdata,2026-05-11T12:53:35
GCWL,2025-05-09,5.8,5.9,5.35,5.85,1475114,psxdata,2026-05-11T12:53:35
GCWL,2025-05-12,6.85,6.85,6.27,6.85,1461744,psxdata,2026-05-11T12:53:35
GCWL,2025-05-13,7.0,7.25,6.61,7.14,1765670,psxdata,2026-05-11T12:53:35
GCWL,2025-05-14,7.28,8.14,6.88,8.14,6264853,psxdata,2026-05-11T12:53:35
GCWL,2025-05-15,8.57,9.14,8.4,9.14,2452067,psxdata,2026-05-11T12:53:35
GCWL,2025-05-16,9.96,10.14,9.16,9.62,10835084,psxdata,2026-05-11T12:53:35
GCWL,2025-05-19,9.62,10.62,9.06,10.62,7904089,psxdata,2026-05-11T12:53:35
GCWL,2025-05-20,10.76,10.95,10.4,10.58,4149302,psxdata,2026-05-11T12:53:35
GCWL,2025-05-21,10.8,10.8,10.13,10.59,3082775,psxdata,2026-05-11T12:53:35
GCWL,2025-05-22,10.58,11.1,10.3,10.4,7302567,psxdata,2026-05-11T12:53:35
GCWL,2025-05-23,10.31,10.39,9.55,9.83,2370294,psxdata,2026-05-11T12:53:35
GCWL,2025-05-26,9.11,10.83,9.11,10.55,8788266,psxdata,2026-05-11T12:53:35
GCWL,2025-05-27,10.5,10.8,9.8,10.09,3223684,psxdata,2026-05-11T12:53:35
GCWL,2025-05-29,10.25,10.4,10.03,10.16,958163,psxdata,2026-05-11T12:53:35
GCWL,2025-05-30,10.3,10.3,9.91,9.96,516120,psxdata,2026-05-11T12:53:35
GCWL,2025-06-02,10.0,10.64,9.99,10.17,2078685,psxdata,2026-05-11T12:53:35
GCWL,2025-06-03,10.2,10.44,9.75,9.93,1337598,psxdata,2026-05-11T12:53:35
GCWL,2025-06-04,9.99,10.05,9.7,9.88,1208105,psxdata,2026-05-11T12:53:35
GCWL,2025-06-05,9.9,10.05,9.7,9.76,1352692,psxdata,2026-05-11T12:53:35
GCWL,2025-06-10,9.8,9.9,9.49,9.56,2586038,psxdata,2026-05-11T12:53:35
GCWL,2025-06-11,9.66,9.99,9.5,9.71,2098628,psxdata,2026-05-11T12:53:35
GCWL,2025-06-12,9.75,10.11,9.69,9.71,2354986,psxdata,2026-05-11T12:53:35
GCWL,2025-06-13,9.69,9.69,9.3,9.4,1341678,psxdata,2026-05-11T12:53:35
GCWL,2025-06-16,9.34,9.59,9.31,9.36,1521144,psxdata,2026-05-11T12:53:35
GCWL,2025-06-17,9.36,9.5,9.0,9.13,2962414,psxdata,2026-05-11T12:53:35
GCWL,2025-06-18,9.1,9.23,8.75,8.84,1085977,psxdata,2026-05-11T12:53:35
GCWL,2025-06-19,8.9,9.15,8.52,8.57,1335626,psxdata,2026-05-11T12:53:35
GCWL,2025-06-20,8.6,9.1,8.48,8.98,1274470,psxdata,2026-05-11T12:53:35
GCWL,2025-06-23,8.71,8.75,7.98,7.98,1533252,psxdata,2026-05-11T12:53:35
GCWL,2025-06-24,8.89,8.9,8.51,8.75,1068951,psxdata,2026-05-11T12:53:35
GCWL,2025-06-25,8.81,9.48,8.75,9.31,4283270,psxdata,2026-05-11T12:53:35
GCWL,2025-06-26,9.56,9.95,9.5,9.64,4464295,psxdata,2026-05-11T12:53:35
GCWL,2025-06-27,9.7,9.99,9.7,9.74,3270533,psxdata,2026-05-11T12:53:35
