symbol,date,open,high,low,close,volume,source,collected_at
GGGL,2016-05-11,17.0,17.87,17.0,17.86,2317000,psxdata,2026-05-11T12:55:42
GGGL,2016-05-12,18.0,18.86,17.5,18.27,3014500,psxdata,2026-05-11T12:55:42
GGGL,2016-05-13,18.34,19.24,18.34,18.91,1865000,psxdata,2026-05-11T12:55:42
GGGL,2016-05-16,19.39,19.89,19.0,19.58,3579000,psxdata,2026-05-11T12:55:42
GGGL,2016-05-17,19.9,20.19,18.58,18.69,2323500,psxdata,2026-05-11T12:55:42
GGGL,2016-05-18,19.03,19.2,18.4,18.83,1304500,psxdata,2026-05-11T12:55:42
GGGL,2016-05-19,18.9,19.4,18.75,19.11,1735500,psxdata,2026-05-11T12:55:42
GGGL,2016-05-20,19.03,19.1,18.18,18.8,505500,psxdata,2026-05-11T12:55:42
GGGL,2016-05-23,18.94,19.15,18.0,18.64,774000,psxdata,2026-05-11T12:55:42
GGGL,2016-05-24,18.8,18.91,18.7,18.76,481000,psxdata,2026-05-11T12:55:42
GGGL,2016-05-25,18.76,19.76,18.76,19.63,1650500,psxdata,2026-05-11T12:55:42
GGGL,2016-05-26,19.8,20.3,19.65,19.81,2239000,psxdata,2026-05-11T12:55:42
GGGL,2016-05-27,19.79,20.25,19.5,19.71,591000,psxdata,2026-05-11T12:55:42
GGGL,2016-05-30,19.44,19.9,19.01,19.12,272500,psxdata,2026-05-11T12:55:42
GGGL,2016-05-31,19.44,19.44,18.9,18.99,250500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-01,18.85,19.35,18.76,18.93,223500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-02,19.01,19.22,18.81,18.84,82500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-03,18.82,19.2,18.8,18.85,354000,psxdata,2026-05-11T12:55:42
GGGL,2016-06-06,18.85,19.01,18.75,18.84,87000,psxdata,2026-05-11T12:55:42
GGGL,2016-06-07,18.8,18.8,18.0,18.17,79500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-08,18.55,18.55,18.01,18.02,130500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-09,18.2,18.3,17.91,17.98,124500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-10,17.82,17.82,17.42,17.51,148000,psxdata,2026-05-11T12:55:42
GGGL,2016-06-13,17.41,18.25,17.21,17.7,399500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-14,17.6,18.26,17.6,18.21,117500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-15,18.31,18.89,18.2,18.5,252500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-16,18.83,18.83,17.91,18.01,186500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-17,17.9,18.0,17.72,17.96,37000,psxdata,2026-05-11T12:55:42
GGGL,2016-06-20,18.0,18.0,17.6,17.65,27000,psxdata,2026-05-11T12:55:42
GGGL,2016-06-21,17.98,18.65,17.9,18.6,631500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-22,19.25,19.29,17.75,17.99,1306500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-23,18.05,18.5,17.8,18.27,451500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-24,17.95,18.2,17.5,17.89,238000,psxdata,2026-05-11T12:55:42
GGGL,2016-06-27,17.8,17.98,17.65,17.72,72500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-28,18.05,18.05,17.41,17.85,486500,psxdata,2026-05-11T12:55:42
GGGL,2016-06-29,17.99,18.49,17.5,18.29,324000,psxdata,2026-05-11T12:55:42
GGGL,2016-06-30,18.49,18.6,18.0,18.1,205500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-04,14.5,14.95,14.5,14.85,348500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-11,14.8,15.0,14.67,14.71,449000,psxdata,2026-05-11T12:55:42
GGGL,2016-07-12,14.65,14.85,14.45,14.64,248500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-13,14.75,14.85,14.5,14.56,191000,psxdata,2026-05-11T12:55:42
GGGL,2016-07-14,14.6,14.65,14.5,14.52,100000,psxdata,2026-05-11T12:55:42
GGGL,2016-07-15,14.55,14.55,13.95,14.0,532500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-18,13.85,14.14,13.85,14.0,230500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-19,14.1,14.74,14.01,14.42,754500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-20,14.49,14.5,13.9,14.04,835500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-21,13.91,14.1,13.51,13.86,277000,psxdata,2026-05-11T12:55:42
GGGL,2016-07-22,13.81,14.05,13.7,13.94,165000,psxdata,2026-05-11T12:55:42
GGGL,2016-07-25,14.0,14.6,13.95,14.51,1080500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-26,14.5,14.6,14.25,14.3,640500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-27,14.3,14.3,14.11,14.2,207500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-28,14.25,14.5,14.1,14.26,308500,psxdata,2026-05-11T12:55:42
GGGL,2016-07-29,14.2,14.29,14.06,14.12,82000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-01,14.26,14.5,14.01,14.35,551000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-02,14.4,14.84,14.3,14.59,1782500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-03,14.58,14.85,14.4,14.45,912500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-04,14.51,15.09,14.3,14.69,1288000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-05,14.84,15.69,14.7,15.69,2183500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-08,16.09,16.3,15.71,15.84,2695000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-09,15.95,15.95,15.04,15.33,547500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-10,15.25,15.7,15.25,15.41,513500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-11,15.55,15.58,15.18,15.25,430000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-12,15.29,15.6,15.05,15.21,707000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-15,15.22,15.38,15.0,15.07,603000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-16,15.15,15.5,15.1,15.21,644500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-17,15.4,15.4,15.0,15.1,259500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-18,15.1,15.22,14.98,15.01,388000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-19,14.96,15.24,14.9,14.99,190500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-22,14.91,15.0,14.6,14.77,272000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-23,14.8,15.2,14.7,14.98,674000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-24,15.2,15.34,15.1,15.29,708500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-25,15.3,15.55,15.2,15.23,755000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-26,15.2,15.5,15.2,15.3,413000,psxdata,2026-05-11T12:55:42
GGGL,2016-08-29,15.3,16.3,15.3,16.03,4916500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-30,16.2,16.2,15.68,15.84,1108500,psxdata,2026-05-11T12:55:42
GGGL,2016-08-31,15.75,16.28,15.75,15.99,1097000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-01,16.05,16.24,15.91,16.01,721000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-02,16.1,16.9,16.01,16.58,2697500,psxdata,2026-05-11T12:55:42
GGGL,2016-09-05,16.8,17.0,16.4,16.49,779000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-06,16.36,16.64,16.25,16.37,323500,psxdata,2026-05-11T12:55:42
GGGL,2016-09-07,16.48,17.15,16.0,16.95,2645000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-08,17.19,17.19,16.6,16.64,1933500,psxdata,2026-05-11T12:55:42
GGGL,2016-09-09,16.89,17.1,16.51,16.69,1341000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-15,16.6,16.95,16.55,16.8,424000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-16,16.62,17.8,16.62,17.8,2664000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-19,18.45,18.8,17.66,18.58,2934000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-20,18.7,18.79,17.58,18.03,1756000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-21,17.41,17.7,17.03,17.03,4162000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-22,17.0,17.9,17.0,17.29,2763500,psxdata,2026-05-11T12:55:42
GGGL,2016-09-23,17.15,17.8,16.85,17.03,3710500,psxdata,2026-05-11T12:55:42
GGGL,2016-09-26,17.15,18.03,17.1,18.03,3082000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-27,18.49,18.85,18.08,18.49,3150500,psxdata,2026-05-11T12:55:42
GGGL,2016-09-28,18.5,19.49,18.45,19.48,4324000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-29,20.0,20.3,18.98,19.86,10410000,psxdata,2026-05-11T12:55:42
GGGL,2016-09-30,20.24,20.86,19.7,20.7,6829000,psxdata,2026-05-11T12:55:42
GGGL,2016-10-03,21.25,21.25,20.1,20.17,4791500,psxdata,2026-05-11T12:55:42
GGGL,2016-10-04,20.4,21.17,19.66,21.03,5082000,psxdata,2026-05-11T12:55:42
GGGL,2016-10-05,21.25,22.08,21.15,21.54,5522000,psxdata,2026-05-11T12:55:42
GGGL,2016-10-06,21.95,21.95,21.02,21.15,2124000,psxdata,2026-05-11T12:55:42
GGGL,2016-10-07,21.15,21.15,20.47,20.51,1025000,psxdata,2026-05-11T12:55:42
GGGL,2016-10-10,20.78,21.5,19.8,21.46,4767000,psxdata,2026-05-11T12:55:42
GGGL,2016-10-13,21.69,22.5,21.69,22.0,3401000,psxdata,2026-05-11T12:55:42
GGGL,2016-10-14,22.1,22.3,21.76,21.84,1495500,psxdata,2026-05-11T12:55:42
GGGL,2016-10-17,22.2,22.2,21.4,21.48,1404500,psxdata,2026-05-11T12:55:42
GGGL,2016-10-18,21.49,22.0,21.25,21.79,2189500,psxdata,2026-05-11T12:55:42
GGGL,2016-10-19,21.75,22.64,21.75,22.47,3470500,psxdata,2026-05-11T12:55:42
GGGL,2016-10-20,22.69,23.1,22.5,22.75,3507500,psxdata,2026-05-11T12:55:42
