symbol,date,open,high,low,close,volume,source,collected_at
GGL,2016-05-11,20.6,20.82,20.45,20.52,374000,psxdata,2026-05-11T12:54:10
GGL,2016-05-12,20.65,21.45,20.56,21.03,2217500,psxdata,2026-05-11T12:54:10
GGL,2016-05-13,21.0,21.4,20.85,21.12,967000,psxdata,2026-05-11T12:54:10
GGL,2016-05-16,21.2,22.17,21.16,21.86,2922500,psxdata,2026-05-11T12:54:10
GGL,2016-05-17,21.9,22.1,21.45,21.51,671500,psxdata,2026-05-11T12:54:10
GGL,2016-05-18,21.46,21.55,21.25,21.42,392500,psxdata,2026-05-11T12:54:10
GGL,2016-05-19,21.55,21.8,21.3,21.47,825500,psxdata,2026-05-11T12:54:10
GGL,2016-05-20,21.75,22.3,21.45,21.65,3073500,psxdata,2026-05-11T12:54:10
GGL,2016-05-23,21.7,22.05,21.7,21.72,633000,psxdata,2026-05-11T12:54:10
GGL,2016-05-24,21.85,21.89,21.51,21.56,407000,psxdata,2026-05-11T12:54:10
GGL,2016-05-25,21.75,21.98,21.56,21.62,699000,psxdata,2026-05-11T12:54:10
GGL,2016-05-26,21.65,21.9,21.51,21.6,346500,psxdata,2026-05-11T12:54:10
GGL,2016-05-27,21.6,21.85,21.55,21.6,641000,psxdata,2026-05-11T12:54:10
GGL,2016-05-30,21.46,21.6,21.1,21.19,265500,psxdata,2026-05-11T12:54:10
GGL,2016-05-31,21.3,21.35,20.5,20.88,344500,psxdata,2026-05-11T12:54:10
GGL,2016-06-01,21.0,21.13,20.9,21.07,68000,psxdata,2026-05-11T12:54:10
GGL,2016-06-02,21.23,21.35,21.1,21.22,98000,psxdata,2026-05-11T12:54:10
GGL,2016-06-03,21.44,21.6,21.16,21.2,299000,psxdata,2026-05-11T12:54:10
GGL,2016-06-06,21.3,21.49,20.82,20.91,298500,psxdata,2026-05-11T12:54:10
GGL,2016-06-07,20.8,20.9,20.7,20.76,123000,psxdata,2026-05-11T12:54:10
GGL,2016-06-08,20.72,21.05,20.72,20.76,153500,psxdata,2026-05-11T12:54:10
GGL,2016-06-09,20.71,20.72,20.3,20.32,209000,psxdata,2026-05-11T12:54:10
GGL,2016-06-10,20.26,20.5,20.01,20.25,237000,psxdata,2026-05-11T12:54:10
GGL,2016-06-13,20.15,20.5,20.1,20.46,133000,psxdata,2026-05-11T12:54:10
GGL,2016-06-14,20.51,20.57,20.4,20.44,32000,psxdata,2026-05-11T12:54:10
GGL,2016-06-15,20.5,20.64,20.4,20.6,197500,psxdata,2026-05-11T12:54:10
GGL,2016-06-16,20.75,20.75,20.5,20.56,290500,psxdata,2026-05-11T12:54:10
GGL,2016-06-17,20.27,20.56,20.27,20.51,69000,psxdata,2026-05-11T12:54:10
GGL,2016-06-20,20.45,20.5,20.16,20.26,225500,psxdata,2026-05-11T12:54:10
GGL,2016-06-21,20.21,20.34,20.0,20.15,249000,psxdata,2026-05-11T12:54:10
GGL,2016-06-22,20.2,20.35,19.82,19.98,148000,psxdata,2026-05-11T12:54:10
GGL,2016-06-23,20.35,20.35,19.8,19.83,124000,psxdata,2026-05-11T12:54:10
