symbol,date,open,high,low,close,volume,source,collected_at
HASCOL,2016-05-11,149.3,149.99,147.3,148.26,746600,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-12,149.5,149.7,147.5,148.18,509600,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-13,147.58,147.58,145.5,145.92,259000,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-16,146.5,150.9,145.5,148.79,1536400,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-17,149.24,149.99,146.06,146.92,568300,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-18,147.05,148.2,146.95,147.94,126700,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-19,147.14,149.5,147.14,149.09,499800,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-20,151.49,154.97,149.1,153.09,2057800,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-23,153.75,154.99,151.51,154.28,648600,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-24,154.99,156.9,154.9,156.33,796900,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-25,157.75,158.1,155.0,155.82,475000,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-26,155.65,158.5,155.0,157.31,1077400,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-27,158.51,165.17,158.51,165.17,1650700,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-30,173.42,173.42,171.0,173.42,2912000,psxdata,2026-05-11T12:50:50
HASCOL,2016-05-31,180.0,181.17,173.2,175.57,3771800,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-01,177.0,184.34,174.03,183.92,2451900,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-02,185.11,192.0,182.8,188.59,1793400,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-03,190.9,198.01,189.25,196.82,3720200,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-06,197.5,206.66,195.0,206.33,1707900,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-07,208.4,210.99,196.06,197.2,1496000,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-08,199.89,203.0,194.32,197.3,752600,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-09,198.7,199.79,195.2,196.53,253100,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-10,194.51,196.53,192.5,193.25,270300,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-13,191.1,192.5,186.0,187.7,819200,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-14,188.8,193.0,183.51,185.64,782500,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-15,188.5,193.4,184.3,189.55,1299200,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-16,188.3,192.45,187.51,189.76,452800,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-17,189.1,189.25,187.0,187.86,163000,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-20,188.0,191.48,188.0,189.08,254000,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-21,191.0,195.6,191.0,191.54,783800,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-22,193.0,193.0,187.0,188.83,374300,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-23,188.5,191.0,187.25,190.15,224400,psxdata,2026-05-11T12:50:50
HASCOL,2016-06-24,188.98,188.98,182.0,187.26,506200,psxdata,2026-05-11T12:50:50
