symbol,date,open,high,low,close,volume,source,collected_at
HBL,2016-05-11,198.0,198.93,197.25,197.54,1712000,psxdata,2026-05-11T12:55:31
HBL,2016-05-12,195.5,196.49,187.5,188.34,1397200,psxdata,2026-05-11T12:55:31
HBL,2016-05-13,189.05,190.5,186.1,187.98,745500,psxdata,2026-05-11T12:55:31
HBL,2016-05-16,187.51,187.8,185.0,185.34,850700,psxdata,2026-05-11T12:55:31
HBL,2016-05-17,185.02,188.01,185.0,185.55,2299400,psxdata,2026-05-11T12:55:31
HBL,2016-05-18,185.1,187.1,185.01,186.27,539700,psxdata,2026-05-11T12:55:31
HBL,2016-05-19,185.81,190.0,185.01,187.39,1486900,psxdata,2026-05-11T12:55:31
HBL,2016-05-20,188.0,188.0,186.0,186.41,405700,psxdata,2026-05-11T12:55:31
HBL,2016-05-23,182.16,184.0,177.87,181.19,1909200,psxdata,2026-05-11T12:55:31
HBL,2016-05-24,181.0,182.49,179.7,179.81,1541000,psxdata,2026-05-11T12:55:31
HBL,2016-05-25,180.45,182.06,179.9,180.35,570000,psxdata,2026-05-11T12:55:31
HBL,2016-05-26,180.5,181.0,179.0,179.45,323500,psxdata,2026-05-11T12:55:31
HBL,2016-05-27,178.19,182.0,178.19,180.06,742000,psxdata,2026-05-11T12:55:31
HBL,2016-05-30,180.0,180.5,174.0,175.01,2179300,psxdata,2026-05-11T12:55:31
HBL,2016-05-31,175.01,177.5,175.0,175.77,2330500,psxdata,2026-05-11T12:55:31
HBL,2016-06-01,175.89,178.0,175.89,176.88,784900,psxdata,2026-05-11T12:55:31
HBL,2016-06-02,177.5,179.0,176.2,177.46,1104100,psxdata,2026-05-11T12:55:31
HBL,2016-06-03,177.5,180.5,176.89,178.95,5019300,psxdata,2026-05-11T12:55:31
HBL,2016-06-06,179.5,180.0,177.75,178.44,953600,psxdata,2026-05-11T12:55:31
HBL,2016-06-07,178.06,179.0,177.7,177.94,263000,psxdata,2026-05-11T12:55:31
HBL,2016-06-08,179.0,179.5,176.1,176.7,778300,psxdata,2026-05-11T12:55:31
HBL,2016-06-09,177.06,177.99,170.01,176.12,1510400,psxdata,2026-05-11T12:55:31
HBL,2016-06-10,176.48,176.5,173.21,174.16,473800,psxdata,2026-05-11T12:55:31
HBL,2016-06-13,174.16,177.0,172.5,176.17,2418000,psxdata,2026-05-11T12:55:31
HBL,2016-06-14,178.0,184.97,178.0,184.25,3331200,psxdata,2026-05-11T12:55:31
HBL,2016-06-15,193.46,193.46,189.0,191.36,4391300,psxdata,2026-05-11T12:55:31
HBL,2016-06-16,192.0,200.92,189.0,200.92,4245600,psxdata,2026-05-11T12:55:31
HBL,2016-06-17,203.0,210.96,201.05,210.49,7092000,psxdata,2026-05-11T12:55:31
HBL,2016-06-20,209.5,213.5,202.0,203.57,3014700,psxdata,2026-05-11T12:55:31
HBL,2016-06-21,203.0,204.4,200.0,202.71,749600,psxdata,2026-05-11T12:55:31
HBL,2016-06-22,203.25,208.0,200.1,200.78,1685400,psxdata,2026-05-11T12:55:31
HBL,2016-06-23,201.2,204.69,200.12,203.54,821400,psxdata,2026-05-11T12:55:31
HBL,2016-06-24,200.0,200.75,193.37,199.06,2860700,psxdata,2026-05-11T12:55:31
HBL,2016-06-27,200.0,202.45,192.12,193.28,726400,psxdata,2026-05-11T12:55:31
HBL,2016-06-28,193.0,196.0,191.05,192.94,882600,psxdata,2026-05-11T12:55:31
HBL,2016-06-29,195.0,199.29,194.99,196.33,794100,psxdata,2026-05-11T12:55:31
HBL,2016-06-30,197.8,200.97,196.12,197.56,1027400,psxdata,2026-05-11T12:55:31
HBL,2016-07-04,199.0,199.0,195.0,196.38,678200,psxdata,2026-05-11T12:55:31
HBL,2016-07-11,194.5,198.95,194.0,198.33,1440600,psxdata,2026-05-11T12:55:31
HBL,2016-07-12,198.5,203.5,198.49,202.7,2276900,psxdata,2026-05-11T12:55:31
HBL,2016-07-13,203.25,206.0,203.25,204.14,1866600,psxdata,2026-05-11T12:55:31
HBL,2016-07-14,204.0,210.0,204.0,209.86,1738800,psxdata,2026-05-11T12:55:31
HBL,2016-07-15,210.1,215.0,209.11,212.18,2820800,psxdata,2026-05-11T12:55:31
HBL,2016-07-18,212.21,213.89,208.4,211.74,1801500,psxdata,2026-05-11T12:55:31
HBL,2016-07-19,211.0,212.4,210.3,211.93,549900,psxdata,2026-05-11T12:55:31
HBL,2016-07-20,211.25,212.01,209.05,210.39,515400,psxdata,2026-05-11T12:55:31
HBL,2016-07-21,210.97,212.0,210.0,210.71,619300,psxdata,2026-05-11T12:55:31
HBL,2016-07-22,210.01,212.0,207.0,208.21,677800,psxdata,2026-05-11T12:55:31
