symbol,date,open,high,low,close,volume,source,collected_at
HUBC,2016-05-11,113.89,115.9,113.0,114.73,909300,psxdata,2026-05-11T12:52:25
HUBC,2016-05-12,114.9,114.9,113.05,113.42,174200,psxdata,2026-05-11T12:52:25
HUBC,2016-05-13,113.0,115.5,112.0,114.21,795800,psxdata,2026-05-11T12:52:25
HUBC,2016-05-16,114.0,114.5,113.02,113.47,119500,psxdata,2026-05-11T12:52:25
HUBC,2016-05-17,113.51,113.95,110.75,111.04,579400,psxdata,2026-05-11T12:52:25
HUBC,2016-05-18,111.5,112.47,111.36,111.68,447700,psxdata,2026-05-11T12:52:25
HUBC,2016-05-19,112.0,114.99,111.52,114.2,1673200,psxdata,2026-05-11T12:52:25
HUBC,2016-05-20,114.2,115.85,114.05,114.9,673700,psxdata,2026-05-11T12:52:25
HUBC,2016-05-23,115.99,119.5,115.5,118.23,1733000,psxdata,2026-05-11T12:52:25
HUBC,2016-05-24,118.0,118.0,115.2,115.32,3708300,psxdata,2026-05-11T12:52:25
HUBC,2016-05-25,115.41,117.4,115.41,117.15,1267400,psxdata,2026-05-11T12:52:25
HUBC,2016-05-26,116.5,117.51,115.56,115.73,767200,psxdata,2026-05-11T12:52:25
HUBC,2016-05-27,116.33,117.0,116.01,116.44,447000,psxdata,2026-05-11T12:52:25
HUBC,2016-05-30,116.1,117.0,114.5,114.93,527000,psxdata,2026-05-11T12:52:25
HUBC,2016-05-31,115.1,115.74,114.25,115.06,966000,psxdata,2026-05-11T12:52:25
HUBC,2016-06-01,115.25,116.25,114.82,115.97,1299000,psxdata,2026-05-11T12:52:25
HUBC,2016-06-02,116.0,117.88,116.0,117.53,934500,psxdata,2026-05-11T12:52:25
HUBC,2016-06-03,115.5,119.73,114.25,118.44,1705000,psxdata,2026-05-11T12:52:25
HUBC,2016-06-06,117.05,118.5,117.03,117.75,318700,psxdata,2026-05-11T12:52:25
HUBC,2016-06-07,116.9,118.3,116.9,117.15,348700,psxdata,2026-05-11T12:52:25
HUBC,2016-06-08,117.0,117.02,116.6,116.86,775100,psxdata,2026-05-11T12:52:25
HUBC,2016-06-09,116.99,117.0,116.52,116.68,553700,psxdata,2026-05-11T12:52:25
HUBC,2016-06-10,118.05,118.05,113.11,113.7,1188200,psxdata,2026-05-11T12:52:25
HUBC,2016-06-13,113.4,114.9,111.5,114.13,1333500,psxdata,2026-05-11T12:52:25
HUBC,2016-06-14,114.95,118.0,114.95,117.04,1632800,psxdata,2026-05-11T12:52:25
HUBC,2016-06-15,122.89,122.89,121.11,122.88,2303600,psxdata,2026-05-11T12:52:25
HUBC,2016-06-16,122.95,123.5,118.5,119.65,1056400,psxdata,2026-05-11T12:52:25
HUBC,2016-06-17,119.0,119.01,117.61,118.42,865100,psxdata,2026-05-11T12:52:25
HUBC,2016-06-20,119.0,120.0,118.51,119.97,661800,psxdata,2026-05-11T12:52:25
HUBC,2016-06-21,120.4,121.0,118.7,119.84,288400,psxdata,2026-05-11T12:52:25
HUBC,2016-06-22,120.0,120.2,118.0,118.09,404400,psxdata,2026-05-11T12:52:25
HUBC,2016-06-23,117.26,119.15,117.26,118.96,253000,psxdata,2026-05-11T12:52:25
HUBC,2016-06-24,117.71,117.71,115.98,116.99,1315900,psxdata,2026-05-11T12:52:25
HUBC,2016-06-27,117.99,118.49,116.99,117.16,644200,psxdata,2026-05-11T12:52:25
HUBC,2016-06-28,117.49,119.38,117.0,118.1,8886700,psxdata,2026-05-11T12:52:25
HUBC,2016-06-29,119.0,120.9,119.0,119.87,1667400,psxdata,2026-05-11T12:52:25
