symbol,date,open,high,low,close,volume,source,collected_at
HUMNL,2016-05-11,10.89,11.49,10.79,11.05,2351000,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-12,11.1,11.18,10.92,10.97,259500,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-13,11.01,11.15,10.95,11.01,165000,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-16,11.0,11.1,11.0,11.01,494000,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-17,11.05,11.31,10.9,10.95,711000,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-18,10.97,11.25,10.95,11.01,372000,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-19,11.03,11.15,11.0,11.08,245500,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-20,11.05,11.28,11.05,11.12,182000,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-23,11.0,11.08,10.98,11.0,202500,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-24,10.96,11.0,10.92,10.95,195500,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-25,10.9,10.95,10.8,10.84,283500,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-26,10.8,10.9,10.6,10.66,312500,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-27,10.88,10.88,10.5,10.51,347500,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-30,10.51,10.65,10.27,10.42,409000,psxdata,2026-05-11T12:52:10
HUMNL,2016-05-31,10.59,10.65,10.27,10.33,311500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-01,10.45,10.45,10.3,10.35,585500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-02,10.32,11.09,10.1,10.84,14059000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-03,10.89,11.08,10.65,10.69,514500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-06,10.62,10.89,10.56,10.82,436000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-07,10.99,10.99,10.65,10.66,272000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-08,10.85,10.87,10.65,10.72,216500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-09,10.56,10.7,10.5,10.62,373000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-10,10.62,10.85,10.46,10.69,522500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-13,10.99,11.2,10.8,10.95,1150000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-14,11.02,11.2,10.85,10.94,413500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-15,11.0,11.4,11.0,11.17,6287500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-16,11.24,11.24,10.95,10.97,607000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-17,11.0,11.0,10.87,10.9,156500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-20,11.07,11.09,10.9,11.06,423500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-21,11.1,11.1,10.83,10.94,116500,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-22,11.0,11.0,10.61,10.7,326000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-23,10.79,10.9,10.79,10.81,416000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-24,10.51,10.6,10.3,10.54,354000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-27,10.25,10.5,10.0,10.02,5428000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-28,10.15,10.3,10.1,10.22,758000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-29,10.25,10.31,10.15,10.24,229000,psxdata,2026-05-11T12:52:10
HUMNL,2016-06-30,10.25,10.4,10.17,10.28,294000,psxdata,2026-05-11T12:52:10
