symbol,date,open,high,low,close,volume,source,collected_at
IMAGE,2021-04-06,15.85,15.87,14.73,15.75,532000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-07,15.6,15.97,15.0,15.16,517500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-08,15.11,16.29,14.9,16.29,2414000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-09,16.65,17.51,16.4,16.77,2521000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-12,16.5,18.02,16.4,17.97,2171000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-13,18.19,18.9,17.41,17.84,2487000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-14,17.83,18.35,17.34,17.69,707000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-15,18.09,18.6,17.7,17.96,757000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-16,17.96,18.27,17.3,17.59,398000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-19,17.19,17.45,16.7,16.89,677500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-20,17.19,17.64,17.18,17.3,359500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-21,17.45,17.9,16.54,16.79,903000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-22,16.65,17.4,16.26,16.37,664500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-23,16.37,16.9,16.1,16.5,259500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-26,16.11,16.26,15.6,15.76,805500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-27,16.15,16.94,15.5,16.94,978500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-28,17.96,17.96,16.71,16.89,1318000,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-29,16.55,16.65,16.2,16.29,357500,psxdata,2026-05-11T12:54:55
IMAGE,2021-04-30,16.0,16.29,15.5,15.75,632000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-03,15.42,15.88,14.8,15.12,514500,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-04,15.8,16.25,15.12,16.16,579500,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-05,16.11,16.75,16.11,16.29,384000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-06,16.29,17.28,16.0,16.87,661000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-17,17.0,17.9,17.0,17.71,865500,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-18,17.85,18.49,17.35,18.0,1029500,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-19,17.31,18.0,17.31,17.5,713500,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-20,17.31,18.81,17.3,18.81,1698000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-21,19.74,19.8,18.6,18.93,2311000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-24,19.38,20.34,18.7,19.81,1531000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-25,20.0,20.92,19.72,20.69,2594000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-26,20.85,20.9,19.85,20.38,1373000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-27,20.5,21.84,20.1,20.38,2250000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-28,20.5,21.54,20.05,21.28,770000,psxdata,2026-05-11T12:54:55
IMAGE,2021-05-31,21.5,22.87,21.5,22.84,2955500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-01,23.3,24.55,23.3,23.94,2731000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-02,24.1,24.7,23.75,23.92,1078500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-03,24.44,24.44,22.16,22.56,2113000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-04,22.95,23.3,22.5,22.7,452000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-07,23.0,23.99,22.55,23.0,2010000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-08,23.2,24.5,23.0,24.3,3010500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-09,24.55,25.2,23.25,23.97,1519500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-10,24.12,25.76,24.06,25.76,2057500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-11,27.69,27.69,26.85,27.69,1504500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-14,29.76,29.76,27.4,27.84,5399500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-15,28.0,28.0,26.5,26.69,1351500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-16,26.65,27.47,25.47,25.66,1494000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-17,25.42,26.9,24.86,25.02,1713500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-18,25.39,26.39,25.01,25.32,1383000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-21,25.7,25.79,25.0,25.06,457000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-22,25.44,25.44,24.1,24.47,929500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-23,24.84,25.24,24.41,24.54,504500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-24,25.3,26.38,24.54,26.38,1242000,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-25,27.1,28.35,27.0,28.13,5958500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-28,28.3,28.3,26.5,26.59,840500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-29,26.9,27.45,26.6,26.63,383500,psxdata,2026-05-11T12:54:55
IMAGE,2021-06-30,26.98,27.2,26.49,26.75,429000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-01,27.3,28.5,27.0,27.69,1205000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-02,27.75,28.45,27.2,27.32,657000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-05,27.5,28.0,26.55,27.19,604500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-06,27.25,28.75,26.5,26.9,1566500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-07,26.56,26.98,26.0,26.17,507000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-08,26.6,27.0,26.0,26.43,444000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-09,26.44,26.49,25.75,25.85,533500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-12,26.05,26.95,25.3,26.53,1318500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-13,27.02,28.51,27.0,28.51,1744500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-14,30.64,30.64,30.64,30.64,1302500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-15,31.98,31.98,29.76,30.47,4359500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-16,30.47,30.9,29.73,30.0,665500,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-19,30.2,32.25,30.05,32.25,2866000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-23,34.4,34.66,33.11,34.66,745000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-26,37.25,37.25,37.25,37.25,232000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-27,39.69,39.69,35.9,36.14,4831000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-28,36.14,36.5,33.6,34.2,1924000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-29,27.91,27.91,25.97,27.91,526000,psxdata,2026-05-11T12:54:55
IMAGE,2021-07-30,30.0,30.0,25.82,26.26,6037500,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-02,26.49,26.9,25.5,25.9,1132500,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-03,26.02,27.1,25.13,26.9,1243000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-04,26.51,27.03,26.01,26.19,709500,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-05,26.7,26.7,25.9,25.97,1007000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-06,26.03,26.8,25.6,25.72,1489500,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-09,25.98,26.0,24.6,25.12,532000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-10,25.48,26.25,24.3,25.06,779000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-11,25.21,25.87,25.2,25.41,415000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-12,25.63,25.64,23.75,24.94,666500,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-13,25.0,25.0,24.25,24.61,265000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-16,25.0,25.6,23.7,23.97,686000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-17,24.28,24.28,23.77,23.86,370000,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-20,23.92,24.0,23.2,23.3,770500,psxdata,2026-05-11T12:54:55
IMAGE,2021-08-23,23.25,25.04,23.0,25.04,1146500,psxdata,2026-05-11T12:54:55
