symbol,date,open,high,low,close,volume,source,collected_at
ITTEFAQ,2017-07-03,28.81,30.2,28.69,28.76,6829500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-04,29.29,30.14,28.36,29.86,2439500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-05,29.28,31.28,28.85,30.41,7685000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-06,30.0,31.93,30.0,31.78,4489000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-07,32.99,33.36,32.98,33.36,348000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-10,35.02,35.02,34.0,35.02,3135000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-11,33.27,34.0,33.27,33.27,1844500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-12,32.5,32.9,31.61,32.03,3604000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-13,32.39,32.79,30.43,30.43,1772500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-14,30.4,31.6,28.91,30.64,2082500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-17,30.01,32.17,29.6,32.02,1741500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-18,32.36,33.62,32.36,33.61,1752000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-19,34.28,34.75,32.8,34.47,2493000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-20,34.79,35.5,32.75,32.75,2221500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-21,31.75,34.1,31.3,33.89,1144000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-24,34.0,34.4,33.13,33.39,947500,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-25,33.48,34.25,33.02,33.76,1000000,psxdata,2026-05-11T12:56:32
ITTEFAQ,2017-07-26,34.05,34.31,33.26,33.57,971500,psxdata,2026-05-11T12:56:32
