symbol,date,open,high,low,close,volume,source,collected_at
KEL,2016-05-11,7.3,7.46,7.2,7.43,28960500,psxdata,2026-05-11T12:50:23
KEL,2016-05-12,7.39,7.47,7.28,7.32,13462500,psxdata,2026-05-11T12:50:23
KEL,2016-05-13,7.3,7.38,7.2,7.24,10902000,psxdata,2026-05-11T12:50:23
KEL,2016-05-16,7.24,7.25,7.19,7.2,5789500,psxdata,2026-05-11T12:50:23
KEL,2016-05-17,7.2,7.23,7.09,7.1,10257500,psxdata,2026-05-11T12:50:23
KEL,2016-05-18,7.1,7.27,7.1,7.25,12828500,psxdata,2026-05-11T12:50:23
KEL,2016-05-19,7.24,7.96,7.22,7.89,93020000,psxdata,2026-05-11T12:50:23
KEL,2016-05-20,7.89,7.94,7.66,7.7,38395000,psxdata,2026-05-11T12:50:23
KEL,2016-05-23,7.75,8.15,7.53,7.93,49927500,psxdata,2026-05-11T12:50:23
KEL,2016-05-24,8.2,8.39,7.93,8.17,65336000,psxdata,2026-05-11T12:50:23
KEL,2016-05-25,8.16,8.35,7.99,8.03,50122500,psxdata,2026-05-11T12:50:23
KEL,2016-05-26,8.05,8.08,7.84,7.94,27856500,psxdata,2026-05-11T12:50:23
KEL,2016-05-27,7.85,7.93,7.72,7.77,17815500,psxdata,2026-05-11T12:50:23
KEL,2016-05-30,7.78,7.78,7.55,7.6,22718500,psxdata,2026-05-11T12:50:23
KEL,2016-05-31,7.59,7.77,7.51,7.55,18964500,psxdata,2026-05-11T12:50:23
KEL,2016-06-01,7.55,8.11,7.52,7.97,50652000,psxdata,2026-05-11T12:50:23
KEL,2016-06-02,8.07,8.34,8.01,8.09,62154000,psxdata,2026-05-11T12:50:23
KEL,2016-06-03,8.14,8.25,7.94,7.99,35114000,psxdata,2026-05-11T12:50:23
KEL,2016-06-06,7.99,8.3,7.9,8.17,55782000,psxdata,2026-05-11T12:50:23
KEL,2016-06-07,8.25,8.48,8.17,8.2,44126000,psxdata,2026-05-11T12:50:23
KEL,2016-06-08,8.2,8.24,8.04,8.06,22283500,psxdata,2026-05-11T12:50:23
KEL,2016-06-09,8.07,8.24,7.96,8.0,24190000,psxdata,2026-05-11T12:50:23
KEL,2016-06-10,8.01,8.06,7.94,7.97,13893500,psxdata,2026-05-11T12:50:23
KEL,2016-06-13,8.0,8.2,7.88,8.01,35961500,psxdata,2026-05-11T12:50:23
KEL,2016-06-14,8.02,8.17,8.0,8.12,27395000,psxdata,2026-05-11T12:50:23
KEL,2016-06-15,8.35,8.35,8.19,8.23,44619500,psxdata,2026-05-11T12:50:23
KEL,2016-06-16,8.23,8.23,8.02,8.05,22134500,psxdata,2026-05-11T12:50:23
KEL,2016-06-17,8.05,8.15,8.0,8.06,17689000,psxdata,2026-05-11T12:50:23
KEL,2016-06-20,8.1,8.13,8.0,8.03,14301000,psxdata,2026-05-11T12:50:23
KEL,2016-06-21,8.04,8.1,7.93,7.96,16189000,psxdata,2026-05-11T12:50:23
KEL,2016-06-22,7.95,8.04,7.86,7.91,16032500,psxdata,2026-05-11T12:50:23
KEL,2016-06-23,7.96,8.03,7.84,7.9,12752000,psxdata,2026-05-11T12:50:23
KEL,2016-06-24,7.89,7.89,7.55,7.76,24134500,psxdata,2026-05-11T12:50:23
KEL,2016-06-27,7.95,8.19,7.95,8.0,55178500,psxdata,2026-05-11T12:50:23
KEL,2016-06-28,8.05,8.08,7.82,7.85,12458000,psxdata,2026-05-11T12:50:23
KEL,2016-06-29,7.9,8.17,7.89,8.09,17940000,psxdata,2026-05-11T12:50:23
KEL,2016-06-30,8.16,8.25,7.98,8.06,22069000,psxdata,2026-05-11T12:50:23
KEL,2016-07-04,8.07,8.24,8.0,8.07,29252000,psxdata,2026-05-11T12:50:23
KEL,2016-07-11,8.05,8.17,8.02,8.09,11121000,psxdata,2026-05-11T12:50:23
KEL,2016-07-12,8.1,8.32,8.1,8.28,39204500,psxdata,2026-05-11T12:50:23
KEL,2016-07-13,8.34,8.38,8.23,8.25,16258000,psxdata,2026-05-11T12:50:23
KEL,2016-07-14,8.26,8.4,8.25,8.32,10672000,psxdata,2026-05-11T12:50:23
KEL,2016-07-15,8.34,8.37,8.21,8.22,7283000,psxdata,2026-05-11T12:50:23
KEL,2016-07-18,8.24,8.35,8.22,8.24,5159000,psxdata,2026-05-11T12:50:23
KEL,2016-07-19,8.26,8.34,8.15,8.16,5613000,psxdata,2026-05-11T12:50:23
KEL,2016-07-20,8.17,8.32,8.05,8.26,14192500,psxdata,2026-05-11T12:50:23
KEL,2016-07-21,8.3,8.33,8.16,8.25,7851000,psxdata,2026-05-11T12:50:23
KEL,2016-07-22,8.25,8.32,8.18,8.21,10391000,psxdata,2026-05-11T12:50:23
KEL,2016-07-25,8.25,8.29,8.15,8.24,2740500,psxdata,2026-05-11T12:50:23
KEL,2016-07-26,8.21,8.27,8.16,8.17,2154000,psxdata,2026-05-11T12:50:23
KEL,2016-07-27,8.23,8.27,8.09,8.11,5976000,psxdata,2026-05-11T12:50:23
KEL,2016-07-28,8.11,8.24,8.09,8.11,6286500,psxdata,2026-05-11T12:50:23
KEL,2016-07-29,8.13,8.29,8.0,8.23,19400500,psxdata,2026-05-11T12:50:23
KEL,2016-08-01,8.24,8.33,8.12,8.14,14244000,psxdata,2026-05-11T12:50:23
KEL,2016-08-02,8.17,8.24,8.1,8.16,9486500,psxdata,2026-05-11T12:50:23
KEL,2016-08-03,8.2,8.25,8.12,8.15,13281000,psxdata,2026-05-11T12:50:23
KEL,2016-08-04,8.22,8.25,8.18,8.2,5631000,psxdata,2026-05-11T12:50:23
KEL,2016-08-05,8.2,8.73,8.13,8.65,88433000,psxdata,2026-05-11T12:50:23
KEL,2016-08-08,8.75,8.77,8.54,8.67,25716000,psxdata,2026-05-11T12:50:23
KEL,2016-08-09,8.73,8.83,8.65,8.68,33096500,psxdata,2026-05-11T12:50:23
KEL,2016-08-10,8.66,8.7,8.6,8.62,13830500,psxdata,2026-05-11T12:50:23
KEL,2016-08-11,9.0,9.05,8.75,8.81,110103500,psxdata,2026-05-11T12:50:23
KEL,2016-08-12,8.6,8.84,8.6,8.71,56246500,psxdata,2026-05-11T12:50:23
KEL,2016-08-15,8.82,8.85,8.61,8.62,17668000,psxdata,2026-05-11T12:50:23
KEL,2016-08-16,8.62,8.62,8.55,8.56,17136500,psxdata,2026-05-11T12:50:23
KEL,2016-08-17,8.57,8.65,8.53,8.62,17438000,psxdata,2026-05-11T12:50:23
KEL,2016-08-18,8.6,8.75,8.6,8.67,20176000,psxdata,2026-05-11T12:50:23
KEL,2016-08-19,8.75,8.94,8.68,8.72,53246000,psxdata,2026-05-11T12:50:23
KEL,2016-08-22,8.82,8.83,8.68,8.7,25608000,psxdata,2026-05-11T12:50:23
KEL,2016-08-23,8.71,8.76,8.62,8.64,13307500,psxdata,2026-05-11T12:50:23
