symbol,date,open,high,low,close,volume,source,collected_at
KOSM,2016-05-11,5.6,5.75,5.4,5.55,428000,psxdata,2026-05-11T12:51:12
KOSM,2016-05-12,5.6,5.96,5.5,5.6,299000,psxdata,2026-05-11T12:51:12
KOSM,2016-05-13,5.6,5.85,5.5,5.56,62000,psxdata,2026-05-11T12:51:12
KOSM,2016-05-16,5.73,6.0,5.68,5.93,139500,psxdata,2026-05-11T12:51:12
KOSM,2016-05-17,5.95,6.0,5.7,5.76,95500,psxdata,2026-05-11T12:51:12
KOSM,2016-05-18,5.65,5.9,5.65,5.7,111000,psxdata,2026-05-11T12:51:12
KOSM,2016-05-19,5.6,5.68,5.5,5.6,183500,psxdata,2026-05-11T12:51:12
KOSM,2016-05-20,5.59,5.67,5.45,5.5,511500,psxdata,2026-05-11T12:51:12
KOSM,2016-05-23,5.5,5.6,5.45,5.46,97000,psxdata,2026-05-11T12:51:12
KOSM,2016-05-24,5.38,5.64,5.25,5.36,52500,psxdata,2026-05-11T12:51:12
KOSM,2016-05-25,5.55,5.74,5.4,5.57,647500,psxdata,2026-05-11T12:51:12
KOSM,2016-05-26,5.7,5.7,5.5,5.57,289000,psxdata,2026-05-11T12:51:12
KOSM,2016-05-27,5.64,5.9,5.6,5.6,964000,psxdata,2026-05-11T12:51:12
KOSM,2016-05-30,5.65,6.6,5.65,6.28,15738500,psxdata,2026-05-11T12:51:12
KOSM,2016-05-31,6.43,7.1,6.42,6.79,2938000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-01,6.98,6.98,6.6,6.84,581000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-02,6.9,7.01,6.63,6.85,657500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-03,6.99,7.08,6.8,6.81,448000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-06,6.8,6.95,6.7,6.7,249500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-07,6.7,6.7,6.42,6.49,115500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-08,6.6,6.6,6.15,6.31,180500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-09,6.2,6.5,6.0,6.16,186500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-10,6.07,6.1,6.0,6.02,79500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-13,6.3,6.7,5.8,6.06,73000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-14,6.13,6.25,6.13,6.17,77500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-15,6.14,6.3,6.01,6.13,48500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-16,6.05,6.25,6.0,6.01,58000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-17,6.3,6.3,5.95,5.98,102500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-20,5.92,5.93,5.82,5.82,65000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-21,5.82,5.9,5.74,5.8,82000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-22,5.73,5.8,5.7,5.8,31000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-23,5.7,6.17,5.7,6.0,4000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-24,5.68,5.88,5.6,5.78,60000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-27,5.31,6.19,5.31,5.45,85000,psxdata,2026-05-11T12:51:12
KOSM,2016-06-28,5.8,5.8,5.26,5.33,38500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-29,5.31,5.74,5.31,5.47,133500,psxdata,2026-05-11T12:51:12
KOSM,2016-06-30,5.5,6.46,5.37,5.76,363000,psxdata,2026-05-11T12:51:12
KOSM,2016-07-04,5.52,5.9,5.52,5.72,124500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-11,5.94,5.94,5.63,5.79,71500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-12,5.72,5.8,5.65,5.76,52000,psxdata,2026-05-11T12:51:12
KOSM,2016-07-13,5.6,5.89,5.6,5.73,31000,psxdata,2026-05-11T12:51:12
KOSM,2016-07-14,5.52,5.9,5.52,5.85,67000,psxdata,2026-05-11T12:51:12
KOSM,2016-07-15,5.83,5.89,5.76,5.81,16500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-18,5.8,5.85,5.5,5.74,193000,psxdata,2026-05-11T12:51:12
KOSM,2016-07-19,5.65,5.7,5.6,5.68,37500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-20,5.56,5.64,5.5,5.56,45000,psxdata,2026-05-11T12:51:12
KOSM,2016-07-21,5.6,5.62,5.5,5.51,171500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-22,5.65,5.67,5.51,5.54,65500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-25,5.63,5.63,5.51,5.57,60500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-26,5.68,5.68,5.37,5.41,49500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-27,5.5,5.54,5.42,5.46,73000,psxdata,2026-05-11T12:51:12
KOSM,2016-07-28,5.6,5.6,5.3,5.37,148500,psxdata,2026-05-11T12:51:12
KOSM,2016-07-29,5.4,5.4,5.11,5.25,38500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-01,5.32,5.43,5.32,5.42,6500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-02,5.4,5.5,5.3,5.38,88000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-03,5.4,5.41,5.25,5.34,77500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-04,5.44,5.44,5.27,5.33,5500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-05,5.36,5.47,5.3,5.42,62500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-08,5.4,5.42,5.31,5.39,35000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-09,5.3,5.52,5.3,5.45,42000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-10,5.54,5.58,5.5,5.56,95500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-11,5.6,5.63,5.5,5.55,45500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-12,5.5,5.6,5.47,5.55,100000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-15,5.5,5.51,5.3,5.44,127000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-16,5.5,5.84,5.44,5.62,736500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-17,5.55,5.69,5.51,5.57,76500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-18,5.56,5.56,5.25,5.3,219000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-19,5.31,5.5,5.26,5.46,238000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-22,5.5,5.9,5.5,5.79,274000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-23,5.7,5.83,5.5,5.53,156000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-24,5.41,5.64,5.41,5.5,221500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-25,5.5,5.84,5.5,5.68,518500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-26,5.75,5.85,5.4,5.46,1264000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-29,5.51,5.75,5.3,5.35,818500,psxdata,2026-05-11T12:51:12
KOSM,2016-08-30,5.5,5.75,5.4,5.66,414000,psxdata,2026-05-11T12:51:12
KOSM,2016-08-31,5.83,6.3,5.63,6.09,2361000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-01,6.19,6.5,6.05,6.14,1514500,psxdata,2026-05-11T12:51:12
KOSM,2016-09-02,6.2,6.3,6.01,6.08,207000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-05,6.05,6.49,6.05,6.4,735000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-06,6.49,6.6,6.3,6.33,856000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-07,6.36,6.5,6.3,6.4,713500,psxdata,2026-05-11T12:51:12
KOSM,2016-09-08,6.36,6.8,6.32,6.62,1039000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-09,6.7,7.62,6.61,7.6,3108000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-15,7.3,7.6,7.1,7.2,953000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-16,7.29,7.6,7.15,7.21,738500,psxdata,2026-05-11T12:51:12
KOSM,2016-09-19,7.19,7.49,7.15,7.25,785500,psxdata,2026-05-11T12:51:12
KOSM,2016-09-20,7.31,7.31,6.76,7.25,891000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-21,7.31,7.31,6.4,6.5,793500,psxdata,2026-05-11T12:51:12
KOSM,2016-09-22,6.8,6.88,6.25,6.41,645000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-23,6.8,6.8,5.77,6.12,1744000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-26,6.15,7.0,6.1,6.84,634000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-27,6.85,6.95,6.4,6.6,496500,psxdata,2026-05-11T12:51:12
KOSM,2016-09-28,6.5,6.8,6.5,6.6,352000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-29,6.7,6.92,6.26,6.44,517000,psxdata,2026-05-11T12:51:12
KOSM,2016-09-30,6.59,6.78,6.34,6.67,253000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-03,6.75,6.95,6.7,6.8,241500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-04,6.8,6.8,6.6,6.68,51000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-05,6.75,6.79,6.5,6.54,294000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-06,6.61,6.72,6.45,6.54,288000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-07,6.6,6.84,6.55,6.77,200000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-10,6.89,7.77,6.89,7.74,2658500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-13,8.2,8.74,8.0,8.74,3792500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-14,9.09,9.09,8.3,8.57,3135000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-17,8.72,8.72,8.01,8.11,1064000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-18,8.0,8.03,7.21,7.65,633000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-19,7.7,7.95,7.65,7.84,459500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-20,7.99,8.11,7.73,7.79,342500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-21,7.65,8.25,7.56,7.73,660000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-24,7.65,7.73,7.3,7.36,371500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-25,7.35,7.35,6.81,6.96,543500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-26,7.01,7.15,6.6,6.7,111000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-27,6.56,6.7,5.95,6.02,447500,psxdata,2026-05-11T12:51:12
KOSM,2016-10-28,5.75,6.13,5.65,5.99,504000,psxdata,2026-05-11T12:51:12
KOSM,2016-10-31,6.05,6.33,5.7,5.99,195000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-01,6.2,6.99,5.75,6.92,614500,psxdata,2026-05-11T12:51:12
KOSM,2016-11-02,7.28,7.5,6.92,7.27,708500,psxdata,2026-05-11T12:51:12
KOSM,2016-11-03,7.21,7.35,7.06,7.15,197000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-04,7.0,7.13,6.83,6.95,45500,psxdata,2026-05-11T12:51:12
KOSM,2016-11-07,6.85,7.3,6.85,7.2,268000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-08,7.01,7.34,6.81,6.95,203500,psxdata,2026-05-11T12:51:12
KOSM,2016-11-09,6.82,7.0,6.6,6.95,172500,psxdata,2026-05-11T12:51:12
KOSM,2016-11-10,7.1,7.19,6.91,7.12,281000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-11,7.02,7.49,7.0,7.21,386000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-14,7.21,7.3,7.0,7.05,143000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-15,7.18,7.19,7.0,7.02,133000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-16,7.29,7.29,6.95,6.99,143000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-17,6.95,7.07,6.8,6.95,183000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-18,6.95,7.1,6.9,6.91,132000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-21,7.0,7.45,6.8,7.08,704000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-22,7.03,7.23,6.99,7.16,400000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-23,7.08,7.6,7.08,7.51,897500,psxdata,2026-05-11T12:51:12
KOSM,2016-11-24,7.45,7.7,7.4,7.46,604000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-25,7.41,7.99,7.4,7.72,949000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-28,7.95,8.05,7.25,7.57,628000,psxdata,2026-05-11T12:51:12
KOSM,2016-11-29,7.64,7.66,7.35,7.36,270500,psxdata,2026-05-11T12:51:12
KOSM,2016-11-30,7.19,7.48,7.15,7.22,221500,psxdata,2026-05-11T12:51:12
KOSM,2016-12-01,7.27,7.7,7.22,7.36,483000,psxdata,2026-05-11T12:51:12
KOSM,2016-12-02,7.4,7.85,7.31,7.48,537500,psxdata,2026-05-11T12:51:12
KOSM,2016-12-05,7.29,7.75,7.01,7.4,530000,psxdata,2026-05-11T12:51:12
