symbol,date,open,high,low,close,volume,source,collected_at
LOADS,2016-11-01,35.7,35.7,34.0,35.7,6627000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-02,37.4,37.48,37.1,37.48,3786500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-03,38.99,39.35,38.05,39.06,8531500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-04,39.15,39.38,38.11,38.31,2948000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-07,38.7,40.22,38.5,40.22,5104500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-08,41.01,42.23,41.0,42.23,2019000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-09,42.78,44.34,41.8,44.34,9742000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-10,46.0,46.55,45.8,46.55,1630500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-11,48.87,48.87,48.08,48.87,5680000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-14,51.0,51.31,49.53,51.31,4772000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-15,53.0,53.87,52.1,53.87,1572000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-16,56.56,56.56,55.4,56.56,5048000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-17,58.15,59.38,58.15,59.38,3987000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-18,61.79,62.34,61.1,62.34,4264000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-21,58.54,58.54,58.54,58.54,144000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-22,61.46,61.46,61.46,61.46,65000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-23,64.53,64.53,64.53,64.53,92500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-24,67.75,67.75,61.31,61.31,2486000,psxdata,2026-05-11T12:53:27
LOADS,2016-11-25,58.25,58.25,58.25,58.25,64500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-28,55.34,55.34,55.34,55.34,35500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-29,52.58,58.1,52.58,54.53,14637500,psxdata,2026-05-11T12:53:27
LOADS,2016-11-30,54.79,56.35,54.35,55.04,4309000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-01,55.8,56.48,52.3,53.53,3575000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-02,53.55,53.99,51.7,52.21,2782000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-05,52.5,53.2,49.9,50.31,2684000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-06,50.65,52.82,50.55,52.82,1837000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-07,54.51,55.46,52.7,55.46,7235500,psxdata,2026-05-11T12:53:27
LOADS,2016-12-08,56.5,57.0,55.1,55.39,4149000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-09,55.0,56.0,54.26,54.71,2444000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-13,55.19,55.2,53.22,53.43,1345000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-14,53.2,53.64,52.1,52.55,1293500,psxdata,2026-05-11T12:53:27
LOADS,2016-12-15,52.6,53.5,51.75,51.88,1621000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-16,52.3,54.15,51.6,53.54,3098000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-19,53.98,53.98,52.75,52.83,1146000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-20,52.75,52.98,51.81,51.99,1132500,psxdata,2026-05-11T12:53:27
LOADS,2016-12-21,51.6,52.86,50.5,50.78,2549500,psxdata,2026-05-11T12:53:27
LOADS,2016-12-22,51.2,51.23,49.81,50.04,1070000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-23,50.04,52.2,49.71,50.95,3015500,psxdata,2026-05-11T12:53:27
LOADS,2016-12-26,51.25,51.5,50.1,50.5,694000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-27,50.51,50.8,49.79,49.87,1037500,psxdata,2026-05-11T12:53:27
LOADS,2016-12-28,50.25,51.2,49.91,50.2,1498000,psxdata,2026-05-11T12:53:27
LOADS,2016-12-29,50.41,50.96,50.25,50.75,1658500,psxdata,2026-05-11T12:53:27
LOADS,2016-12-30,51.02,52.39,50.7,50.91,2675000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-02,51.29,51.96,50.9,51.04,2780000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-03,51.1,51.45,50.4,50.67,2284500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-04,50.76,50.9,49.9,50.12,2525500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-05,50.0,50.8,50.0,50.09,1347500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-06,50.21,50.68,50.0,50.07,1826000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-09,50.39,51.93,50.07,51.08,3588000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-10,51.13,53.63,50.95,53.63,5263500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-11,54.99,55.87,54.2,55.31,6169000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-12,55.45,56.2,54.25,55.14,7281500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-13,55.55,57.89,55.0,57.89,9964500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-16,59.0,59.0,56.25,56.65,4235500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-17,56.55,58.4,55.52,57.71,6112000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-18,58.1,59.95,58.0,59.06,6162500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-19,59.98,62.01,59.3,62.01,6077000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-20,63.0,64.5,60.8,61.3,4889500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-23,61.3,61.7,60.01,60.1,2937500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-24,60.29,60.88,59.4,59.64,2298500,psxdata,2026-05-11T12:53:27
LOADS,2017-01-25,59.78,60.5,58.4,58.7,1511000,psxdata,2026-05-11T12:53:27
LOADS,2017-01-26,58.6,58.95,57.7,57.76,1561500,psxdata,2026-05-11T12:53:27
