symbol,date,open,high,low,close,volume,source,collected_at
LOTCHEM,2016-05-11,5.91,6.22,5.86,6.02,6679000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-12,6.1,6.56,6.1,6.28,15222500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-13,6.35,6.6,6.25,6.4,8368000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-16,6.5,6.6,6.25,6.29,1700500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-17,6.35,6.45,6.08,6.12,4852500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-18,6.15,6.3,6.11,6.19,2611000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-19,6.24,6.51,6.2,6.4,5705000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-20,6.58,6.84,6.52,6.57,15295500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-23,6.61,6.7,6.4,6.42,2174000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-24,6.5,6.95,6.4,6.72,20890000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-25,6.8,6.93,6.64,6.66,7941500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-26,6.75,6.85,6.53,6.59,6150000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-27,6.6,6.74,6.43,6.49,3925000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-30,6.46,6.54,6.25,6.27,2862000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-05-31,6.26,6.55,6.18,6.25,4610500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-01,6.3,6.6,6.3,6.51,2964500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-02,6.61,6.79,6.5,6.66,4251000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-03,6.78,6.95,6.66,6.86,7675000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-06,7.29,7.29,6.86,6.91,18659000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-07,6.91,7.05,6.66,6.7,4184000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-08,6.8,6.93,6.63,6.67,3375000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-09,6.7,6.78,6.48,6.49,2274000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-10,6.51,6.55,6.23,6.26,2060500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-13,6.3,6.31,6.12,6.22,1212500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-14,6.33,6.44,6.29,6.33,669000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-15,6.4,6.43,6.26,6.31,2727000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-16,6.22,6.59,6.21,6.26,4620000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-17,6.35,6.35,6.25,6.3,433500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-20,6.32,6.35,6.2,6.22,753000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-21,6.25,6.31,6.18,6.21,506000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-22,6.24,6.25,6.17,6.18,1350000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-23,6.15,6.2,6.1,6.19,726000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-24,6.15,6.15,5.87,6.05,1068000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-27,6.0,6.04,5.96,5.99,263000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-28,6.1,6.1,5.82,5.87,1760000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-29,5.99,6.1,5.95,6.0,587000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-06-30,6.02,6.06,5.93,6.01,681500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-04,5.97,6.11,5.95,6.06,463000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-11,6.0,6.13,5.97,6.04,303500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-12,6.01,6.15,6.0,6.11,1369500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-13,6.13,6.2,6.06,6.09,960500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-14,6.1,6.45,6.1,6.3,2971000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-15,6.3,6.3,6.17,6.2,273500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-18,6.2,6.38,6.12,6.35,752500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-19,6.33,6.4,6.29,6.3,754500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-20,6.38,6.4,6.27,6.31,1010000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-21,6.31,6.46,6.25,6.28,2940500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-22,6.35,6.35,6.18,6.23,732000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-25,6.18,6.25,6.16,6.17,353000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-26,6.21,6.21,6.09,6.13,1834500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-27,6.19,6.43,6.12,6.16,4304000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-28,6.2,6.3,6.1,6.16,1170000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-07-29,6.11,6.19,6.09,6.17,952000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-01,6.15,6.28,6.14,6.19,1422500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-02,6.25,6.53,6.2,6.39,7380500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-03,6.49,6.5,6.3,6.31,1734000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-04,6.37,6.37,6.25,6.3,435500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-05,6.26,6.38,6.25,6.3,994000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-08,6.35,6.45,6.3,6.31,634500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-09,6.35,6.49,6.33,6.36,1456500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-10,6.39,6.45,6.32,6.34,553000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-11,6.39,6.69,6.35,6.63,7923000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-12,6.7,6.7,6.5,6.55,2443500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-15,6.6,6.69,6.5,6.52,1569000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-16,6.56,6.73,6.5,6.58,1970500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-17,6.58,6.65,6.5,6.53,1025000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-18,6.55,6.69,6.39,6.41,2708500,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-19,6.41,6.46,6.3,6.34,848000,psxdata,2026-05-11T12:53:43
LOTCHEM,2016-08-22,6.3,6.38,6.25,6.32,1810500,psxdata,2026-05-11T12:53:43
