symbol,date,open,high,low,close,volume,source,collected_at
LSECL,2024-05-24,9.0,9.0,9.0,9.0,11690,psxdata,2026-05-11T12:56:19
LSECL,2024-05-27,8.0,8.0,8.0,8.0,53458,psxdata,2026-05-11T12:56:19
LSECL,2024-05-29,7.0,7.0,7.0,7.0,22067,psxdata,2026-05-11T12:56:19
LSECL,2024-05-30,6.0,6.0,6.0,6.0,126351,psxdata,2026-05-11T12:56:19
LSECL,2024-05-31,5.0,5.55,5.0,5.0,4008132,psxdata,2026-05-11T12:56:19
LSECL,2024-06-03,4.56,5.0,4.54,4.63,1219921,psxdata,2026-05-11T12:56:19
LSECL,2024-06-04,4.75,4.84,4.01,4.37,430921,psxdata,2026-05-11T12:56:19
LSECL,2024-06-05,4.31,4.43,4.13,4.21,202784,psxdata,2026-05-11T12:56:19
LSECL,2024-06-06,4.13,4.35,3.95,4.0,514890,psxdata,2026-05-11T12:56:19
LSECL,2024-06-07,3.85,4.25,3.8,4.15,278448,psxdata,2026-05-11T12:56:19
LSECL,2024-06-10,4.3,4.3,3.9,3.91,193474,psxdata,2026-05-11T12:56:19
LSECL,2024-06-11,4.1,4.1,3.45,3.53,505071,psxdata,2026-05-11T12:56:19
LSECL,2024-06-12,3.53,3.66,3.4,3.48,288845,psxdata,2026-05-11T12:56:19
LSECL,2024-06-13,3.59,3.59,3.1,3.42,126777,psxdata,2026-05-11T12:56:19
LSECL,2024-06-14,3.3,3.54,3.12,3.41,278367,psxdata,2026-05-11T12:56:19
LSECL,2024-06-20,3.56,3.56,3.4,3.43,83420,psxdata,2026-05-11T12:56:19
LSECL,2024-06-21,3.61,3.61,3.3,3.31,158772,psxdata,2026-05-11T12:56:19
LSECL,2024-06-24,3.19,3.35,3.05,3.14,181221,psxdata,2026-05-11T12:56:19
LSECL,2024-06-25,3.14,3.25,3.02,3.08,274102,psxdata,2026-05-11T12:56:19
LSECL,2024-06-26,3.14,3.55,3.1,3.21,333272,psxdata,2026-05-11T12:56:19
LSECL,2024-06-27,3.3,3.34,3.18,3.21,119101,psxdata,2026-05-11T12:56:19
LSECL,2024-06-28,3.3,3.3,3.1,3.12,191612,psxdata,2026-05-11T12:56:19
LSECL,2024-07-01,3.27,3.97,3.1,3.74,809118,psxdata,2026-05-11T12:56:19
LSECL,2024-07-02,3.61,4.6,3.61,4.49,2024533,psxdata,2026-05-11T12:56:19
LSECL,2024-07-03,4.22,4.94,4.13,4.33,1540094,psxdata,2026-05-11T12:56:19
LSECL,2024-07-04,4.35,4.88,4.21,4.39,1176028,psxdata,2026-05-11T12:56:19
LSECL,2024-07-05,4.5,5.25,4.3,4.37,3196331,psxdata,2026-05-11T12:56:19
LSECL,2024-07-08,4.5,4.59,3.6,4.21,241197,psxdata,2026-05-11T12:56:19
LSECL,2024-07-09,4.01,4.29,3.9,3.96,557670,psxdata,2026-05-11T12:56:19
LSECL,2024-07-10,4.18,4.18,3.75,3.81,215440,psxdata,2026-05-11T12:56:19
LSECL,2024-07-11,4.09,4.09,3.41,3.44,302011,psxdata,2026-05-11T12:56:19
LSECL,2024-07-12,3.77,4.03,3.21,3.39,190906,psxdata,2026-05-11T12:56:19
LSECL,2024-07-15,3.59,3.59,3.3,3.36,186183,psxdata,2026-05-11T12:56:19
LSECL,2024-07-18,3.36,3.5,3.2,3.3,114464,psxdata,2026-05-11T12:56:19
LSECL,2024-07-19,3.34,3.44,3.15,3.24,343618,psxdata,2026-05-11T12:56:19
LSECL,2024-07-22,3.32,3.34,3.2,3.25,60486,psxdata,2026-05-11T12:56:19
LSECL,2024-07-23,3.3,3.3,3.18,3.22,103230,psxdata,2026-05-11T12:56:19
LSECL,2024-07-24,3.3,3.39,3.15,3.24,240050,psxdata,2026-05-11T12:56:19
LSECL,2024-07-25,3.39,3.39,3.11,3.19,270128,psxdata,2026-05-11T12:56:19
LSECL,2024-07-26,3.16,3.49,3.02,3.13,552582,psxdata,2026-05-11T12:56:19
LSECL,2024-07-29,3.11,3.29,2.93,3.02,455010,psxdata,2026-05-11T12:56:19
LSECL,2024-07-30,3.05,3.19,3.0,3.0,216942,psxdata,2026-05-11T12:56:19
LSECL,2024-07-31,3.0,3.29,3.0,3.2,974112,psxdata,2026-05-11T12:56:19
LSECL,2024-08-01,3.12,3.3,2.85,2.99,497547,psxdata,2026-05-11T12:56:19
LSECL,2024-08-02,3.18,3.18,2.82,2.94,115864,psxdata,2026-05-11T12:56:19
LSECL,2024-08-05,3.09,3.11,2.98,3.0,130911,psxdata,2026-05-11T12:56:19
LSECL,2024-08-06,2.97,3.2,2.97,3.16,592036,psxdata,2026-05-11T12:56:19
LSECL,2024-08-07,3.05,3.58,3.05,3.23,1344450,psxdata,2026-05-11T12:56:19
LSECL,2024-08-08,3.29,3.44,3.1,3.16,252527,psxdata,2026-05-11T12:56:19
LSECL,2024-08-09,3.29,3.29,3.1,3.13,82478,psxdata,2026-05-11T12:56:19
LSECL,2024-08-12,3.22,3.22,3.07,3.07,111144,psxdata,2026-05-11T12:56:19
