symbol,date,open,high,low,close,volume,source,collected_at
MDTL,2016-05-11,1.84,1.84,1.73,1.74,233500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-12,1.76,1.89,1.76,1.86,412000,psxdata,2026-05-11T12:52:21
MDTL,2016-05-13,1.88,2.0,1.86,1.91,1149500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-16,1.98,2.05,1.9,1.95,851000,psxdata,2026-05-11T12:52:21
MDTL,2016-05-17,2.0,2.0,1.8,1.84,196500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-18,1.88,1.94,1.78,1.8,188000,psxdata,2026-05-11T12:52:21
MDTL,2016-05-19,1.82,1.99,1.8,1.9,547500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-20,1.99,1.99,1.9,1.92,183500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-23,1.94,2.1,1.94,1.98,362500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-24,2.07,2.07,1.9,1.9,108500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-25,2.0,2.05,1.92,1.93,293500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-26,1.98,2.0,1.88,1.89,183500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-27,1.84,1.94,1.8,1.81,268000,psxdata,2026-05-11T12:52:21
MDTL,2016-05-30,1.84,1.84,1.75,1.75,322500,psxdata,2026-05-11T12:52:21
MDTL,2016-05-31,1.79,1.8,1.7,1.75,94500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-01,1.76,1.82,1.75,1.82,162000,psxdata,2026-05-11T12:52:21
MDTL,2016-06-02,1.89,1.93,1.78,1.84,215500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-03,1.85,1.93,1.82,1.86,15500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-06,1.88,1.9,1.88,1.89,23500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-07,1.8,1.81,1.77,1.79,17500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-08,1.88,1.88,1.78,1.79,31500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-09,1.8,1.81,1.73,1.74,85000,psxdata,2026-05-11T12:52:21
MDTL,2016-06-10,1.85,1.85,1.7,1.74,158500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-13,1.77,1.87,1.7,1.78,468500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-14,1.89,1.89,1.8,1.85,10500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-15,1.88,1.88,1.8,1.87,104000,psxdata,2026-05-11T12:52:21
MDTL,2016-06-16,1.88,1.88,1.71,1.75,139500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-17,1.85,1.85,1.76,1.79,2500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-20,1.86,1.86,1.7,1.7,237000,psxdata,2026-05-11T12:52:21
MDTL,2016-06-21,1.71,1.77,1.7,1.75,32000,psxdata,2026-05-11T12:52:21
MDTL,2016-06-22,1.75,1.75,1.7,1.71,96500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-23,1.77,1.78,1.7,1.7,807500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-24,1.7,1.7,1.61,1.7,1149500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-27,1.7,1.76,1.67,1.7,168500,psxdata,2026-05-11T12:52:21
MDTL,2016-06-28,1.7,1.7,1.62,1.66,89000,psxdata,2026-05-11T12:52:21
MDTL,2016-06-29,1.67,1.7,1.65,1.69,110000,psxdata,2026-05-11T12:52:21
MDTL,2016-06-30,1.7,1.7,1.66,1.67,34000,psxdata,2026-05-11T12:52:21
MDTL,2016-07-04,1.84,1.84,1.68,1.75,25000,psxdata,2026-05-11T12:52:21
MDTL,2016-07-11,1.75,1.79,1.71,1.71,10500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-12,1.68,1.75,1.68,1.73,79500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-13,1.71,1.74,1.67,1.68,76500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-14,1.67,1.75,1.67,1.7,63500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-15,1.71,1.75,1.68,1.71,104500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-18,1.69,1.69,1.65,1.66,138500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-19,1.73,1.73,1.67,1.68,20500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-20,1.7,1.72,1.65,1.7,30000,psxdata,2026-05-11T12:52:21
MDTL,2016-07-21,1.76,1.8,1.7,1.7,126500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-22,1.7,1.72,1.65,1.68,73500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-25,1.74,1.74,1.65,1.7,185500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-26,1.69,1.84,1.68,1.74,197500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-27,1.72,1.8,1.66,1.66,215500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-28,1.66,1.74,1.66,1.67,101500,psxdata,2026-05-11T12:52:21
MDTL,2016-07-29,1.65,1.75,1.65,1.7,11000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-01,1.66,1.78,1.66,1.75,245000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-02,1.75,1.8,1.66,1.66,215500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-03,1.72,1.8,1.65,1.67,359000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-04,1.74,1.74,1.66,1.69,54500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-05,1.7,1.7,1.66,1.69,118500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-08,1.68,1.72,1.68,1.71,22500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-09,1.67,1.75,1.67,1.7,92000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-10,1.69,1.71,1.67,1.7,162000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-11,1.76,1.78,1.7,1.71,114500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-12,1.68,1.77,1.68,1.76,14500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-15,1.74,1.77,1.7,1.75,235000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-16,1.76,1.78,1.7,1.75,13000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-17,1.71,1.75,1.71,1.75,7500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-18,1.75,1.8,1.7,1.72,82500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-19,1.62,1.74,1.62,1.72,26500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-22,1.75,1.8,1.7,1.72,834500,psxdata,2026-05-11T12:52:21
MDTL,2016-08-23,1.8,2.16,1.8,1.9,8298000,psxdata,2026-05-11T12:52:21
MDTL,2016-08-24,1.9,1.99,1.76,1.9,771000,psxdata,2026-05-11T12:52:21
