symbol,date,open,high,low,close,volume,source,collected_at
MLCF,2016-05-11,98.49,99.0,97.0,97.14,992000,psxdata,2026-05-11T12:52:01
MLCF,2016-05-12,97.0,97.3,95.91,96.11,438500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-13,96.5,97.13,95.83,96.24,871000,psxdata,2026-05-11T12:52:01
MLCF,2016-05-16,96.5,96.85,95.76,96.22,332500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-17,96.75,96.85,95.4,95.99,350500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-18,96.01,96.8,95.4,95.91,1059500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-19,96.01,97.75,95.9,96.48,2187500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-20,96.51,96.86,95.95,96.06,341000,psxdata,2026-05-11T12:52:01
MLCF,2016-05-23,96.65,97.79,96.4,96.74,1113500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-24,96.8,97.44,95.25,95.85,860500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-25,95.16,96.5,95.16,95.46,310000,psxdata,2026-05-11T12:52:01
MLCF,2016-05-26,95.31,95.85,94.8,95.0,455000,psxdata,2026-05-11T12:52:01
MLCF,2016-05-27,95.47,95.47,93.7,94.06,1032500,psxdata,2026-05-11T12:52:01
MLCF,2016-05-30,94.0,98.76,94.0,97.08,4442000,psxdata,2026-05-11T12:52:01
MLCF,2016-05-31,96.6,98.02,95.3,95.76,1290500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-01,96.0,97.0,95.5,96.34,600000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-02,96.85,98.3,96.55,97.2,2132000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-03,97.19,99.3,97.19,97.97,2594000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-06,98.0,98.0,96.91,97.15,548500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-07,97.0,97.35,96.6,96.81,949000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-08,97.0,97.69,96.6,96.92,726000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-09,97.0,97.1,96.5,96.71,386000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-10,96.91,96.91,94.92,95.46,556500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-13,95.5,97.52,94.4,96.75,1044000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-14,97.0,97.75,95.65,95.9,1318000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-15,98.0,100.69,96.76,100.69,5184000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-16,101.1,105.72,101.1,105.72,2565000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-17,106.0,109.25,105.11,106.34,3323000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-20,106.45,106.45,104.2,105.04,558500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-21,104.51,105.95,104.41,104.76,947500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-22,105.75,107.8,103.55,104.26,1362000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-23,104.11,104.5,103.55,103.99,307500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-24,102.1,103.74,98.8,102.11,2327500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-27,102.1,103.7,101.5,101.8,847000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-28,102.5,102.85,101.1,102.05,531000,psxdata,2026-05-11T12:52:01
MLCF,2016-06-29,102.5,106.25,102.5,105.82,1488500,psxdata,2026-05-11T12:52:01
MLCF,2016-06-30,106.44,107.19,105.11,105.51,892500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-04,105.36,106.0,104.52,105.33,732000,psxdata,2026-05-11T12:52:01
MLCF,2016-07-11,105.55,107.6,105.4,106.95,880000,psxdata,2026-05-11T12:52:01
MLCF,2016-07-12,107.25,108.75,106.92,107.73,2403000,psxdata,2026-05-11T12:52:01
MLCF,2016-07-13,108.45,113.11,108.45,109.56,6172500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-14,109.75,112.55,109.21,112.13,3241500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-15,112.8,114.0,111.5,111.86,2374500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-18,112.02,114.5,110.75,114.31,2999000,psxdata,2026-05-11T12:52:01
MLCF,2016-07-19,114.2,114.88,112.61,113.62,920500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-20,113.1,114.25,112.0,112.55,866500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-21,112.99,114.3,112.8,113.53,668500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-22,113.75,114.1,112.0,112.46,941000,psxdata,2026-05-11T12:52:01
MLCF,2016-07-25,113.0,113.4,111.7,112.06,186000,psxdata,2026-05-11T12:52:01
MLCF,2016-07-26,112.5,113.3,112.0,112.38,282500,psxdata,2026-05-11T12:52:01
MLCF,2016-07-27,112.65,114.4,112.65,113.63,1294000,psxdata,2026-05-11T12:52:01
MLCF,2016-07-28,114.0,114.3,112.6,112.98,324000,psxdata,2026-05-11T12:52:01
