symbol,date,open,high,low,close,volume,source,collected_at
MUGHAL,2016-05-11,71.55,72.4,71.55,72.1,659500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-12,72.65,75.58,72.3,74.27,2172000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-13,74.01,77.98,74.0,77.98,1144000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-16,79.4,80.01,76.1,76.71,2150500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-17,77.0,77.5,74.6,75.06,644500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-18,75.0,75.61,74.0,74.52,314500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-19,74.4,75.25,74.25,74.52,319500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-20,74.13,74.48,73.52,73.81,148500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-23,74.4,74.4,73.5,73.66,148000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-24,73.51,73.51,72.7,72.97,568500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-25,73.2,73.6,72.51,72.82,290000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-26,73.0,73.1,72.5,72.95,119500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-27,73.1,73.8,72.75,72.99,208500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-30,72.5,72.75,70.75,70.95,423000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-05-31,71.0,71.75,70.5,71.32,532000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-01,71.5,72.2,71.4,71.96,57000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-02,71.1,72.5,71.1,72.2,138500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-03,72.5,72.8,71.12,71.61,332000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-06,70.7,71.5,70.02,70.24,363000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-07,69.92,70.75,69.9,70.62,70500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-08,71.0,71.14,70.25,71.0,76500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-09,71.0,71.05,70.35,70.45,39500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-10,70.2,70.2,69.25,69.66,67500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-13,69.51,70.45,69.15,69.22,42000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-14,70.89,70.89,69.0,69.1,1333000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-15,70.75,70.79,68.31,69.1,235500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-16,69.1,69.15,68.45,68.52,186500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-17,68.51,69.77,68.51,69.69,188000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-20,69.9,69.9,69.25,69.77,378500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-21,69.7,70.5,69.25,69.5,236000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-22,69.5,69.9,69.2,69.51,493000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-23,69.51,69.6,69.1,69.28,45000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-24,67.1,68.15,66.12,66.52,200000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-27,67.0,67.0,66.0,66.13,93500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-28,66.5,66.9,65.5,65.8,95500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-29,66.6,67.5,66.6,67.36,102000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-06-30,68.0,68.21,67.05,67.19,40500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-04,67.5,67.5,67.15,67.35,47500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-11,67.35,67.69,67.02,67.57,43000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-12,67.99,69.3,67.99,68.65,339000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-13,68.76,68.91,68.25,68.35,172000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-14,67.13,70.7,67.12,69.97,339000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-15,69.99,72.3,69.65,71.81,436500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-18,72.39,74.15,71.05,73.75,1016500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-19,74.01,74.25,72.14,72.29,234000,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-20,72.0,72.4,71.72,72.07,106500,psxdata,2026-05-11T12:56:06
MUGHAL,2016-07-21,72.11,72.64,71.75,71.9,264000,psxdata,2026-05-11T12:56:06
