symbol,date,open,high,low,close,volume,source,collected_at
NBP,2016-05-12,55.55,55.55,55.3,55.49,281000,psxdata,2026-05-11T12:51:52
NBP,2016-05-13,55.51,55.51,55.21,55.41,101500,psxdata,2026-05-11T12:51:52
NBP,2016-05-16,55.5,55.5,54.41,54.57,615500,psxdata,2026-05-11T12:51:52
NBP,2016-05-17,55.0,55.01,53.9,54.0,983000,psxdata,2026-05-11T12:51:52
NBP,2016-05-18,54.25,54.25,53.75,53.92,339500,psxdata,2026-05-11T12:51:52
NBP,2016-05-19,53.9,54.6,53.5,54.18,3853500,psxdata,2026-05-11T12:51:52
NBP,2016-05-20,54.35,54.5,54.0,54.12,567500,psxdata,2026-05-11T12:51:52
NBP,2016-05-23,53.61,54.0,53.35,53.71,516500,psxdata,2026-05-11T12:51:52
NBP,2016-05-24,53.62,54.5,53.5,53.87,447500,psxdata,2026-05-11T12:51:52
NBP,2016-05-25,53.8,53.95,53.5,53.61,1246500,psxdata,2026-05-11T12:51:52
NBP,2016-05-26,53.93,54.99,53.93,54.12,362000,psxdata,2026-05-11T12:51:52
NBP,2016-05-27,54.25,54.49,53.9,54.15,1410000,psxdata,2026-05-11T12:51:52
NBP,2016-05-30,54.0,54.35,53.5,53.64,567500,psxdata,2026-05-11T12:51:52
NBP,2016-05-31,53.45,54.7,53.01,53.94,482500,psxdata,2026-05-11T12:51:52
NBP,2016-06-01,54.14,54.25,53.62,53.99,281000,psxdata,2026-05-11T12:51:52
NBP,2016-06-02,53.68,54.25,53.65,54.1,185500,psxdata,2026-05-11T12:51:52
NBP,2016-06-03,54.25,54.25,53.75,53.98,342000,psxdata,2026-05-11T12:51:52
NBP,2016-06-06,54.1,54.1,53.5,53.56,262500,psxdata,2026-05-11T12:51:52
NBP,2016-06-07,53.5,54.0,53.3,53.36,259000,psxdata,2026-05-11T12:51:52
NBP,2016-06-08,53.5,53.74,53.1,53.28,189000,psxdata,2026-05-11T12:51:52
NBP,2016-06-09,53.3,53.3,52.9,53.0,153000,psxdata,2026-05-11T12:51:52
NBP,2016-06-10,52.98,53.0,52.11,52.24,176000,psxdata,2026-05-11T12:51:52
NBP,2016-06-13,51.85,52.48,51.85,52.14,275500,psxdata,2026-05-11T12:51:52
NBP,2016-06-14,52.1,53.99,52.0,53.53,307500,psxdata,2026-05-11T12:51:52
NBP,2016-06-15,55.5,55.65,53.9,55.36,1412500,psxdata,2026-05-11T12:51:52
NBP,2016-06-16,55.36,57.7,55.0,56.79,2593500,psxdata,2026-05-11T12:51:52
NBP,2016-06-17,56.71,58.5,56.71,58.1,3315500,psxdata,2026-05-11T12:51:52
NBP,2016-06-20,57.8,58.99,57.41,57.68,588500,psxdata,2026-05-11T12:51:52
NBP,2016-06-21,57.67,58.1,57.11,58.0,1639500,psxdata,2026-05-11T12:51:52
NBP,2016-06-22,58.25,58.5,57.8,58.0,2589000,psxdata,2026-05-11T12:51:52
NBP,2016-06-23,58.1,58.5,58.0,58.3,286500,psxdata,2026-05-11T12:51:52
NBP,2016-06-24,57.75,58.0,56.25,57.78,663000,psxdata,2026-05-11T12:51:52
NBP,2016-06-27,57.61,58.0,57.5,57.74,311000,psxdata,2026-05-11T12:51:52
NBP,2016-06-28,57.7,58.1,57.7,57.92,927500,psxdata,2026-05-11T12:51:52
NBP,2016-06-29,58.4,58.8,58.1,58.18,4198500,psxdata,2026-05-11T12:51:52
NBP,2016-06-30,58.2,58.2,57.7,57.81,859500,psxdata,2026-05-11T12:51:52
NBP,2016-07-04,57.97,58.1,57.75,57.85,89000,psxdata,2026-05-11T12:51:52
NBP,2016-07-11,57.85,59.35,57.85,58.78,668000,psxdata,2026-05-11T12:51:52
NBP,2016-07-12,59.0,59.4,58.65,58.95,501000,psxdata,2026-05-11T12:51:52
NBP,2016-07-13,59.2,59.5,58.75,58.98,617000,psxdata,2026-05-11T12:51:52
NBP,2016-07-14,59.0,59.55,58.81,59.37,3169500,psxdata,2026-05-11T12:51:52
NBP,2016-07-15,59.5,61.0,59.05,59.27,4118000,psxdata,2026-05-11T12:51:52
NBP,2016-07-18,59.55,60.75,59.3,60.68,2464500,psxdata,2026-05-11T12:51:52
NBP,2016-07-19,60.9,61.55,60.81,60.88,1642500,psxdata,2026-05-11T12:51:52
NBP,2016-07-20,61.0,62.5,60.8,62.04,2467000,psxdata,2026-05-11T12:51:52
NBP,2016-07-21,62.26,63.6,62.25,62.61,2282000,psxdata,2026-05-11T12:51:52
NBP,2016-07-22,62.5,63.45,62.25,62.53,1357500,psxdata,2026-05-11T12:51:52
NBP,2016-07-25,62.9,62.9,62.05,62.1,724000,psxdata,2026-05-11T12:51:52
NBP,2016-07-26,62.06,62.49,62.0,62.26,140000,psxdata,2026-05-11T12:51:52
NBP,2016-07-27,62.02,62.75,62.02,62.24,462000,psxdata,2026-05-11T12:51:52
NBP,2016-07-28,62.25,64.45,62.25,63.76,3206000,psxdata,2026-05-11T12:51:52
NBP,2016-07-29,63.75,64.11,63.17,63.9,1116000,psxdata,2026-05-11T12:51:52
NBP,2016-08-01,64.4,67.09,64.4,67.09,6733500,psxdata,2026-05-11T12:51:52
NBP,2016-08-02,68.2,68.5,66.1,66.1,2701500,psxdata,2026-05-11T12:51:52
NBP,2016-08-03,66.5,67.6,65.2,65.58,1619500,psxdata,2026-05-11T12:51:52
NBP,2016-08-04,65.7,66.69,65.52,65.92,1020000,psxdata,2026-05-11T12:51:52
NBP,2016-08-05,66.0,66.15,65.25,65.87,194000,psxdata,2026-05-11T12:51:52
NBP,2016-08-08,66.0,66.55,66.0,66.19,820500,psxdata,2026-05-11T12:51:52
NBP,2016-08-09,66.75,67.93,65.72,67.24,4147500,psxdata,2026-05-11T12:51:52
NBP,2016-08-10,67.99,68.25,67.0,67.08,2174500,psxdata,2026-05-11T12:51:52
NBP,2016-08-11,67.25,67.68,66.25,66.51,1597500,psxdata,2026-05-11T12:51:52
NBP,2016-08-12,66.8,66.8,66.25,66.43,224000,psxdata,2026-05-11T12:51:52
NBP,2016-08-15,66.65,66.65,65.58,65.92,400500,psxdata,2026-05-11T12:51:52
NBP,2016-08-16,66.3,66.3,65.5,65.66,351500,psxdata,2026-05-11T12:51:52
NBP,2016-08-17,65.99,67.29,65.61,66.45,3966500,psxdata,2026-05-11T12:51:52
NBP,2016-08-18,66.89,67.2,66.4,66.7,2068000,psxdata,2026-05-11T12:51:52
