symbol,date,open,high,low,close,volume,source,collected_at
NCPL,2016-05-11,49.99,50.5,49.87,50.0,219500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-12,50.1,50.1,49.95,50.0,557500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-13,50.1,50.1,49.76,49.96,81500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-16,49.85,50.2,49.85,49.87,288000,psxdata,2026-05-11T12:52:33
NCPL,2016-05-17,49.85,50.1,49.85,49.99,607000,psxdata,2026-05-11T12:52:33
NCPL,2016-05-18,49.97,50.0,49.96,49.99,97000,psxdata,2026-05-11T12:52:33
NCPL,2016-05-19,50.0,50.2,49.9,49.9,221500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-20,50.0,50.0,49.9,49.99,96500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-23,50.24,50.24,49.9,50.0,191000,psxdata,2026-05-11T12:52:33
NCPL,2016-05-24,50.0,50.11,49.95,50.0,380500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-25,50.0,50.14,49.9,49.98,297500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-26,50.0,50.0,49.79,50.0,193500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-27,50.0,50.25,49.9,49.95,658500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-30,50.0,50.25,49.85,49.94,121500,psxdata,2026-05-11T12:52:33
NCPL,2016-05-31,50.0,50.0,49.84,49.97,101500,psxdata,2026-05-11T12:52:33
NCPL,2016-06-01,50.0,50.0,49.83,49.88,156500,psxdata,2026-05-11T12:52:33
NCPL,2016-06-02,49.8,50.25,49.74,50.04,106000,psxdata,2026-05-11T12:52:33
NCPL,2016-06-03,50.0,51.0,49.9,50.25,1470500,psxdata,2026-05-11T12:52:33
NCPL,2016-06-06,50.26,50.5,49.96,50.09,1631000,psxdata,2026-05-11T12:52:33
NCPL,2016-06-07,50.1,50.5,50.0,50.46,385500,psxdata,2026-05-11T12:52:33
NCPL,2016-06-08,50.45,50.45,50.2,50.23,56500,psxdata,2026-05-11T12:52:33
NCPL,2016-06-09,50.25,50.44,50.06,50.2,142000,psxdata,2026-05-11T12:52:33
