symbol,date,open,high,low,close,volume,source,collected_at
NML,2016-05-11,114.0,114.5,112.0,112.25,1118000,psxdata,2026-05-11T12:55:35
NML,2016-05-12,112.9,113.0,111.0,111.71,657500,psxdata,2026-05-11T12:55:35
NML,2016-05-13,111.6,112.48,110.85,111.16,383500,psxdata,2026-05-11T12:55:35
NML,2016-05-16,110.11,111.98,108.51,109.02,517500,psxdata,2026-05-11T12:55:35
NML,2016-05-17,109.9,110.5,108.1,108.57,759500,psxdata,2026-05-11T12:55:35
NML,2016-05-18,109.4,111.65,109.25,110.88,1535500,psxdata,2026-05-11T12:55:35
NML,2016-05-19,111.5,112.34,111.0,111.65,1580500,psxdata,2026-05-11T12:55:35
NML,2016-05-20,111.51,112.51,111.1,111.57,711500,psxdata,2026-05-11T12:55:35
NML,2016-05-23,112.1,114.3,111.8,113.71,1497500,psxdata,2026-05-11T12:55:35
NML,2016-05-24,113.9,115.6,112.75,114.52,2911500,psxdata,2026-05-11T12:55:35
NML,2016-05-25,115.1,115.1,112.76,113.25,264500,psxdata,2026-05-11T12:55:35
NML,2016-05-26,113.0,113.9,112.5,113.04,390000,psxdata,2026-05-11T12:55:35
NML,2016-05-27,112.8,114.0,112.8,113.1,370000,psxdata,2026-05-11T12:55:35
NML,2016-05-30,113.99,116.8,113.5,114.05,2945500,psxdata,2026-05-11T12:55:35
NML,2016-05-31,114.5,115.25,113.31,113.74,492000,psxdata,2026-05-11T12:55:35
NML,2016-06-01,113.8,115.49,113.01,114.61,513000,psxdata,2026-05-11T12:55:35
NML,2016-06-02,116.0,117.78,115.24,117.15,2269000,psxdata,2026-05-11T12:55:35
NML,2016-06-03,118.0,121.4,117.65,120.82,6983000,psxdata,2026-05-11T12:55:35
NML,2016-06-06,123.25,124.65,120.41,121.53,6274500,psxdata,2026-05-11T12:55:35
NML,2016-06-07,120.55,120.79,118.7,119.33,877500,psxdata,2026-05-11T12:55:35
NML,2016-06-08,119.0,119.0,117.01,117.37,496500,psxdata,2026-05-11T12:55:35
NML,2016-06-09,117.1,118.1,116.0,116.28,662500,psxdata,2026-05-11T12:55:35
NML,2016-06-10,116.5,116.5,112.51,113.71,2191500,psxdata,2026-05-11T12:55:35
NML,2016-06-13,114.24,115.7,112.0,114.8,1889000,psxdata,2026-05-11T12:55:35
NML,2016-06-14,115.85,117.5,115.0,116.19,2916500,psxdata,2026-05-11T12:55:35
NML,2016-06-15,121.99,121.99,120.02,121.92,5550000,psxdata,2026-05-11T12:55:35
NML,2016-06-16,123.0,124.75,120.1,121.13,3577500,psxdata,2026-05-11T12:55:35
NML,2016-06-17,120.97,121.3,118.11,119.36,923500,psxdata,2026-05-11T12:55:35
NML,2016-06-20,119.9,120.0,117.89,118.08,1016000,psxdata,2026-05-11T12:55:35
NML,2016-06-21,118.89,120.6,118.0,119.06,1659000,psxdata,2026-05-11T12:55:35
NML,2016-06-22,119.8,119.8,116.2,116.69,1086000,psxdata,2026-05-11T12:55:35
NML,2016-06-23,116.56,117.5,115.5,116.16,908000,psxdata,2026-05-11T12:55:35
NML,2016-06-24,115.9,115.9,110.36,110.36,4175500,psxdata,2026-05-11T12:55:35
NML,2016-06-27,108.0,108.0,104.85,105.09,7509000,psxdata,2026-05-11T12:55:35
NML,2016-06-28,105.0,108.25,104.5,104.81,4990500,psxdata,2026-05-11T12:55:35
NML,2016-06-29,106.0,108.0,106.0,107.24,2220500,psxdata,2026-05-11T12:55:35
NML,2016-06-30,108.0,108.75,107.5,107.9,1442000,psxdata,2026-05-11T12:55:35
NML,2016-07-04,108.16,111.15,107.75,110.65,1053500,psxdata,2026-05-11T12:55:35
NML,2016-07-11,110.0,111.55,108.52,110.82,2226500,psxdata,2026-05-11T12:55:35
NML,2016-07-12,111.9,116.36,110.7,116.25,6178200,psxdata,2026-05-11T12:55:35
NML,2016-07-13,117.01,119.0,115.5,116.74,3320000,psxdata,2026-05-11T12:55:35
NML,2016-07-14,116.5,119.25,116.5,117.5,1291300,psxdata,2026-05-11T12:55:35
NML,2016-07-15,117.99,118.89,116.6,116.95,1407700,psxdata,2026-05-11T12:55:35
NML,2016-07-18,117.21,117.5,115.52,115.99,887000,psxdata,2026-05-11T12:55:35
NML,2016-07-19,115.99,116.0,114.75,114.99,876300,psxdata,2026-05-11T12:55:35
NML,2016-07-20,115.99,115.99,113.75,115.36,2562900,psxdata,2026-05-11T12:55:35
NML,2016-07-21,116.0,116.25,114.51,115.01,1652400,psxdata,2026-05-11T12:55:35
NML,2016-07-22,115.29,117.4,114.65,115.0,1884100,psxdata,2026-05-11T12:55:35
NML,2016-07-25,114.91,116.74,114.82,115.51,2226500,psxdata,2026-05-11T12:55:35
NML,2016-07-26,115.6,116.0,115.01,115.77,387100,psxdata,2026-05-11T12:55:35
NML,2016-07-27,116.0,116.64,115.65,115.83,875800,psxdata,2026-05-11T12:55:35
NML,2016-07-28,116.49,119.25,116.0,118.85,4298200,psxdata,2026-05-11T12:55:35
NML,2016-07-29,119.0,121.29,118.75,120.88,2690300,psxdata,2026-05-11T12:55:35
NML,2016-08-01,121.25,122.99,120.25,121.5,2541000,psxdata,2026-05-11T12:55:35
NML,2016-08-02,121.5,124.0,121.5,122.1,2061900,psxdata,2026-05-11T12:55:35
NML,2016-08-03,122.6,122.88,120.53,120.89,424200,psxdata,2026-05-11T12:55:35
NML,2016-08-04,121.0,121.94,119.91,120.59,1005900,psxdata,2026-05-11T12:55:35
NML,2016-08-05,120.9,122.75,120.01,121.58,1408300,psxdata,2026-05-11T12:55:35
NML,2016-08-08,121.55,122.2,121.2,121.43,211000,psxdata,2026-05-11T12:55:35
NML,2016-08-09,121.01,123.12,120.75,121.07,1743300,psxdata,2026-05-11T12:55:35
NML,2016-08-10,122.4,122.4,121.36,121.63,524600,psxdata,2026-05-11T12:55:35
NML,2016-08-11,122.0,122.0,120.9,121.04,803700,psxdata,2026-05-11T12:55:35
NML,2016-08-12,121.68,121.94,120.61,121.02,596700,psxdata,2026-05-11T12:55:35
NML,2016-08-15,121.0,121.89,120.5,121.58,869400,psxdata,2026-05-11T12:55:35
NML,2016-08-16,121.67,122.88,121.12,121.47,2299700,psxdata,2026-05-11T12:55:35
NML,2016-08-17,121.5,125.5,121.5,123.17,5721200,psxdata,2026-05-11T12:55:35
NML,2016-08-18,123.65,124.6,122.4,123.38,2811700,psxdata,2026-05-11T12:55:35
NML,2016-08-19,123.5,124.69,123.17,123.4,1194800,psxdata,2026-05-11T12:55:35
NML,2016-08-22,124.19,124.5,122.82,123.0,510200,psxdata,2026-05-11T12:55:35
NML,2016-08-23,123.39,123.9,123.0,123.27,726700,psxdata,2026-05-11T12:55:35
NML,2016-08-24,123.9,124.88,122.75,124.1,890500,psxdata,2026-05-11T12:55:35
NML,2016-08-25,124.5,127.6,124.25,126.93,2831900,psxdata,2026-05-11T12:55:35
