symbol,date,open,high,low,close,volume,source,collected_at
NPL,2016-05-11,50.4,51.94,50.4,51.69,191000,psxdata,2026-05-11T12:53:55
NPL,2016-05-12,50.75,52.7,50.5,51.69,383000,psxdata,2026-05-11T12:53:55
NPL,2016-05-13,50.0,50.0,49.0,49.27,55500,psxdata,2026-05-11T12:53:55
NPL,2016-05-16,49.2,49.68,49.01,49.68,34500,psxdata,2026-05-11T12:53:55
NPL,2016-05-17,49.74,50.43,49.74,49.75,27000,psxdata,2026-05-11T12:53:55
NPL,2016-05-18,49.99,50.05,49.71,49.9,49500,psxdata,2026-05-11T12:53:55
NPL,2016-05-19,49.9,50.85,49.9,50.79,137500,psxdata,2026-05-11T12:53:55
NPL,2016-05-20,50.5,50.75,50.3,50.45,7000,psxdata,2026-05-11T12:53:55
NPL,2016-05-23,50.5,50.5,50.02,50.33,11500,psxdata,2026-05-11T12:53:55
NPL,2016-05-24,49.75,51.0,49.57,51.0,311500,psxdata,2026-05-11T12:53:55
NPL,2016-05-25,51.0,51.5,51.0,51.0,136000,psxdata,2026-05-11T12:53:55
NPL,2016-05-26,50.75,50.75,50.25,50.35,12000,psxdata,2026-05-11T12:53:55
NPL,2016-05-27,50.5,51.0,50.0,50.09,50500,psxdata,2026-05-11T12:53:55
NPL,2016-05-30,50.0,50.25,50.0,50.0,297500,psxdata,2026-05-11T12:53:55
NPL,2016-05-31,50.25,50.25,50.06,50.06,400000,psxdata,2026-05-11T12:53:55
NPL,2016-06-01,50.01,50.94,50.0,50.13,462000,psxdata,2026-05-11T12:53:55
NPL,2016-06-02,50.5,50.5,50.02,50.22,11000,psxdata,2026-05-11T12:53:55
NPL,2016-06-03,50.74,51.1,50.74,51.06,552000,psxdata,2026-05-11T12:53:55
NPL,2016-06-06,51.2,51.49,51.0,51.45,9000,psxdata,2026-05-11T12:53:55
NPL,2016-06-07,51.25,51.25,51.0,51.1,45500,psxdata,2026-05-11T12:53:55
NPL,2016-06-09,51.25,51.75,50.75,50.75,180000,psxdata,2026-05-11T12:53:55
NPL,2016-06-10,50.5,50.99,50.07,50.92,11000,psxdata,2026-05-11T12:53:55
NPL,2016-06-13,50.8,50.8,50.75,50.8,21000,psxdata,2026-05-11T12:53:55
NPL,2016-06-14,51.0,51.25,50.9,50.9,31000,psxdata,2026-05-11T12:53:55
NPL,2016-06-15,50.9,50.9,50.5,50.71,55000,psxdata,2026-05-11T12:53:55
NPL,2016-06-16,50.95,51.0,50.51,50.87,177500,psxdata,2026-05-11T12:53:55
NPL,2016-06-17,50.85,51.0,50.0,50.28,1000000,psxdata,2026-05-11T12:53:55
NPL,2016-06-20,50.28,50.5,50.0,50.46,190500,psxdata,2026-05-11T12:53:55
NPL,2016-06-21,50.1,50.45,50.05,50.31,12000,psxdata,2026-05-11T12:53:55
NPL,2016-06-22,50.0,50.4,50.0,50.17,15500,psxdata,2026-05-11T12:53:55
NPL,2016-06-23,50.15,50.15,50.1,50.1,7000,psxdata,2026-05-11T12:53:55
NPL,2016-06-24,50.01,50.1,49.07,49.58,56500,psxdata,2026-05-11T12:53:55
NPL,2016-06-27,49.75,50.0,49.75,50.0,35000,psxdata,2026-05-11T12:53:55
NPL,2016-06-28,50.0,50.25,49.86,49.99,126000,psxdata,2026-05-11T12:53:55
NPL,2016-06-29,50.0,50.5,50.0,50.2,97000,psxdata,2026-05-11T12:53:55
NPL,2016-06-30,50.2,50.55,50.2,50.51,21000,psxdata,2026-05-11T12:53:55
NPL,2016-07-04,50.51,50.51,50.15,50.24,22500,psxdata,2026-05-11T12:53:55
NPL,2016-07-11,50.74,52.0,50.24,51.84,1268500,psxdata,2026-05-11T12:53:55
NPL,2016-07-12,51.9,52.75,51.9,52.59,78000,psxdata,2026-05-11T12:53:55
NPL,2016-07-13,52.5,52.5,52.1,52.24,19500,psxdata,2026-05-11T12:53:55
NPL,2016-07-14,52.1,53.1,52.0,52.83,131500,psxdata,2026-05-11T12:53:55
NPL,2016-07-15,52.5,53.57,52.5,53.48,37000,psxdata,2026-05-11T12:53:55
NPL,2016-07-18,53.5,54.0,53.5,53.98,114500,psxdata,2026-05-11T12:53:55
NPL,2016-07-19,54.0,55.0,54.0,54.92,101000,psxdata,2026-05-11T12:53:55
NPL,2016-07-20,54.51,55.22,54.5,55.08,21500,psxdata,2026-05-11T12:53:55
NPL,2016-07-21,54.8,55.0,54.71,54.98,18000,psxdata,2026-05-11T12:53:55
NPL,2016-07-25,55.0,55.0,53.01,55.0,75500,psxdata,2026-05-11T12:53:55
NPL,2016-07-26,55.0,56.85,55.0,56.5,159500,psxdata,2026-05-11T12:53:55
NPL,2016-07-27,57.1,57.1,55.8,55.99,175000,psxdata,2026-05-11T12:53:55
NPL,2016-07-28,55.99,56.0,55.7,55.7,6500,psxdata,2026-05-11T12:53:55
NPL,2016-07-29,56.75,56.75,55.1,55.1,30500,psxdata,2026-05-11T12:53:55
NPL,2016-08-01,55.2,56.05,55.2,56.0,13000,psxdata,2026-05-11T12:53:55
NPL,2016-08-02,56.01,56.01,55.5,55.55,10500,psxdata,2026-05-11T12:53:55
NPL,2016-08-03,55.79,55.79,54.75,54.82,30500,psxdata,2026-05-11T12:53:55
NPL,2016-08-04,55.3,55.5,54.99,55.5,480000,psxdata,2026-05-11T12:53:55
NPL,2016-08-05,55.48,55.5,54.2,55.0,129000,psxdata,2026-05-11T12:53:55
NPL,2016-08-08,55.0,55.1,54.75,55.0,42500,psxdata,2026-05-11T12:53:55
NPL,2016-08-09,55.0,56.0,55.0,55.31,32500,psxdata,2026-05-11T12:53:55
NPL,2016-08-10,55.5,55.75,55.0,55.45,36000,psxdata,2026-05-11T12:53:55
NPL,2016-08-11,55.11,55.4,54.51,55.4,19500,psxdata,2026-05-11T12:53:55
NPL,2016-08-12,55.65,56.0,55.65,56.0,25000,psxdata,2026-05-11T12:53:55
NPL,2016-08-15,55.89,55.89,55.8,55.85,2000,psxdata,2026-05-11T12:53:55
NPL,2016-08-17,55.25,55.31,55.25,55.3,27500,psxdata,2026-05-11T12:53:55
NPL,2016-08-18,57.0,57.0,55.16,55.3,18500,psxdata,2026-05-11T12:53:55
NPL,2016-08-19,55.9,55.99,55.3,55.4,2000,psxdata,2026-05-11T12:53:55
NPL,2016-08-22,55.01,55.11,54.5,55.0,14000,psxdata,2026-05-11T12:53:55
NPL,2016-08-23,54.76,55.0,54.5,55.0,112000,psxdata,2026-05-11T12:53:55
NPL,2016-08-24,55.2,55.25,54.31,55.25,31000,psxdata,2026-05-11T12:53:55
NPL,2016-08-25,55.3,55.3,55.0,55.07,37500,psxdata,2026-05-11T12:53:55
NPL,2016-08-26,55.49,55.5,55.0,55.5,21500,psxdata,2026-05-11T12:53:55
NPL,2016-08-29,55.75,56.0,55.5,55.94,61500,psxdata,2026-05-11T12:53:55
NPL,2016-08-30,56.24,56.25,56.0,56.25,216000,psxdata,2026-05-11T12:53:55
NPL,2016-08-31,56.5,56.5,56.0,56.0,134000,psxdata,2026-05-11T12:53:55
NPL,2016-09-01,56.0,56.0,55.55,55.7,12000,psxdata,2026-05-11T12:53:55
NPL,2016-09-02,55.7,56.05,55.7,56.03,2500,psxdata,2026-05-11T12:53:55
NPL,2016-09-05,56.05,56.5,55.7,56.0,241500,psxdata,2026-05-11T12:53:55
NPL,2016-09-06,56.48,56.5,56.0,56.49,23000,psxdata,2026-05-11T12:53:55
NPL,2016-09-07,56.94,57.04,56.55,56.55,32000,psxdata,2026-05-11T12:53:55
