symbol,date,open,high,low,close,volume,source,collected_at
NRL,2016-05-11,352.8,354.85,347.5,349.38,243500,psxdata,2026-05-11T12:56:51
NRL,2016-05-12,352.35,353.4,347.0,347.74,132800,psxdata,2026-05-11T12:56:51
NRL,2016-05-13,348.0,350.0,345.1,347.15,92600,psxdata,2026-05-11T12:56:51
NRL,2016-05-16,348.0,362.25,348.0,352.58,438700,psxdata,2026-05-11T12:56:51
NRL,2016-05-17,355.0,357.75,350.05,351.29,182300,psxdata,2026-05-11T12:56:51
NRL,2016-05-18,353.25,354.01,350.41,351.79,51900,psxdata,2026-05-11T12:56:51
NRL,2016-05-19,353.0,358.75,353.0,355.15,375500,psxdata,2026-05-11T12:56:51
NRL,2016-05-20,355.0,362.99,354.0,358.99,341700,psxdata,2026-05-11T12:56:51
NRL,2016-05-23,359.5,376.93,359.5,376.93,398100,psxdata,2026-05-11T12:56:51
NRL,2016-05-24,386.5,395.77,376.93,386.36,664600,psxdata,2026-05-11T12:56:51
NRL,2016-05-25,391.0,391.8,375.9,377.16,320400,psxdata,2026-05-11T12:56:51
NRL,2016-05-26,378.01,384.88,375.25,376.44,201300,psxdata,2026-05-11T12:56:51
NRL,2016-05-27,376.5,376.5,370.52,371.49,172700,psxdata,2026-05-11T12:56:51
NRL,2016-05-30,372.0,372.0,353.5,355.13,312700,psxdata,2026-05-11T12:56:51
NRL,2016-05-31,355.5,362.21,351.0,355.84,191500,psxdata,2026-05-11T12:56:51
NRL,2016-06-01,359.98,367.7,355.84,365.54,220100,psxdata,2026-05-11T12:56:51
NRL,2016-06-02,367.0,382.45,364.0,376.86,484400,psxdata,2026-05-11T12:56:51
NRL,2016-06-03,377.5,385.0,376.51,381.13,309600,psxdata,2026-05-11T12:56:51
NRL,2016-06-06,381.0,400.18,379.0,400.18,513700,psxdata,2026-05-11T12:56:51
NRL,2016-06-07,408.0,409.0,395.19,397.04,306200,psxdata,2026-05-11T12:56:51
NRL,2016-06-08,399.79,399.85,390.5,393.02,98100,psxdata,2026-05-11T12:56:51
NRL,2016-06-09,394.0,412.67,393.5,412.67,510800,psxdata,2026-05-11T12:56:51
NRL,2016-06-10,418.9,433.3,409.0,427.59,925600,psxdata,2026-05-11T12:56:51
NRL,2016-06-13,424.0,425.0,408.28,415.95,478600,psxdata,2026-05-11T12:56:51
NRL,2016-06-14,417.8,431.2,417.8,421.38,537800,psxdata,2026-05-11T12:56:51
NRL,2016-06-15,426.0,428.85,412.25,416.27,503300,psxdata,2026-05-11T12:56:51
NRL,2016-06-16,415.1,421.99,411.5,418.08,376500,psxdata,2026-05-11T12:56:51
NRL,2016-06-17,419.99,438.98,419.99,438.98,868300,psxdata,2026-05-11T12:56:51
NRL,2016-06-20,446.0,460.92,443.5,452.23,844100,psxdata,2026-05-11T12:56:51
NRL,2016-06-21,453.02,453.23,444.0,445.98,211900,psxdata,2026-05-11T12:56:51
NRL,2016-06-22,445.0,468.27,445.0,468.27,630500,psxdata,2026-05-11T12:56:51
NRL,2016-06-23,474.99,491.68,466.0,489.18,986100,psxdata,2026-05-11T12:56:51
NRL,2016-06-24,490.0,498.0,464.73,480.69,969100,psxdata,2026-05-11T12:56:51
NRL,2016-06-27,479.99,492.5,475.0,478.23,466400,psxdata,2026-05-11T12:56:51
NRL,2016-06-28,477.0,482.5,460.0,462.93,441600,psxdata,2026-05-11T12:56:51
NRL,2016-06-29,469.06,486.07,465.2,483.03,492600,psxdata,2026-05-11T12:56:51
NRL,2016-06-30,484.99,492.1,472.0,475.4,362400,psxdata,2026-05-11T12:56:51
NRL,2016-07-04,477.0,494.0,471.5,490.17,662200,psxdata,2026-05-11T12:56:51
NRL,2016-07-11,494.0,514.67,490.25,513.22,890100,psxdata,2026-05-11T12:56:51
NRL,2016-07-12,518.0,538.88,515.0,534.29,1207600,psxdata,2026-05-11T12:56:51
NRL,2016-07-13,532.75,544.0,525.2,529.04,784200,psxdata,2026-05-11T12:56:51
NRL,2016-07-14,528.0,540.0,526.0,531.87,656500,psxdata,2026-05-11T12:56:51
NRL,2016-07-15,532.99,536.0,521.0,522.85,349700,psxdata,2026-05-11T12:56:51
NRL,2016-07-18,522.85,548.99,522.85,548.99,1038700,psxdata,2026-05-11T12:56:51
NRL,2016-07-19,550.0,572.48,548.0,554.58,1281200,psxdata,2026-05-11T12:56:51
NRL,2016-07-20,552.14,560.0,535.01,542.19,1002500,psxdata,2026-05-11T12:56:51
NRL,2016-07-21,546.89,547.99,534.5,536.56,510100,psxdata,2026-05-11T12:56:51
NRL,2016-07-22,541.0,559.89,540.1,555.02,1276800,psxdata,2026-05-11T12:56:51
NRL,2016-07-25,559.0,566.5,545.01,550.1,840200,psxdata,2026-05-11T12:56:51
NRL,2016-07-26,550.89,555.9,545.25,546.89,312700,psxdata,2026-05-11T12:56:51
NRL,2016-07-27,549.99,560.99,548.5,549.99,641600,psxdata,2026-05-11T12:56:51
NRL,2016-07-28,551.89,553.88,539.0,540.01,547500,psxdata,2026-05-11T12:56:51
