symbol,date,open,high,low,close,volume,source,collected_at
PACE,2016-05-11,6.3,6.44,6.24,6.31,3496500,psxdata,2026-05-11T12:51:05
PACE,2016-05-12,6.31,7.12,6.31,7.0,36890000,psxdata,2026-05-11T12:51:05
PACE,2016-05-13,7.18,7.42,7.07,7.14,24811000,psxdata,2026-05-11T12:51:05
PACE,2016-05-16,7.1,7.13,6.83,6.9,7128500,psxdata,2026-05-11T12:51:05
PACE,2016-05-17,6.95,6.96,6.7,6.74,3166500,psxdata,2026-05-11T12:51:05
PACE,2016-05-18,6.76,7.22,6.72,7.19,10409000,psxdata,2026-05-11T12:51:05
PACE,2016-05-19,7.38,7.45,7.17,7.21,10565000,psxdata,2026-05-11T12:51:05
PACE,2016-05-20,7.23,7.4,7.15,7.2,5184500,psxdata,2026-05-11T12:51:05
PACE,2016-05-23,7.35,7.4,7.05,7.08,4860500,psxdata,2026-05-11T12:51:05
PACE,2016-05-24,7.15,7.15,6.92,7.08,8103500,psxdata,2026-05-11T12:51:05
PACE,2016-05-25,7.15,7.6,7.15,7.41,22692500,psxdata,2026-05-11T12:51:05
PACE,2016-05-26,7.5,7.64,7.25,7.31,8287000,psxdata,2026-05-11T12:51:05
PACE,2016-05-27,7.32,7.43,7.24,7.26,2792500,psxdata,2026-05-11T12:51:05
PACE,2016-05-30,7.35,7.35,6.99,7.02,4022000,psxdata,2026-05-11T12:51:05
PACE,2016-05-31,7.05,7.17,6.79,6.87,5883500,psxdata,2026-05-11T12:51:05
PACE,2016-06-01,6.95,7.27,6.9,7.18,4318500,psxdata,2026-05-11T12:51:05
PACE,2016-06-02,7.25,7.35,7.1,7.13,2676500,psxdata,2026-05-11T12:51:05
PACE,2016-06-03,7.2,7.2,7.03,7.05,2521000,psxdata,2026-05-11T12:51:05
PACE,2016-06-06,6.95,7.07,6.9,6.93,1199500,psxdata,2026-05-11T12:51:05
PACE,2016-06-07,6.97,6.98,6.86,6.9,586500,psxdata,2026-05-11T12:51:05
PACE,2016-06-08,6.99,7.01,6.8,6.86,974500,psxdata,2026-05-11T12:51:05
PACE,2016-06-09,6.85,7.13,6.85,6.96,2441500,psxdata,2026-05-11T12:51:05
PACE,2016-06-10,7.0,7.04,6.8,6.83,1927000,psxdata,2026-05-11T12:51:05
PACE,2016-06-13,6.75,6.83,6.69,6.78,1333500,psxdata,2026-05-11T12:51:05
PACE,2016-06-14,6.85,6.98,6.75,6.78,1344000,psxdata,2026-05-11T12:51:05
PACE,2016-06-15,6.89,6.94,6.73,6.78,892000,psxdata,2026-05-11T12:51:05
PACE,2016-06-16,6.81,6.88,6.76,6.8,527500,psxdata,2026-05-11T12:51:05
PACE,2016-06-17,6.75,6.82,6.71,6.73,689500,psxdata,2026-05-11T12:51:05
PACE,2016-06-20,6.67,6.7,6.57,6.68,658000,psxdata,2026-05-11T12:51:05
PACE,2016-06-21,6.73,6.75,6.5,6.56,916500,psxdata,2026-05-11T12:51:05
PACE,2016-06-22,6.7,6.7,6.5,6.54,374500,psxdata,2026-05-11T12:51:05
PACE,2016-06-23,6.51,6.57,6.43,6.49,471500,psxdata,2026-05-11T12:51:05
PACE,2016-06-24,6.5,6.52,6.15,6.23,1682500,psxdata,2026-05-11T12:51:05
PACE,2016-06-27,6.27,6.3,6.06,6.22,1308000,psxdata,2026-05-11T12:51:05
PACE,2016-06-28,6.2,6.3,6.1,6.11,1018500,psxdata,2026-05-11T12:51:05
PACE,2016-06-29,6.19,6.44,6.19,6.38,1269000,psxdata,2026-05-11T12:51:05
PACE,2016-06-30,6.36,6.49,6.2,6.25,1113000,psxdata,2026-05-11T12:51:05
PACE,2016-07-04,6.27,6.35,6.25,6.32,477500,psxdata,2026-05-11T12:51:05
PACE,2016-07-11,6.3,6.35,6.2,6.29,461500,psxdata,2026-05-11T12:51:05
PACE,2016-07-12,6.34,6.34,6.18,6.2,1061000,psxdata,2026-05-11T12:51:05
PACE,2016-07-13,6.2,6.29,6.16,6.22,502500,psxdata,2026-05-11T12:51:05
PACE,2016-07-14,6.22,6.87,6.22,6.79,9346000,psxdata,2026-05-11T12:51:05
PACE,2016-07-15,6.82,7.15,6.8,6.95,7658500,psxdata,2026-05-11T12:51:05
PACE,2016-07-18,6.8,6.97,6.76,6.8,1256500,psxdata,2026-05-11T12:51:05
PACE,2016-07-19,6.85,6.86,6.68,6.72,1161000,psxdata,2026-05-11T12:51:05
PACE,2016-07-20,6.75,6.75,6.45,6.51,3402000,psxdata,2026-05-11T12:51:05
PACE,2016-07-21,6.55,6.65,6.5,6.56,1275000,psxdata,2026-05-11T12:51:05
PACE,2016-07-22,6.55,6.74,6.55,6.65,1444000,psxdata,2026-05-11T12:51:05
PACE,2016-07-25,6.65,6.74,6.48,6.51,1208500,psxdata,2026-05-11T12:51:05
PACE,2016-07-26,6.46,6.58,6.39,6.44,823000,psxdata,2026-05-11T12:51:05
PACE,2016-07-27,6.54,6.59,6.41,6.44,1019000,psxdata,2026-05-11T12:51:05
PACE,2016-07-28,6.43,6.55,6.33,6.39,1157500,psxdata,2026-05-11T12:51:05
PACE,2016-07-29,6.35,6.54,6.35,6.38,852000,psxdata,2026-05-11T12:51:05
PACE,2016-08-01,6.4,6.76,6.35,6.55,3369000,psxdata,2026-05-11T12:51:05
PACE,2016-08-02,6.48,6.77,6.48,6.69,3207000,psxdata,2026-05-11T12:51:05
PACE,2016-08-03,6.75,6.87,6.55,6.62,2010000,psxdata,2026-05-11T12:51:05
PACE,2016-08-04,6.69,6.93,6.69,6.77,2973000,psxdata,2026-05-11T12:51:05
PACE,2016-08-05,6.8,6.8,6.67,6.73,753500,psxdata,2026-05-11T12:51:05
PACE,2016-08-08,6.68,6.86,6.53,6.58,883000,psxdata,2026-05-11T12:51:05
PACE,2016-08-09,6.58,6.67,6.48,6.51,2414500,psxdata,2026-05-11T12:51:05
PACE,2016-08-10,6.56,6.64,6.42,6.47,1513500,psxdata,2026-05-11T12:51:05
PACE,2016-08-11,6.5,6.68,6.44,6.51,4075500,psxdata,2026-05-11T12:51:05
PACE,2016-08-12,6.51,6.73,6.51,6.56,2287000,psxdata,2026-05-11T12:51:05
PACE,2016-08-15,6.59,6.68,6.55,6.61,1011500,psxdata,2026-05-11T12:51:05
PACE,2016-08-16,6.67,6.79,6.61,6.64,2457500,psxdata,2026-05-11T12:51:05
PACE,2016-08-17,6.69,6.76,6.55,6.72,1983500,psxdata,2026-05-11T12:51:05
PACE,2016-08-18,6.76,7.1,6.75,6.79,12342500,psxdata,2026-05-11T12:51:05
PACE,2016-08-19,6.75,6.85,6.7,6.73,1428500,psxdata,2026-05-11T12:51:05
PACE,2016-08-22,6.67,6.77,6.56,6.63,1967500,psxdata,2026-05-11T12:51:05
PACE,2016-08-23,6.61,6.63,6.46,6.54,3085500,psxdata,2026-05-11T12:51:05
PACE,2016-08-24,6.58,6.59,6.47,6.53,1132000,psxdata,2026-05-11T12:51:05
PACE,2016-08-25,6.5,6.8,6.5,6.7,3370000,psxdata,2026-05-11T12:51:05
PACE,2016-08-26,6.8,7.24,6.6,7.17,23246500,psxdata,2026-05-11T12:51:05
PACE,2016-08-29,7.3,7.44,7.08,7.16,18883500,psxdata,2026-05-11T12:51:05
