symbol,date,open,high,low,close,volume,source,collected_at
PASL,2016-05-11,1.7,1.73,1.69,1.7,715500,psxdata,2026-05-11T12:51:43
PASL,2016-05-12,1.71,1.76,1.7,1.75,1258500,psxdata,2026-05-11T12:51:43
PASL,2016-05-13,1.78,1.82,1.75,1.8,683000,psxdata,2026-05-11T12:51:43
PASL,2016-05-16,1.82,1.86,1.79,1.8,573500,psxdata,2026-05-11T12:51:43
PASL,2016-05-17,1.85,1.85,1.75,1.78,476000,psxdata,2026-05-11T12:51:43
PASL,2016-05-18,1.79,1.83,1.77,1.78,88500,psxdata,2026-05-11T12:51:43
PASL,2016-05-19,1.77,1.85,1.77,1.81,619500,psxdata,2026-05-11T12:51:43
PASL,2016-05-20,1.85,1.95,1.84,1.9,1526000,psxdata,2026-05-11T12:51:43
PASL,2016-05-23,1.91,1.93,1.81,1.84,377500,psxdata,2026-05-11T12:51:43
PASL,2016-05-24,1.88,1.88,1.79,1.84,255000,psxdata,2026-05-11T12:51:43
PASL,2016-05-25,1.86,1.86,1.79,1.83,363000,psxdata,2026-05-11T12:51:43
PASL,2016-05-26,1.83,1.89,1.78,1.8,175000,psxdata,2026-05-11T12:51:43
PASL,2016-05-27,1.8,1.83,1.68,1.73,626000,psxdata,2026-05-11T12:51:43
PASL,2016-05-30,1.79,1.94,1.76,1.86,1420000,psxdata,2026-05-11T12:51:43
PASL,2016-05-31,1.84,1.84,1.75,1.77,562000,psxdata,2026-05-11T12:51:43
PASL,2016-06-01,1.8,1.82,1.76,1.79,283500,psxdata,2026-05-11T12:51:43
PASL,2016-06-02,1.77,1.83,1.76,1.79,252500,psxdata,2026-05-11T12:51:43
PASL,2016-06-03,1.85,1.9,1.8,1.89,781500,psxdata,2026-05-11T12:51:43
PASL,2016-06-06,1.91,1.91,1.81,1.84,492000,psxdata,2026-05-11T12:51:43
PASL,2016-06-07,1.78,1.82,1.75,1.79,336000,psxdata,2026-05-11T12:51:43
PASL,2016-06-08,1.76,1.82,1.74,1.75,254500,psxdata,2026-05-11T12:51:43
PASL,2016-06-09,1.78,1.8,1.72,1.74,371500,psxdata,2026-05-11T12:51:43
PASL,2016-06-10,1.71,1.75,1.7,1.71,918500,psxdata,2026-05-11T12:51:43
PASL,2016-06-13,1.67,1.75,1.67,1.73,176000,psxdata,2026-05-11T12:51:43
PASL,2016-06-14,1.74,1.77,1.71,1.75,206500,psxdata,2026-05-11T12:51:43
PASL,2016-06-15,1.8,1.8,1.72,1.74,233000,psxdata,2026-05-11T12:51:43
PASL,2016-06-16,1.73,1.75,1.71,1.72,364000,psxdata,2026-05-11T12:51:43
PASL,2016-06-17,1.7,1.74,1.7,1.71,433000,psxdata,2026-05-11T12:51:43
PASL,2016-06-20,1.67,1.74,1.67,1.69,282500,psxdata,2026-05-11T12:51:43
PASL,2016-06-21,1.68,1.76,1.68,1.74,298500,psxdata,2026-05-11T12:51:43
PASL,2016-06-22,1.7,1.72,1.68,1.7,633000,psxdata,2026-05-11T12:51:43
PASL,2016-06-23,1.74,1.74,1.66,1.7,320000,psxdata,2026-05-11T12:51:43
PASL,2016-06-24,1.67,1.7,1.61,1.66,573500,psxdata,2026-05-11T12:51:43
PASL,2016-06-27,1.72,1.72,1.65,1.68,310500,psxdata,2026-05-11T12:51:43
PASL,2016-06-28,1.68,1.7,1.65,1.65,227000,psxdata,2026-05-11T12:51:43
PASL,2016-06-29,1.7,1.7,1.65,1.66,307500,psxdata,2026-05-11T12:51:43
PASL,2016-06-30,1.66,1.67,1.63,1.66,315500,psxdata,2026-05-11T12:51:43
PASL,2016-07-04,1.68,1.69,1.63,1.68,79500,psxdata,2026-05-11T12:51:43
PASL,2016-07-11,1.6,1.69,1.6,1.68,264500,psxdata,2026-05-11T12:51:43
PASL,2016-07-12,1.69,1.74,1.68,1.7,385500,psxdata,2026-05-11T12:51:43
PASL,2016-07-13,1.71,1.74,1.7,1.7,217000,psxdata,2026-05-11T12:51:43
PASL,2016-07-14,1.73,1.73,1.68,1.7,144000,psxdata,2026-05-11T12:51:43
PASL,2016-07-15,1.68,1.75,1.67,1.7,252000,psxdata,2026-05-11T12:51:43
PASL,2016-07-18,1.69,1.74,1.68,1.68,69000,psxdata,2026-05-11T12:51:43
PASL,2016-07-19,1.68,1.69,1.65,1.66,508000,psxdata,2026-05-11T12:51:43
PASL,2016-07-20,1.63,1.69,1.63,1.66,420000,psxdata,2026-05-11T12:51:43
PASL,2016-07-21,1.65,1.7,1.63,1.67,931000,psxdata,2026-05-11T12:51:43
PASL,2016-07-22,1.65,1.68,1.6,1.64,246000,psxdata,2026-05-11T12:51:43
PASL,2016-07-25,1.65,1.66,1.61,1.64,286000,psxdata,2026-05-11T12:51:43
PASL,2016-07-26,1.63,1.67,1.6,1.62,701500,psxdata,2026-05-11T12:51:43
PASL,2016-07-27,1.61,1.63,1.57,1.58,287500,psxdata,2026-05-11T12:51:43
PASL,2016-07-28,1.6,1.84,1.54,1.72,3847000,psxdata,2026-05-11T12:51:43
PASL,2016-07-29,1.7,1.8,1.67,1.7,618500,psxdata,2026-05-11T12:51:43
PASL,2016-08-01,1.77,1.8,1.72,1.72,559500,psxdata,2026-05-11T12:51:43
PASL,2016-08-02,1.79,1.79,1.68,1.69,85500,psxdata,2026-05-11T12:51:43
PASL,2016-08-03,1.73,1.79,1.7,1.72,737000,psxdata,2026-05-11T12:51:43
PASL,2016-08-04,1.71,1.75,1.66,1.67,329000,psxdata,2026-05-11T12:51:43
PASL,2016-08-05,1.74,1.74,1.64,1.66,287500,psxdata,2026-05-11T12:51:43
PASL,2016-08-08,1.66,1.72,1.65,1.68,577000,psxdata,2026-05-11T12:51:43
PASL,2016-08-09,1.69,1.7,1.67,1.67,254000,psxdata,2026-05-11T12:51:43
PASL,2016-08-10,1.7,1.72,1.66,1.68,346500,psxdata,2026-05-11T12:51:43
PASL,2016-08-11,1.68,1.8,1.68,1.71,1116000,psxdata,2026-05-11T12:51:43
PASL,2016-08-12,1.76,1.79,1.68,1.69,444000,psxdata,2026-05-11T12:51:43
PASL,2016-08-15,1.7,1.71,1.65,1.67,238500,psxdata,2026-05-11T12:51:43
PASL,2016-08-16,1.73,1.73,1.64,1.65,585000,psxdata,2026-05-11T12:51:43
PASL,2016-08-17,1.65,1.69,1.63,1.65,445500,psxdata,2026-05-11T12:51:43
PASL,2016-08-18,1.68,1.69,1.63,1.64,358000,psxdata,2026-05-11T12:51:43
PASL,2016-08-19,1.65,1.68,1.62,1.63,545500,psxdata,2026-05-11T12:51:43
PASL,2016-08-22,1.62,1.77,1.62,1.74,1359000,psxdata,2026-05-11T12:51:43
PASL,2016-08-23,1.77,1.9,1.74,1.78,2310500,psxdata,2026-05-11T12:51:43
PASL,2016-08-24,1.79,1.82,1.73,1.79,545500,psxdata,2026-05-11T12:51:43
PASL,2016-08-25,1.82,1.84,1.76,1.81,1273000,psxdata,2026-05-11T12:51:43
PASL,2016-08-26,1.83,1.85,1.75,1.8,1126000,psxdata,2026-05-11T12:51:43
PASL,2016-08-29,1.84,1.85,1.78,1.8,668500,psxdata,2026-05-11T12:51:43
PASL,2016-08-30,1.83,2.09,1.76,1.98,6471500,psxdata,2026-05-11T12:51:43
PASL,2016-08-31,2.05,2.15,2.0,2.04,5498500,psxdata,2026-05-11T12:51:43
PASL,2016-09-01,2.1,2.29,2.1,2.25,7144500,psxdata,2026-05-11T12:51:43
PASL,2016-09-02,2.3,2.48,2.15,2.22,8961000,psxdata,2026-05-11T12:51:43
PASL,2016-09-05,2.27,2.27,2.03,2.07,2903000,psxdata,2026-05-11T12:51:43
PASL,2016-09-06,2.05,2.05,1.92,1.96,3370500,psxdata,2026-05-11T12:51:43
PASL,2016-09-07,1.96,2.2,1.87,2.17,3911500,psxdata,2026-05-11T12:51:43
PASL,2016-09-08,2.25,2.29,2.11,2.2,6141500,psxdata,2026-05-11T12:51:43
PASL,2016-09-09,2.31,2.65,2.31,2.45,24402500,psxdata,2026-05-11T12:51:43
PASL,2016-09-15,2.54,2.75,2.54,2.64,8084000,psxdata,2026-05-11T12:51:43
PASL,2016-09-16,2.79,2.94,2.65,2.72,15751500,psxdata,2026-05-11T12:51:43
PASL,2016-09-19,2.82,3.14,2.75,3.02,22183500,psxdata,2026-05-11T12:51:43
PASL,2016-09-20,3.06,3.11,2.02,2.69,11694000,psxdata,2026-05-11T12:51:43
PASL,2016-09-21,2.7,2.7,2.16,2.32,10669000,psxdata,2026-05-11T12:51:43
PASL,2016-09-22,2.38,2.89,2.38,2.81,10914500,psxdata,2026-05-11T12:51:43
PASL,2016-09-23,2.91,3.05,2.65,2.8,15586500,psxdata,2026-05-11T12:51:43
PASL,2016-09-26,2.79,3.18,2.79,3.13,22541000,psxdata,2026-05-11T12:51:43
PASL,2016-09-27,3.16,3.25,2.89,2.98,10327000,psxdata,2026-05-11T12:51:43
PASL,2016-09-28,2.93,2.98,2.7,2.74,6391000,psxdata,2026-05-11T12:51:43
PASL,2016-09-29,2.81,2.88,2.5,2.61,5545500,psxdata,2026-05-11T12:51:43
PASL,2016-09-30,2.65,2.88,2.56,2.73,6300500,psxdata,2026-05-11T12:51:43
PASL,2016-10-03,2.85,2.95,2.79,2.81,6277500,psxdata,2026-05-11T12:51:43
PASL,2016-10-04,2.88,2.88,2.66,2.7,3336000,psxdata,2026-05-11T12:51:43
PASL,2016-10-05,2.7,2.76,2.67,2.73,2963000,psxdata,2026-05-11T12:51:43
PASL,2016-10-06,2.7,3.07,2.7,2.98,14437000,psxdata,2026-05-11T12:51:43
PASL,2016-10-07,3.07,3.13,2.86,2.93,7281000,psxdata,2026-05-11T12:51:43
PASL,2016-10-10,2.88,2.94,2.81,2.85,1586500,psxdata,2026-05-11T12:51:43
PASL,2016-10-13,2.88,2.96,2.6,2.62,9154000,psxdata,2026-05-11T12:51:43
PASL,2016-10-14,2.6,2.73,2.5,2.69,3528500,psxdata,2026-05-11T12:51:43
PASL,2016-10-17,2.74,2.77,2.51,2.53,3446000,psxdata,2026-05-11T12:51:43
PASL,2016-10-18,2.55,2.57,2.41,2.52,1797000,psxdata,2026-05-11T12:51:43
PASL,2016-10-19,2.55,2.69,2.5,2.61,2090000,psxdata,2026-05-11T12:51:43
PASL,2016-10-20,2.65,2.79,2.55,2.65,5963000,psxdata,2026-05-11T12:51:43
PASL,2016-10-21,2.65,2.9,2.61,2.72,9950000,psxdata,2026-05-11T12:51:43
PASL,2016-10-24,2.71,2.75,2.51,2.53,2881000,psxdata,2026-05-11T12:51:43
PASL,2016-10-25,2.5,2.5,2.29,2.43,2823500,psxdata,2026-05-11T12:51:43
PASL,2016-10-26,2.53,2.55,2.4,2.4,1840000,psxdata,2026-05-11T12:51:43
PASL,2016-10-27,2.42,2.47,2.11,2.16,2717000,psxdata,2026-05-11T12:51:43
PASL,2016-10-28,2.04,2.29,2.0,2.24,2330500,psxdata,2026-05-11T12:51:43
PASL,2016-10-31,2.24,2.34,2.11,2.21,1013500,psxdata,2026-05-11T12:51:43
PASL,2016-11-01,2.25,2.7,2.2,2.63,3818500,psxdata,2026-05-11T12:51:43
PASL,2016-11-02,2.74,2.74,2.55,2.59,4023000,psxdata,2026-05-11T12:51:43
PASL,2016-11-03,2.62,2.65,2.48,2.5,1245500,psxdata,2026-05-11T12:51:43
PASL,2016-11-04,2.55,2.55,2.4,2.42,1165500,psxdata,2026-05-11T12:51:43
