symbol,date,open,high,low,close,volume,source,collected_at
PIAHCLA,2016-05-11,8.1,8.15,7.83,7.86,1148000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-12,7.9,7.95,7.77,7.82,1237500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-13,7.89,7.98,7.7,7.78,462000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-16,7.85,7.85,7.76,7.78,913000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-17,7.73,7.93,7.72,7.75,614000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-18,7.82,7.82,7.7,7.74,955000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-19,7.74,7.9,7.7,7.75,1048000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-20,7.75,7.91,7.73,7.76,1117000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-23,7.8,7.89,7.65,7.76,639000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-24,7.85,8.24,7.83,7.88,4168000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-25,7.88,7.92,7.78,7.79,667500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-26,7.81,7.85,7.69,7.71,609500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-27,7.77,7.81,7.65,7.67,576000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-30,7.67,7.74,7.6,7.69,803000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-05-31,7.61,7.69,7.6,7.65,412000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-01,7.75,7.75,7.61,7.7,458500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-02,7.71,7.97,7.7,7.89,1627500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-03,7.88,8.13,7.88,7.99,3813000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-06,7.86,7.97,7.8,7.81,753500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-07,7.81,7.84,7.74,7.79,141500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-08,7.75,7.84,7.6,7.66,517000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-09,7.73,7.75,7.55,7.66,665500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-10,7.62,7.63,7.45,7.5,533000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-13,7.5,7.5,7.3,7.37,888500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-14,7.48,7.5,7.4,7.45,192000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-15,7.65,7.65,7.49,7.61,563500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-16,7.52,7.82,7.51,7.63,1309500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-17,7.6,7.85,7.5,7.52,601500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-20,7.52,7.61,7.31,7.35,325000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-21,7.35,7.4,7.3,7.35,290000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-22,7.31,7.38,7.28,7.3,289500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-23,7.3,7.34,7.27,7.28,86500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-24,7.26,7.32,7.08,7.24,1454000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-27,7.25,7.29,7.1,7.14,858000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-28,7.24,7.25,6.99,7.02,1744500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-29,7.15,7.29,7.05,7.17,496500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-06-30,7.15,7.15,7.03,7.08,265500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-04,7.04,7.18,7.04,7.15,426000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-11,7.15,7.2,7.06,7.09,1047000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-12,7.34,7.63,7.09,7.34,3081500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-13,7.39,7.4,7.25,7.31,557000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-14,7.24,7.43,7.24,7.41,826000,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-15,7.41,7.54,7.36,7.41,971500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-18,7.44,7.52,7.32,7.34,633500,psxdata,2026-05-11T12:51:36
PIAHCLA,2016-07-19,7.4,7.45,7.3,7.32,235000,psxdata,2026-05-11T12:51:36
