symbol,date,open,high,low,close,volume,source,collected_at
PREMA,2018-07-30,22.05,22.05,22.05,22.05,202000,psxdata,2026-05-11T12:53:59
PREMA,2018-07-31,23.15,23.15,23.15,23.15,3500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-01,24.3,24.3,24.3,24.3,699000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-02,25.51,25.51,24.7,25.51,3159500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-03,25.79,26.68,24.85,25.24,2945000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-06,25.5,25.5,24.55,24.83,475500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-07,24.72,26.0,24.57,25.8,1575500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-08,26.23,27.09,25.8,27.09,2061500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-09,27.95,28.44,27.5,27.92,5296000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-10,28.4,28.58,26.6,27.65,4611000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-13,27.55,29.03,27.55,29.03,3086000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-15,29.5,30.2,28.3,28.77,3385500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-16,28.5,28.95,27.34,28.55,2765000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-17,29.0,29.95,28.8,29.49,5540000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-20,30.0,30.96,29.12,29.97,6795000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-24,31.0,31.46,30.25,31.42,7223500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-27,32.0,32.09,30.45,30.83,4583500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-28,30.6,31.0,29.75,30.05,2955500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-29,30.1,31.55,29.8,31.55,3207000,psxdata,2026-05-11T12:53:59
PREMA,2018-08-30,33.12,33.12,31.7,33.04,7167500,psxdata,2026-05-11T12:53:59
PREMA,2018-08-31,33.25,33.6,32.6,32.76,4278500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-03,32.75,32.75,31.13,31.51,4128500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-04,31.74,31.9,29.94,30.02,3243500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-05,30.19,30.8,29.3,29.61,1887000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-06,29.25,30.0,28.13,28.13,2079500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-07,27.75,28.34,26.73,27.04,1387000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-10,26.8,27.5,25.8,27.26,2257500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-11,27.35,28.62,27.11,28.62,4158000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-12,29.0,29.35,27.27,27.72,2783500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-13,27.41,29.1,27.25,28.57,2724000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-14,28.7,29.04,27.86,28.1,1151000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-17,28.3,28.6,26.95,27.25,863500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-18,26.95,28.2,26.62,27.64,1207500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-19,28.0,28.0,27.35,27.4,478000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-24,27.44,27.8,26.6,26.72,310000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-25,26.55,27.35,26.15,26.31,504500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-26,26.32,26.85,26.15,26.43,356500,psxdata,2026-05-11T12:53:59
PREMA,2018-09-27,26.77,26.77,25.11,25.94,625000,psxdata,2026-05-11T12:53:59
PREMA,2018-09-28,25.51,25.9,25.1,25.2,539500,psxdata,2026-05-11T12:53:59
PREMA,2018-10-01,25.49,25.65,24.75,25.2,760500,psxdata,2026-05-11T12:53:59
PREMA,2018-10-02,25.48,25.49,24.2,24.37,873000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-03,24.2,24.4,23.99,24.29,381000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-04,24.02,24.8,23.8,24.08,562000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-05,24.44,24.44,22.88,23.03,333000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-08,23.54,23.54,21.88,21.88,870000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-09,21.8,22.35,20.79,20.79,2647000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-10,20.6,21.2,19.76,20.7,1166000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-11,20.87,20.99,20.0,20.18,693000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-12,20.0,20.0,19.18,19.18,339000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-15,18.5,19.66,18.25,19.02,1578000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-16,19.49,19.8,18.25,18.35,251500,psxdata,2026-05-11T12:53:59
PREMA,2018-10-17,18.75,19.35,18.65,19.35,488000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-18,19.77,20.35,19.7,20.35,678500,psxdata,2026-05-11T12:53:59
PREMA,2018-10-19,20.75,21.36,20.6,21.36,1437000,psxdata,2026-05-11T12:53:59
PREMA,2018-10-22,21.92,22.42,21.9,22.39,1533500,psxdata,2026-05-11T12:53:59
