symbol,date,open,high,low,close,volume,source,collected_at
PRL,2016-05-11,45.64,45.65,44.9,45.1,883500,psxdata,2026-05-11T12:51:29
PRL,2016-05-12,45.39,45.6,44.96,45.06,1018000,psxdata,2026-05-11T12:51:29
PRL,2016-05-13,45.1,45.37,44.82,44.92,573000,psxdata,2026-05-11T12:51:29
PRL,2016-05-16,45.0,46.01,45.0,45.35,1673000,psxdata,2026-05-11T12:51:29
PRL,2016-05-17,45.8,46.25,45.5,45.7,2570000,psxdata,2026-05-11T12:51:29
PRL,2016-05-18,45.7,46.85,45.7,46.32,4313000,psxdata,2026-05-11T12:51:29
PRL,2016-05-19,46.65,46.94,46.2,46.34,2557000,psxdata,2026-05-11T12:51:29
PRL,2016-05-20,46.75,46.75,45.8,45.92,1805500,psxdata,2026-05-11T12:51:29
PRL,2016-05-23,46.25,47.61,46.18,46.92,7147000,psxdata,2026-05-11T12:51:29
PRL,2016-05-24,47.3,47.8,46.29,46.46,6016000,psxdata,2026-05-11T12:51:29
PRL,2016-05-25,46.72,46.75,45.95,46.1,2267000,psxdata,2026-05-11T12:51:29
PRL,2016-05-26,46.38,46.39,45.55,45.65,789500,psxdata,2026-05-11T12:51:29
PRL,2016-05-27,45.79,46.25,45.32,45.44,787000,psxdata,2026-05-11T12:51:29
PRL,2016-05-30,45.52,45.56,44.2,44.42,743000,psxdata,2026-05-11T12:51:29
PRL,2016-05-31,44.65,44.95,43.6,43.93,633500,psxdata,2026-05-11T12:51:29
PRL,2016-06-01,44.2,44.95,44.17,44.7,824500,psxdata,2026-05-11T12:51:29
PRL,2016-06-02,44.85,45.33,44.65,44.72,806000,psxdata,2026-05-11T12:51:29
PRL,2016-06-03,45.05,45.11,43.91,44.08,1196500,psxdata,2026-05-11T12:51:29
PRL,2016-06-06,44.4,44.99,43.7,44.65,986500,psxdata,2026-05-11T12:51:29
PRL,2016-06-07,44.7,44.74,43.95,44.02,960500,psxdata,2026-05-11T12:51:29
PRL,2016-06-08,44.3,44.3,43.8,43.96,482000,psxdata,2026-05-11T12:51:29
PRL,2016-06-09,44.26,45.15,44.2,44.55,1552000,psxdata,2026-05-11T12:51:29
PRL,2016-06-10,44.75,44.8,43.8,43.89,769000,psxdata,2026-05-11T12:51:29
PRL,2016-06-13,43.85,43.85,42.5,42.67,820500,psxdata,2026-05-11T12:51:29
PRL,2016-06-14,42.98,43.5,42.79,42.96,677000,psxdata,2026-05-11T12:51:29
PRL,2016-06-15,43.8,43.8,42.8,42.9,1177000,psxdata,2026-05-11T12:51:29
PRL,2016-06-16,42.99,43.65,42.99,43.11,581500,psxdata,2026-05-11T12:51:29
PRL,2016-06-17,43.38,43.5,42.76,42.86,716500,psxdata,2026-05-11T12:51:29
PRL,2016-06-20,43.45,43.49,42.86,43.27,857000,psxdata,2026-05-11T12:51:29
PRL,2016-06-21,43.39,43.39,42.8,42.83,326000,psxdata,2026-05-11T12:51:29
PRL,2016-06-22,42.85,43.19,42.4,42.55,330500,psxdata,2026-05-11T12:51:29
PRL,2016-06-23,42.55,42.95,42.55,42.64,291500,psxdata,2026-05-11T12:51:29
PRL,2016-06-24,42.52,42.52,40.51,40.72,1115500,psxdata,2026-05-11T12:51:29
PRL,2016-06-27,41.49,41.49,40.3,40.49,609500,psxdata,2026-05-11T12:51:29
PRL,2016-06-28,40.55,40.8,40.01,40.26,588000,psxdata,2026-05-11T12:51:29
PRL,2016-06-29,40.35,41.69,40.35,41.47,489500,psxdata,2026-05-11T12:51:29
PRL,2016-06-30,41.41,41.95,41.07,41.18,285500,psxdata,2026-05-11T12:51:29
PRL,2016-07-04,41.0,41.99,40.9,41.84,443000,psxdata,2026-05-11T12:51:29
PRL,2016-07-11,42.0,43.93,41.75,43.41,1253000,psxdata,2026-05-11T12:51:29
PRL,2016-07-12,44.1,45.58,44.1,45.55,7044500,psxdata,2026-05-11T12:51:29
PRL,2016-07-13,46.0,46.94,45.2,45.43,6780000,psxdata,2026-05-11T12:51:29
PRL,2016-07-14,45.5,46.7,45.33,46.35,4429500,psxdata,2026-05-11T12:51:29
PRL,2016-07-15,46.34,46.4,45.5,45.61,2029500,psxdata,2026-05-11T12:51:29
PRL,2016-07-18,45.9,46.08,45.45,45.82,1516500,psxdata,2026-05-11T12:51:29
PRL,2016-07-19,46.21,46.44,45.5,45.63,1611000,psxdata,2026-05-11T12:51:29
PRL,2016-07-20,45.85,46.05,45.25,45.37,904500,psxdata,2026-05-11T12:51:29
PRL,2016-07-21,45.56,46.0,45.25,45.56,1007500,psxdata,2026-05-11T12:51:29
PRL,2016-07-22,45.72,47.48,45.0,47.25,5784000,psxdata,2026-05-11T12:51:29
PRL,2016-07-25,47.84,49.3,47.3,48.7,10531000,psxdata,2026-05-11T12:51:29
PRL,2016-07-26,49.09,49.7,48.2,48.42,8180500,psxdata,2026-05-11T12:51:29
PRL,2016-07-27,48.5,48.7,47.1,47.27,2316000,psxdata,2026-05-11T12:51:29
PRL,2016-07-28,47.31,47.9,46.3,46.6,1512500,psxdata,2026-05-11T12:51:29
PRL,2016-07-29,46.69,47.05,46.11,46.68,587500,psxdata,2026-05-11T12:51:29
PRL,2016-08-01,46.75,48.75,46.6,47.89,2852000,psxdata,2026-05-11T12:51:29
PRL,2016-08-02,47.71,48.3,47.51,47.6,1282000,psxdata,2026-05-11T12:51:29
PRL,2016-08-03,47.7,48.1,47.0,47.12,1396500,psxdata,2026-05-11T12:51:29
PRL,2016-08-04,47.4,47.6,46.7,46.84,1081000,psxdata,2026-05-11T12:51:29
PRL,2016-08-05,47.0,47.24,46.0,46.28,881000,psxdata,2026-05-11T12:51:29
PRL,2016-08-08,46.4,46.75,46.07,46.37,608000,psxdata,2026-05-11T12:51:29
PRL,2016-08-09,46.38,47.09,46.36,46.4,429500,psxdata,2026-05-11T12:51:29
PRL,2016-08-10,46.43,47.97,46.4,47.27,2832000,psxdata,2026-05-11T12:51:29
PRL,2016-08-11,47.35,47.55,46.3,46.51,968000,psxdata,2026-05-11T12:51:29
PRL,2016-08-12,46.73,47.25,46.41,46.54,1285500,psxdata,2026-05-11T12:51:29
PRL,2016-08-15,46.8,47.37,46.5,46.57,1250500,psxdata,2026-05-11T12:51:29
PRL,2016-08-16,46.7,47.6,46.7,46.9,3031500,psxdata,2026-05-11T12:51:29
PRL,2016-08-17,47.1,47.45,46.95,47.18,1280500,psxdata,2026-05-11T12:51:29
PRL,2016-08-18,47.3,47.89,46.7,46.78,2017000,psxdata,2026-05-11T12:51:29
PRL,2016-08-19,47.0,47.5,46.5,46.7,1501500,psxdata,2026-05-11T12:51:29
PRL,2016-08-22,46.85,46.9,45.9,46.13,1020000,psxdata,2026-05-11T12:51:29
PRL,2016-08-23,44.9,44.99,43.83,43.83,4460500,psxdata,2026-05-11T12:51:29
PRL,2016-08-24,43.52,43.8,43.01,43.1,1003500,psxdata,2026-05-11T12:51:29
PRL,2016-08-25,43.35,43.72,43.0,43.49,1016500,psxdata,2026-05-11T12:51:29
PRL,2016-08-26,43.55,44.6,43.55,44.06,1840500,psxdata,2026-05-11T12:51:29
PRL,2016-08-29,44.25,44.4,43.95,44.05,1084500,psxdata,2026-05-11T12:51:29
PRL,2016-08-30,44.2,44.3,43.6,43.76,585000,psxdata,2026-05-11T12:51:29
PRL,2016-08-31,43.9,44.14,43.55,43.73,506000,psxdata,2026-05-11T12:51:29
PRL,2016-09-01,43.75,43.83,43.2,43.32,634500,psxdata,2026-05-11T12:51:29
PRL,2016-09-02,43.4,43.59,43.01,43.07,546000,psxdata,2026-05-11T12:51:29
PRL,2016-09-05,43.26,43.6,42.5,43.09,849000,psxdata,2026-05-11T12:51:29
PRL,2016-09-06,42.84,43.5,42.84,43.14,329500,psxdata,2026-05-11T12:51:29
PRL,2016-09-07,43.29,43.66,43.08,43.44,1232500,psxdata,2026-05-11T12:51:29
PRL,2016-09-08,43.61,43.69,43.01,43.12,558000,psxdata,2026-05-11T12:51:29
PRL,2016-09-09,43.1,44.2,43.1,43.51,1619000,psxdata,2026-05-11T12:51:29
PRL,2016-09-15,43.31,43.5,42.99,43.19,565500,psxdata,2026-05-11T12:51:29
PRL,2016-09-16,43.2,44.02,43.15,43.32,1130000,psxdata,2026-05-11T12:51:29
PRL,2016-09-19,43.5,43.95,43.5,43.68,1090500,psxdata,2026-05-11T12:51:29
PRL,2016-09-20,43.94,45.86,43.88,45.81,6629000,psxdata,2026-05-11T12:51:29
PRL,2016-09-21,46.1,46.49,43.85,43.99,3600500,psxdata,2026-05-11T12:51:29
PRL,2016-09-22,44.6,44.87,44.12,44.21,1134500,psxdata,2026-05-11T12:51:29
PRL,2016-09-23,44.5,44.5,42.95,43.06,935000,psxdata,2026-05-11T12:51:29
PRL,2016-09-26,43.45,43.99,43.4,43.67,828000,psxdata,2026-05-11T12:51:29
PRL,2016-09-27,43.95,45.4,43.55,45.22,2768000,psxdata,2026-05-11T12:51:29
PRL,2016-09-28,45.4,45.65,44.16,44.35,1700000,psxdata,2026-05-11T12:51:29
PRL,2016-09-29,45.25,45.25,44.11,44.3,2480500,psxdata,2026-05-11T12:51:29
PRL,2016-09-30,44.59,45.1,44.31,44.68,612000,psxdata,2026-05-11T12:51:29
PRL,2016-10-03,45.4,45.79,45.0,45.56,2824000,psxdata,2026-05-11T12:51:29
PRL,2016-10-04,45.78,46.1,45.0,45.03,1382000,psxdata,2026-05-11T12:51:29
PRL,2016-10-05,45.2,46.44,44.75,45.76,2663000,psxdata,2026-05-11T12:51:29
PRL,2016-10-06,45.92,46.2,45.01,45.17,1058000,psxdata,2026-05-11T12:51:29
PRL,2016-10-07,45.25,45.9,45.02,45.12,973500,psxdata,2026-05-11T12:51:29
PRL,2016-10-10,45.2,45.6,44.99,45.1,777500,psxdata,2026-05-11T12:51:29
PRL,2016-10-13,45.33,45.53,44.36,44.54,933000,psxdata,2026-05-11T12:51:29
PRL,2016-10-14,44.5,45.1,44.35,44.52,1470000,psxdata,2026-05-11T12:51:29
PRL,2016-10-17,45.0,45.9,44.75,44.88,2113000,psxdata,2026-05-11T12:51:29
PRL,2016-10-18,45.05,45.1,44.01,44.31,573500,psxdata,2026-05-11T12:51:29
PRL,2016-10-19,44.59,44.75,43.9,44.57,571500,psxdata,2026-05-11T12:51:29
PRL,2016-10-20,44.6,45.09,44.5,44.74,1093500,psxdata,2026-05-11T12:51:29
PRL,2016-10-21,44.3,44.7,44.2,44.28,905500,psxdata,2026-05-11T12:51:29
PRL,2016-10-24,44.2,44.36,43.51,43.78,571000,psxdata,2026-05-11T12:51:29
PRL,2016-10-25,43.21,43.21,42.6,42.81,586500,psxdata,2026-05-11T12:51:29
PRL,2016-10-26,43.06,43.1,42.05,42.57,317500,psxdata,2026-05-11T12:51:29
PRL,2016-10-27,42.16,42.5,40.45,40.5,781500,psxdata,2026-05-11T12:51:29
PRL,2016-10-28,40.02,40.5,39.02,40.15,461500,psxdata,2026-05-11T12:51:29
PRL,2016-10-31,40.16,40.45,39.65,40.13,351500,psxdata,2026-05-11T12:51:29
PRL,2016-11-01,39.99,42.13,39.99,42.13,957500,psxdata,2026-05-11T12:51:29
PRL,2016-11-02,42.6,44.01,42.0,43.06,1640000,psxdata,2026-05-11T12:51:29
PRL,2016-11-03,43.0,43.77,42.5,42.96,1027000,psxdata,2026-05-11T12:51:29
PRL,2016-11-04,43.0,43.25,42.0,42.19,948000,psxdata,2026-05-11T12:51:29
PRL,2016-11-07,42.35,43.44,42.17,42.92,1976500,psxdata,2026-05-11T12:51:29
PRL,2016-11-08,43.3,43.39,42.5,42.64,1109500,psxdata,2026-05-11T12:51:29
PRL,2016-11-09,42.05,42.7,41.9,42.53,752500,psxdata,2026-05-11T12:51:29
PRL,2016-11-10,42.56,42.98,42.5,42.75,601000,psxdata,2026-05-11T12:51:29
PRL,2016-11-11,42.62,42.8,42.4,42.48,389000,psxdata,2026-05-11T12:51:29
PRL,2016-11-14,42.45,42.75,42.21,42.32,229500,psxdata,2026-05-11T12:51:29
PRL,2016-11-15,42.42,42.43,42.0,42.13,340000,psxdata,2026-05-11T12:51:29
