symbol,date,open,high,low,close,volume,source,collected_at
PSO,2016-05-11,372.5,377.65,370.55,374.49,1574900,psxdata,2026-05-11T12:54:15
PSO,2016-05-12,377.0,381.88,377.0,378.84,1292900,psxdata,2026-05-11T12:54:15
PSO,2016-05-13,378.5,379.5,374.5,376.96,302400,psxdata,2026-05-11T12:54:15
PSO,2016-05-16,379.0,380.0,376.0,378.89,407400,psxdata,2026-05-11T12:54:15
PSO,2016-05-17,381.0,385.0,379.0,379.62,733300,psxdata,2026-05-11T12:54:15
PSO,2016-05-18,381.0,381.65,378.01,380.52,314800,psxdata,2026-05-11T12:54:15
PSO,2016-05-19,380.0,380.0,376.75,379.01,497400,psxdata,2026-05-11T12:54:15
PSO,2016-05-20,383.0,384.0,379.5,381.56,858600,psxdata,2026-05-11T12:54:15
PSO,2016-05-23,381.99,383.88,379.2,381.92,234300,psxdata,2026-05-11T12:54:15
PSO,2016-05-24,382.48,382.48,379.15,379.87,193300,psxdata,2026-05-11T12:54:15
PSO,2016-05-25,383.4,383.4,378.5,378.95,581400,psxdata,2026-05-11T12:54:15
PSO,2016-05-26,381.5,382.0,379.5,380.23,208400,psxdata,2026-05-11T12:54:15
PSO,2016-05-27,379.04,384.0,378.8,381.68,287900,psxdata,2026-05-11T12:54:15
PSO,2016-05-30,380.5,381.0,377.0,379.35,318900,psxdata,2026-05-11T12:54:15
PSO,2016-05-31,380.0,382.0,373.0,374.95,469000,psxdata,2026-05-11T12:54:15
PSO,2016-06-01,373.11,379.5,373.0,377.6,203500,psxdata,2026-05-11T12:54:15
PSO,2016-06-02,379.99,380.0,377.5,379.78,277800,psxdata,2026-05-11T12:54:15
PSO,2016-06-03,379.95,385.75,379.0,382.7,1001200,psxdata,2026-05-11T12:54:15
PSO,2016-06-06,383.51,385.0,381.11,381.88,215700,psxdata,2026-05-11T12:54:15
PSO,2016-06-07,383.0,383.98,378.5,379.22,223000,psxdata,2026-05-11T12:54:15
PSO,2016-06-08,383.98,384.85,380.0,380.89,919300,psxdata,2026-05-11T12:54:15
PSO,2016-06-09,382.95,383.85,380.05,381.14,45900,psxdata,2026-05-11T12:54:15
PSO,2016-06-10,380.8,380.8,372.5,373.53,500000,psxdata,2026-05-11T12:54:15
PSO,2016-06-13,371.0,376.0,368.0,373.58,394400,psxdata,2026-05-11T12:54:15
PSO,2016-06-14,375.5,381.0,375.5,380.08,613400,psxdata,2026-05-11T12:54:15
PSO,2016-06-15,399.08,399.08,387.99,399.02,2971000,psxdata,2026-05-11T12:54:15
PSO,2016-06-16,400.99,401.9,394.0,394.67,1007400,psxdata,2026-05-11T12:54:15
PSO,2016-06-17,395.99,396.99,390.0,394.02,688200,psxdata,2026-05-11T12:54:15
PSO,2016-06-20,397.5,399.0,391.5,393.14,431400,psxdata,2026-05-11T12:54:15
PSO,2016-06-21,393.99,394.0,391.5,392.22,180900,psxdata,2026-05-11T12:54:15
PSO,2016-06-22,392.49,393.94,389.5,390.07,216900,psxdata,2026-05-11T12:54:15
