symbol,date,open,high,low,close,volume,source,collected_at
PSX,2017-06-29,26.7,27.85,26.6,26.6,2657500,psxdata,2026-05-11T12:55:58
PSX,2017-06-30,26.0,26.94,25.6,25.68,6488500,psxdata,2026-05-11T12:55:58
PSX,2017-07-03,25.5,26.0,24.51,24.6,1476000,psxdata,2026-05-11T12:55:58
PSX,2017-07-04,24.3,25.5,24.2,25.0,1250000,psxdata,2026-05-11T12:55:58
PSX,2017-07-05,25.0,25.25,24.3,24.75,309500,psxdata,2026-05-11T12:55:58
PSX,2017-07-06,24.7,24.9,23.53,23.61,793500,psxdata,2026-05-11T12:55:58
PSX,2017-07-07,23.65,24.78,23.65,24.65,616500,psxdata,2026-05-11T12:55:58
PSX,2017-07-10,24.0,25.35,24.0,25.25,1390000,psxdata,2026-05-11T12:55:58
PSX,2017-07-11,24.55,24.55,23.99,23.99,1002000,psxdata,2026-05-11T12:55:58
PSX,2017-07-12,23.4,24.0,22.8,22.8,2448000,psxdata,2026-05-11T12:55:58
PSX,2017-07-13,23.1,23.14,21.9,22.0,1412500,psxdata,2026-05-11T12:55:58
PSX,2017-07-14,22.25,22.25,21.7,22.12,674000,psxdata,2026-05-11T12:55:58
PSX,2017-07-17,22.0,22.68,21.9,22.09,321000,psxdata,2026-05-11T12:55:58
PSX,2017-07-18,21.85,23.19,21.85,22.72,1125500,psxdata,2026-05-11T12:55:58
PSX,2017-07-19,22.95,22.95,22.1,22.17,557500,psxdata,2026-05-11T12:55:58
PSX,2017-07-20,22.6,22.65,21.95,22.06,593000,psxdata,2026-05-11T12:55:58
PSX,2017-07-21,21.8,21.8,21.25,21.49,579000,psxdata,2026-05-11T12:55:58
PSX,2017-07-24,21.55,21.89,21.42,21.5,395500,psxdata,2026-05-11T12:55:58
PSX,2017-07-25,21.49,22.57,21.4,22.45,1758500,psxdata,2026-05-11T12:55:58
PSX,2017-07-26,22.6,22.79,22.2,22.26,419000,psxdata,2026-05-11T12:55:58
PSX,2017-07-27,22.2,22.55,22.15,22.25,200000,psxdata,2026-05-11T12:55:58
PSX,2017-07-28,21.23,23.36,21.14,23.28,1035500,psxdata,2026-05-11T12:55:58
PSX,2017-07-31,23.0,23.89,23.0,23.45,951500,psxdata,2026-05-11T12:55:58
PSX,2017-08-01,23.02,23.55,23.02,23.49,791500,psxdata,2026-05-11T12:55:58
PSX,2017-08-02,23.49,24.54,23.4,24.37,982000,psxdata,2026-05-11T12:55:58
PSX,2017-08-03,24.55,24.55,23.9,24.15,1801000,psxdata,2026-05-11T12:55:58
PSX,2017-08-04,23.81,24.4,23.81,24.0,416500,psxdata,2026-05-11T12:55:58
PSX,2017-08-07,24.01,24.01,23.52,23.58,204000,psxdata,2026-05-11T12:55:58
PSX,2017-08-08,23.6,23.65,23.2,23.22,149500,psxdata,2026-05-11T12:55:58
PSX,2017-08-09,23.02,23.5,22.8,23.25,127500,psxdata,2026-05-11T12:55:58
PSX,2017-08-10,23.25,23.25,22.4,22.63,198500,psxdata,2026-05-11T12:55:58
PSX,2017-08-11,22.17,22.53,22.17,22.48,87000,psxdata,2026-05-11T12:55:58
PSX,2017-08-15,22.6,22.6,22.0,22.0,518000,psxdata,2026-05-11T12:55:58
PSX,2017-08-16,22.02,22.2,21.8,21.92,124000,psxdata,2026-05-11T12:55:58
PSX,2017-08-17,21.8,22.1,21.75,21.85,136000,psxdata,2026-05-11T12:55:58
PSX,2017-08-18,21.6,22.05,21.51,22.03,191000,psxdata,2026-05-11T12:55:58
PSX,2017-08-21,22.74,22.74,20.93,20.93,274000,psxdata,2026-05-11T12:55:58
PSX,2017-08-22,20.5,21.44,20.4,20.62,264000,psxdata,2026-05-11T12:55:58
PSX,2017-08-23,21.35,21.5,20.5,21.41,118000,psxdata,2026-05-11T12:55:58
PSX,2017-08-24,21.33,21.95,20.45,20.5,191500,psxdata,2026-05-11T12:55:58
PSX,2017-08-25,20.5,21.05,20.0,21.0,113000,psxdata,2026-05-11T12:55:58
PSX,2017-08-28,20.79,20.98,20.4,20.42,87500,psxdata,2026-05-11T12:55:58
PSX,2017-08-29,20.23,20.68,19.66,19.78,83500,psxdata,2026-05-11T12:55:58
PSX,2017-08-30,19.7,20.1,19.7,20.01,277500,psxdata,2026-05-11T12:55:58
PSX,2017-08-31,20.15,20.38,20.01,20.35,6000,psxdata,2026-05-11T12:55:58
PSX,2017-09-05,20.05,20.65,20.0,20.09,89000,psxdata,2026-05-11T12:55:58
PSX,2017-09-06,20.25,20.35,20.01,20.03,309000,psxdata,2026-05-11T12:55:58
PSX,2017-09-07,20.01,20.01,19.95,20.0,418000,psxdata,2026-05-11T12:55:58
PSX,2017-09-08,20.03,20.2,20.0,20.01,947500,psxdata,2026-05-11T12:55:58
PSX,2017-09-11,20.05,20.15,20.0,20.0,110500,psxdata,2026-05-11T12:55:58
PSX,2017-09-12,20.5,20.5,20.01,20.24,301000,psxdata,2026-05-11T12:55:58
PSX,2017-09-13,20.02,21.25,20.01,21.25,381000,psxdata,2026-05-11T12:55:58
PSX,2017-09-14,21.3,21.9,21.1,21.72,365500,psxdata,2026-05-11T12:55:58
PSX,2017-09-15,22.0,22.0,21.01,21.49,47500,psxdata,2026-05-11T12:55:58
PSX,2017-09-18,21.5,21.5,21.0,21.07,915500,psxdata,2026-05-11T12:55:58
PSX,2017-09-19,21.35,21.5,20.05,21.45,461000,psxdata,2026-05-11T12:55:58
PSX,2017-09-20,21.25,21.25,21.0,21.05,45000,psxdata,2026-05-11T12:55:58
PSX,2017-09-21,21.0,21.25,20.9,21.0,79500,psxdata,2026-05-11T12:55:58
PSX,2017-09-22,20.9,21.75,20.86,21.41,87500,psxdata,2026-05-11T12:55:58
PSX,2017-09-25,21.48,21.75,20.9,20.99,222000,psxdata,2026-05-11T12:55:58
PSX,2017-09-26,20.88,21.99,20.87,21.68,1142500,psxdata,2026-05-11T12:55:58
PSX,2017-09-27,21.46,21.99,21.0,21.69,140000,psxdata,2026-05-11T12:55:58
PSX,2017-09-28,22.0,22.35,20.9,22.15,1329000,psxdata,2026-05-11T12:55:58
PSX,2017-09-29,22.25,23.1,22.2,22.79,956000,psxdata,2026-05-11T12:55:58
PSX,2017-10-02,22.26,22.26,21.8,22.0,182000,psxdata,2026-05-11T12:55:58
PSX,2017-10-03,21.75,22.0,21.3,21.94,137500,psxdata,2026-05-11T12:55:58
PSX,2017-10-04,21.6,21.6,20.85,20.85,388000,psxdata,2026-05-11T12:55:58
PSX,2017-10-05,21.0,21.0,20.3,20.82,94000,psxdata,2026-05-11T12:55:58
PSX,2017-10-06,20.9,21.25,20.75,20.77,567500,psxdata,2026-05-11T12:55:58
PSX,2017-10-09,20.39,20.39,20.35,20.36,21000,psxdata,2026-05-11T12:55:58
PSX,2017-10-10,20.4,20.86,19.92,20.05,618000,psxdata,2026-05-11T12:55:58
PSX,2017-10-11,20.03,20.45,19.8,20.0,67000,psxdata,2026-05-11T12:55:58
