symbol,date,open,high,low,close,volume,source,collected_at
PTC,2016-05-11,15.25,15.25,14.87,14.98,3623000,psxdata,2026-05-11T12:50:58
PTC,2016-05-12,15.0,15.15,14.91,15.0,2720000,psxdata,2026-05-11T12:50:58
PTC,2016-05-13,15.09,15.4,15.0,15.03,4515000,psxdata,2026-05-11T12:50:58
PTC,2016-05-16,15.1,15.65,15.07,15.45,9822500,psxdata,2026-05-11T12:50:58
PTC,2016-05-17,15.5,15.7,15.3,15.35,4546000,psxdata,2026-05-11T12:50:58
PTC,2016-05-18,15.34,15.49,15.2,15.21,2462500,psxdata,2026-05-11T12:50:58
PTC,2016-05-19,15.23,16.21,15.13,16.21,23266000,psxdata,2026-05-11T12:50:58
PTC,2016-05-20,16.42,16.44,15.78,15.85,12759000,psxdata,2026-05-11T12:50:58
PTC,2016-05-23,15.9,16.2,15.75,16.07,3776500,psxdata,2026-05-11T12:50:58
PTC,2016-05-24,16.11,16.37,15.97,16.01,3948000,psxdata,2026-05-11T12:50:58
PTC,2016-05-25,16.1,16.18,15.9,15.92,2811000,psxdata,2026-05-11T12:50:58
PTC,2016-05-26,15.9,16.0,15.75,15.78,1383500,psxdata,2026-05-11T12:50:58
PTC,2016-05-27,15.8,15.89,15.7,15.76,2097500,psxdata,2026-05-11T12:50:58
PTC,2016-05-30,15.7,15.75,15.27,15.3,3696000,psxdata,2026-05-11T12:50:58
PTC,2016-05-31,15.26,15.82,15.26,15.47,4616000,psxdata,2026-05-11T12:50:58
PTC,2016-06-01,15.52,15.89,15.51,15.75,1798500,psxdata,2026-05-11T12:50:58
PTC,2016-06-02,15.7,16.35,15.7,16.08,5461500,psxdata,2026-05-11T12:50:58
PTC,2016-06-03,16.25,16.34,15.82,15.95,2792500,psxdata,2026-05-11T12:50:58
PTC,2016-06-06,16.1,16.1,15.65,15.7,1470500,psxdata,2026-05-11T12:50:58
PTC,2016-06-07,15.64,15.73,15.45,15.47,2313500,psxdata,2026-05-11T12:50:58
PTC,2016-06-08,15.49,15.65,15.4,15.51,860000,psxdata,2026-05-11T12:50:58
PTC,2016-06-09,15.59,15.65,15.25,15.37,1996500,psxdata,2026-05-11T12:50:58
PTC,2016-06-10,15.36,15.37,14.95,15.01,2436000,psxdata,2026-05-11T12:50:58
PTC,2016-06-13,15.05,15.19,14.8,14.88,2939000,psxdata,2026-05-11T12:50:58
PTC,2016-06-14,14.82,15.14,14.82,15.02,3009000,psxdata,2026-05-11T12:50:58
PTC,2016-06-15,15.48,15.48,15.02,15.04,3458000,psxdata,2026-05-11T12:50:58
PTC,2016-06-16,15.1,15.96,15.04,15.51,13554000,psxdata,2026-05-11T12:50:58
PTC,2016-06-17,15.59,15.7,15.32,15.44,1968000,psxdata,2026-05-11T12:50:58
PTC,2016-06-20,15.5,15.56,15.1,15.22,2182000,psxdata,2026-05-11T12:50:58
PTC,2016-06-21,15.22,15.35,15.1,15.16,2677500,psxdata,2026-05-11T12:50:58
PTC,2016-06-22,15.07,15.35,15.01,15.18,1368000,psxdata,2026-05-11T12:50:58
PTC,2016-06-23,15.25,15.33,15.06,15.21,1724500,psxdata,2026-05-11T12:50:58
PTC,2016-06-24,15.09,15.09,14.3,14.82,6288000,psxdata,2026-05-11T12:50:58
PTC,2016-06-27,14.51,14.9,14.51,14.86,1401500,psxdata,2026-05-11T12:50:58
PTC,2016-06-28,14.9,14.97,14.66,14.76,1089000,psxdata,2026-05-11T12:50:58
PTC,2016-06-29,14.75,15.11,14.75,15.06,1965500,psxdata,2026-05-11T12:50:58
PTC,2016-06-30,15.1,15.23,14.88,15.03,1414500,psxdata,2026-05-11T12:50:58
PTC,2016-07-04,14.99,15.49,14.99,15.46,2085000,psxdata,2026-05-11T12:50:58
PTC,2016-07-11,15.49,15.64,15.3,15.57,1560000,psxdata,2026-05-11T12:50:58
PTC,2016-07-12,15.6,15.89,15.6,15.84,2829500,psxdata,2026-05-11T12:50:58
PTC,2016-07-13,15.8,16.43,15.8,16.19,11658500,psxdata,2026-05-11T12:50:58
PTC,2016-07-14,16.25,16.49,16.14,16.28,3463000,psxdata,2026-05-11T12:50:58
PTC,2016-07-15,16.31,16.38,16.01,16.06,2934000,psxdata,2026-05-11T12:50:58
PTC,2016-07-18,16.1,16.18,16.0,16.09,1419500,psxdata,2026-05-11T12:50:58
PTC,2016-07-19,16.3,16.56,15.91,16.08,9696500,psxdata,2026-05-11T12:50:58
PTC,2016-07-20,16.3,16.34,15.78,15.9,7114500,psxdata,2026-05-11T12:50:58
PTC,2016-07-21,15.99,16.14,15.95,16.03,6753500,psxdata,2026-05-11T12:50:58
PTC,2016-07-22,16.1,16.1,15.86,15.91,2013500,psxdata,2026-05-11T12:50:58
PTC,2016-07-25,15.97,16.19,15.9,16.12,2559500,psxdata,2026-05-11T12:50:58
PTC,2016-07-26,16.1,16.24,16.01,16.15,1834500,psxdata,2026-05-11T12:50:58
PTC,2016-07-27,16.15,16.2,16.08,16.12,1168000,psxdata,2026-05-11T12:50:58
PTC,2016-07-28,16.06,16.6,16.06,16.47,6791000,psxdata,2026-05-11T12:50:58
PTC,2016-07-29,16.49,16.64,16.25,16.53,2802500,psxdata,2026-05-11T12:50:58
PTC,2016-08-01,16.51,16.85,16.45,16.65,3853500,psxdata,2026-05-11T12:50:58
PTC,2016-08-02,16.66,16.78,16.47,16.65,1335500,psxdata,2026-05-11T12:50:58
PTC,2016-08-03,16.75,16.75,16.4,16.68,5449500,psxdata,2026-05-11T12:50:58
PTC,2016-08-04,16.54,16.71,16.45,16.48,1821500,psxdata,2026-05-11T12:50:58
PTC,2016-08-05,16.51,16.51,16.3,16.37,800500,psxdata,2026-05-11T12:50:58
PTC,2016-08-08,16.32,16.54,16.2,16.31,3519500,psxdata,2026-05-11T12:50:58
PTC,2016-08-09,15.8,15.8,15.31,15.45,8257500,psxdata,2026-05-11T12:50:58
PTC,2016-08-10,15.43,15.44,15.22,15.31,1862500,psxdata,2026-05-11T12:50:58
PTC,2016-08-11,15.26,15.32,15.09,15.16,2623000,psxdata,2026-05-11T12:50:58
PTC,2016-08-12,15.17,15.3,15.16,15.24,641000,psxdata,2026-05-11T12:50:58
PTC,2016-08-15,15.22,15.36,15.22,15.27,545500,psxdata,2026-05-11T12:50:58
PTC,2016-08-16,15.23,15.3,15.18,15.26,1540000,psxdata,2026-05-11T12:50:58
PTC,2016-08-17,15.31,15.81,15.31,15.61,4593000,psxdata,2026-05-11T12:50:58
