symbol,date,open,high,low,close,volume,source,collected_at
QUICE,2016-05-11,9.14,9.44,9.14,9.2,4939000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-12,9.35,9.36,9.0,9.02,1928500,psxdata,2026-05-11T12:54:49
QUICE,2016-05-13,9.06,9.35,9.03,9.2,2821500,psxdata,2026-05-11T12:54:49
QUICE,2016-05-16,9.26,9.55,9.26,9.39,4585000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-17,9.4,9.6,9.1,9.17,1584000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-18,9.19,9.55,9.15,9.47,2329000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-19,9.63,9.93,9.59,9.68,6319000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-20,9.9,10.68,9.7,10.57,14808000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-23,10.47,10.55,10.15,10.22,3146500,psxdata,2026-05-11T12:54:49
QUICE,2016-05-24,10.28,10.44,9.82,9.92,5731500,psxdata,2026-05-11T12:54:49
QUICE,2016-05-25,9.92,10.14,9.8,9.86,2080500,psxdata,2026-05-11T12:54:49
QUICE,2016-05-26,9.9,10.08,9.7,9.72,1601500,psxdata,2026-05-11T12:54:49
QUICE,2016-05-27,9.79,10.0,9.69,9.73,488000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-30,9.8,9.97,9.18,9.39,1125000,psxdata,2026-05-11T12:54:49
QUICE,2016-05-31,9.18,9.47,9.08,9.16,1200000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-01,9.3,9.55,9.26,9.47,756500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-02,9.6,9.65,9.44,9.49,698500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-03,9.55,9.6,9.35,9.38,281000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-06,9.35,9.7,9.3,9.6,2109500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-07,9.6,9.6,9.3,9.34,469500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-08,9.25,9.3,9.14,9.21,466500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-09,9.15,9.27,8.75,9.05,1479000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-10,9.05,9.2,8.81,9.11,661000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-13,9.25,9.32,9.0,9.23,1617500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-14,9.3,9.4,8.96,9.04,1168500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-15,9.06,9.08,8.91,8.94,699500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-16,9.05,9.05,8.87,8.91,606000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-17,8.9,8.95,8.7,8.77,519000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-20,8.89,8.89,8.4,8.5,595000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-21,8.42,8.65,8.41,8.46,385000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-22,8.49,8.99,8.49,8.53,551000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-23,8.48,8.89,8.4,8.61,1704500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-24,8.5,8.6,8.14,8.32,374000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-27,8.16,8.25,8.03,8.08,259500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-28,8.22,8.23,8.0,8.06,507500,psxdata,2026-05-11T12:54:49
QUICE,2016-06-29,8.51,8.51,8.11,8.32,493000,psxdata,2026-05-11T12:54:49
QUICE,2016-06-30,8.32,8.38,8.16,8.23,154000,psxdata,2026-05-11T12:54:49
QUICE,2016-07-04,8.45,8.6,8.13,8.35,442000,psxdata,2026-05-11T12:54:49
